;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1381     2.9842     0.1484
    1384     3.0098     0.1956
    1387     2.9343     0.1189
    1390     2.9842     0.1526
    1393     2.9678     0.1102
    1396     2.9513     0.1462
    1399     2.9882     0.1541
    1402     2.9140     0.1452
    1405     3.0380     0.1645
    1408     2.9907     0.1336
    1411     2.9733     0.1222
    1414     2.9558     0.1108
    1417     2.9815     0.1294
    1420     3.0401     0.1307
    1423     2.9182     0.0897
    1426     3.0686     0.1677
    1429     3.0539     0.1428
    1432     2.9674     0.1339
    1435     3.0538     0.1559
    1438     3.0434     0.1837
    1441     3.0337     0.1455
    1444     3.0240     0.1073
    1447     3.0554     0.1282
    1450     3.1195     0.1730
    1453     3.1322     0.1867
    1456     3.1145     0.1161
    1459     3.1014        NaN
    1462     3.0884        NaN
    1465     3.0754        NaN
    1468     3.1349        NaN
    1471     3.0880        NaN
    1474     3.0410        NaN
    1477     3.1369        NaN
    1480     3.1151        NaN
    1483     3.1254        NaN
    1486     3.2458        NaN
    1489     3.1421        NaN
    1492     3.2271        NaN
    1495     3.2586     0.1679
    1498     3.2712     0.1162
    1501     3.2838     0.0645
    1504     3.2963     0.1567
    1507     3.2336     0.0706
    1510     3.1890     0.0908
    1513     3.1891     0.0721
    1516     3.2304     0.0571
    1519     3.2854     0.1171
    1522     3.1818     0.1004
    1525     3.3097     0.1044
