;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7874 are extrapolated until 7900 (18:07:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Jun 05 11:41:25 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031593 ;ratio_vir2PMO6V (f10.8)
0.99968512 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1495     3.2884     0.2029
    1498     3.3010     0.1512
    1501     3.3136     0.0995
    1504     3.3263     0.1918
    1507     3.2634     0.1059
    1510     3.2189     0.1261
    1513     3.2190     0.1075
    1516     3.2603     0.0925
    1519     3.3152     0.1526
    1522     3.2117     0.1359
    1525     3.3396     0.1400
    1528     3.2891     0.1240
    1531     3.2922     0.1140
    1534     3.2952     0.1039
    1537     3.3156     0.1049
    1540     3.3092     0.0800
    1543     3.3100     0.1162
    1546     3.3108     0.0963
    1549     3.3565     0.0708
    1552     3.3903     0.1321
    1555     3.3340     0.0960
    1558     3.3827     0.1040
    1561     3.3713     0.0951
    1564     3.3598     0.0861
    1567     3.3855     0.0911
    1570     3.3836     0.1118
    1573     3.3986     0.1606
    1576     3.4136     0.1029
    1579     3.4240     0.1206
    1582     3.4509     0.0781
    1585     3.4777     0.1303
    1588     3.4123     0.1060
    1591     3.4620     0.0921
    1594     3.5118     0.1319
    1597     3.4298     0.0968
    1600     3.3809     0.1385
    1603     3.3985     0.0786
    1606     3.4517     0.0708
    1609     3.4173     0.1062
    1612     3.4394     0.1190
    1615     3.5034     0.1107
    1618     3.5054     0.1214
    1621     3.5444     0.1432
    1624     3.5834     0.1650
    1627     3.5005     0.0848
    1630     3.4666     0.0810
    1633     3.5081     0.1653
    1636     3.5495     0.1367
    1639     3.5684     0.1629
    1642     3.5917     0.1280
    1645     3.5527     0.1231
    1648     3.5459     0.1380
    1651     3.5670     0.1418
    1654     3.5881     0.1455
    1657     3.6909     0.1530
    1660     3.5504     0.1666
    1663     3.6084     0.1353
    1666     3.6217     0.1308
    1669     3.6680     0.1811
    1672     3.6382     0.1667
    1675     3.6083     0.1198
    1678     3.6638     0.1255
    1681     3.6454     0.1734
    1684     3.6270     0.1608
    1687     3.9578     0.1216
    1690     3.7186     0.1897
    1693     3.6869     0.1391
    1696     3.6553     0.1829
    1699     3.7652     0.1974
    1702     3.6715     0.1474
    1705     3.7136     0.1426
    1708     3.6398     0.1348
    1711     3.6669     0.1774
    1714     3.6940     0.1478
    1717     3.7543     0.1527
    1720     3.6997     0.1250
    1723     3.7299     0.1300
    1726     3.7257     0.1245
    1729     3.6761     0.1042
    1732     3.5933     0.1128
    1735     3.6848     0.0656
    1738     3.6783     0.0659
    1741     3.7521     0.1535
    1744     3.7586     0.1107
    1747     3.7359     0.1051
    1750     3.7441     0.1178
    1753     3.6997     0.0533
    1756     3.6909     0.0957
    1759     3.8281     0.1410
    1762     3.7904     0.1536
    1765     3.7527     0.1030
    1768     3.6864     0.1055
    1771     3.7150     0.0661
    1774     3.7436     0.0544
    1777     3.7204     0.0509
    1780     3.7839     0.0442
    1783     3.7750     0.0336
    1786     3.7661     0.0949
    1789     3.7407     0.0714
    1792     3.7632     0.0438
    1795     3.7856     0.0412
    1798     3.8320     0.0386
    1801     3.8068     0.0171
    1804     3.7816    -0.0045
    1807     3.8988     0.0698
    1810     3.8384    -0.0047
    1813     3.8894     0.0648
    1816     3.8435    -0.0428
    1819     3.7965    -0.0396
    1822     3.7712     0.0075
    1825     3.8032     0.0045
    1828     3.8353     0.0016
    1831     3.8673    -0.0039
    1834     3.8994    -0.0094
    1837     3.8631    -0.0490
    1840     3.8922     0.0012
    1843     3.8735    -0.0194
    1846     3.8547    -0.0651
    1849     3.8298    -0.0616
    1852     3.8326    -0.0422
    1855     3.8354    -0.0977
    1858     3.9007    -0.0312
    1861     3.8675    -0.0898
    1864     3.8343    -0.0703
    1867     3.8781    -0.0644
    1870     3.9347    -0.0629
    1873     3.9914    -0.0650
    1876     3.8541    -0.0670
    1879     3.9659    -0.1198
    1882     3.8855    -0.1457
    1885     3.9182    -0.1272
    1888     3.9344    -0.1213
    1891     3.9206    -0.1109
    1894     3.9382    -0.1005
    1897     3.9189    -0.1063
    1900     3.9155    -0.0914
    1903     3.9298    -0.1091
    1906     3.9063    -0.1168
    1909     3.9830    -0.0654
    1912     3.9844    -0.0740
    1915     3.9570    -0.1387
    1918     4.0303    -0.0483
    1921     4.0198    -0.0343
    1924     4.0092    -0.0203
    1927     3.9600    -0.1084
    1930     3.9450    -0.0560
    1933     3.9806    -0.0954
    1936     4.0163    -0.1180
    1939     4.0476    -0.0417
    1942     4.0026    -0.0790
    1945     3.9902    -0.0822
    1948     4.0279    -0.0574
    1951     4.0034    -0.0811
    1954     3.9790    -0.0440
    1957     4.0681    -0.0386
    1960     4.0393    -0.0772
    1963     4.0509    -0.0646
    1966     4.0625    -0.0618
    1969     4.0945    -0.0388
    1972     4.0957    -0.0583
    1975     4.0969    -0.0189
    1978     4.0987    -0.0037
    1981     4.0648     0.0176
    1984     4.0310     0.0083
    1987     4.0723    -0.0700
    1990     4.1040     0.0342
    1993     4.1044     0.0595
    1996     4.1049     0.0245
    1999     4.0366    -0.0225
    2002     4.0543     0.0527
    2005     4.0720    -0.0075
    2008     4.0779     0.0098
    2011     4.1075     0.0147
    2014     4.1371     0.0046
    2017     4.1695     0.0801
    2020     4.1420     0.0616
    2023     4.1552     0.0255
    2026     4.1683     0.0672
    2029     4.1474     0.0816
    2032     4.1026     0.0497
    2035     4.1332     0.0527
    2038     4.1827     0.0807
    2041     4.1675     0.0776
    2044     4.1523     0.0745
    2047     4.1947     0.0988
    2050     4.2054     0.0839
    2053     4.1441     0.0258
    2056     4.1877     0.0301
    2059     4.2361     0.0688
    2062     4.1153     0.0199
    2065     4.2490     0.0699
    2068     4.2440     0.0568
    2071     4.2470     0.0438
    2074     4.2500     0.1049
    2077     4.1359     0.0006
    2080     4.2182     0.0606
    2083     4.1444     0.0238
    2086     4.1350    -0.0271
    2089     4.2418     0.0329
    2092     4.2403     0.0119
    2095     4.2388     0.0443
    2098     4.1656    -0.0244
    2101     4.1299    -0.0384
    2104     4.0942    -0.0524
    2107     4.1679    -0.0348
    2110     4.2283     0.0320
    2113     4.1828    -0.0636
    2116     4.1818    -0.0467
    2119     4.2108    -0.0416
    2122     4.2166    -0.0270
    2125     4.2224    -0.0433
    2128     4.1950    -0.0432
    2131     4.2001    -0.0715
    2134     4.2234    -0.0998
    2137     4.2068    -0.0841
    2140     4.2161    -0.0784
    2143     4.2366    -0.0714
    2146     4.3115    -0.1229
    2149     4.2461    -0.0755
    2152     4.2168    -0.0250
    2155     4.1875    -0.1195
    2158     4.1991    -0.1092
    2161     4.1980    -0.0742
    2164     4.1968    -0.0899
    2167     4.1148    -0.1012
    2170     4.2300    -0.1125
    2173     4.2578    -0.0933
    2176     4.2147    -0.1227
    2179     4.2158    -0.1038
    2182     4.2283    -0.0829
    2185     4.2409    -0.0966
    2188     4.2329    -0.0965
    2191     4.2740    -0.0776
    2194     4.3151    -0.0584
    2197     4.3138    -0.0578
    2200     4.2244    -0.1159
    2203     4.3400    -0.0505
    2206     4.2373    -0.0760
    2209     4.2645    -0.0947
    2212     4.3225    -0.0795
    2215     4.3135    -0.0511
    2218     4.3224    -0.0584
    2221     4.3299    -0.0619
    2224     4.3375    -0.0654
    2227     4.2387    -0.0720
    2230     4.2936    -0.0873
    2233     4.2940    -0.0308
    2236     4.2915    -0.0375
    2239     4.2515    -0.0719
    2242     4.3230    -0.0874
    2245     4.2686    -0.0869
    2248     4.2989    -0.0666
    2251     4.2676    -0.0782
    2254     4.2363    -0.0899
    2257     4.2600    -0.0448
    2260     4.2837     0.0003
    2263     4.3074     0.0453
    2266     4.3311     0.0303
    2269     4.2637    -0.0999
    2272     4.4045    -0.0466
    2275     4.3919    -0.0661
    2278     4.3584    -0.1549
    2281     4.3521    -0.1696
    2284     4.3458    -0.1843
    2287     4.3231    -0.2032
    2290     4.3837    -0.2289
    2293     4.3869    -0.2056
    2296     4.3900    -0.2157
    2299     4.3849    -0.2466
    2302     4.3711    -0.6618
    2305     4.3604    -0.6983
    2308     4.2994     0.0054
    2311     4.3466    -0.0047
    2314     4.3938     0.2864
    2317     4.4023     0.2751
    2320     4.3870     0.3022
    2323     4.4130     0.2129
    2326     4.4389     0.2480
    2329     4.3860     0.2687
    2332     4.3554     0.2327
    2335     4.3247     0.2529
    2338     4.3872     0.2382
    2341     4.3857     0.2525
    2344     4.3842     0.2780
    2347     4.4042     0.2675
    2350     4.4157     0.2218
    2353     4.4142     0.2610
    2356     4.4128     0.2485
    2359     4.3929     0.2330
    2362     4.3753     0.2766
    2365     4.3576     0.2350
    2368     4.3797     0.2665
    2371     4.3765     0.2714
    2374     4.3733     0.2763
    2377     4.3876     0.2595
    2380     4.3413     0.2428
    2383     4.3460     0.2702
    2386     4.3508     0.2386
    2389     4.4174     0.2522
    2392     4.4707     0.2269
    2395     4.3872     0.2702
    2398     4.4042     0.2450
    2401     4.3960     0.2697
    2404     4.3878     0.2288
    2407     4.4017     0.2602
    2410     4.3466     0.2076
    2413     4.3202     0.1978
    2416     4.3978     0.2310
    2419     4.3936     0.1709
    2422     4.3830     0.2103
    2425     4.3723     0.1972
    2428     4.3970     0.1864
    2431     4.4260     0.1937
    2434     4.4550     0.2009
    2437     4.3577     0.0938
    2440     4.4612     0.1551
    2443     4.4473     0.2123
    2446     4.3819     0.1839
    2449     4.3791     0.1556
    2452     4.4529     0.1710
    2455     4.4069     0.1305
    2458     4.4482     0.2232
    2461     4.4382     0.2109
    2464     4.4282     0.1985
    2467     4.4485     0.1862
    2470     4.4538     0.1330
    2473     4.3899     0.1339
    2476     4.3891     0.1676
    2479     4.4207     0.1953
    2482     4.4654     0.2083
    2485     4.5101     0.2213
    2488     4.4777     0.1695
    2491     4.4489     0.1501
    2494     4.4200     0.1241
    2497     4.5059     0.1443
    2500     4.3936     0.1645
    2503     4.3830     0.0953
    2506     4.3723     0.1481
    2509     4.3648     0.1079
    2512     4.4118     0.1073
    2515     4.4588     0.1348
    2518     4.4826     0.1135
    2521     4.4575     0.1392
    2524     4.4323     0.1282
    2527     4.4046     0.1142
    2530     4.4423     0.0843
    2533     4.4505     0.1509
    2536     4.3887     0.1340
    2539     4.4531     0.1475
    2542     4.4619     0.1686
    2545     4.4708     0.1338
    2548     4.4909     0.1351
    2551     4.3631     0.1576
    2554     4.4657     0.1154
    2557     4.4650     0.1529
    2560     4.5168     0.1378
    2563     4.5257     0.1921
    2566     4.5201     0.1523
    2569     4.4515     0.1402
    2572     4.5174     0.1619
    2575     4.5059     0.1640
    2578     4.4928     0.1526
    2581     4.4710     0.1497
    2584     4.4491     0.1467
    2587     4.4966     0.1572
    2590     4.4158     0.1368
    2593     4.4905     0.1470
    2596     4.5616     0.1556
    2599     4.5298     0.1642
    2602     4.4841     0.1372
    2605     4.5086     0.1101
    2608     4.5397     0.1096
    2611     4.5106     0.1090
    2614     4.4970     0.1068
    2617     4.4487     0.0810
    2620     4.4888     0.0744
    2623     4.5288     0.0678
    2626     4.5288     0.1516
    2629     4.5339     0.1306
    2632     4.4904     0.1097
    2635     4.5410     0.1363
    2638     4.5540     0.0944
    2641     4.5604     0.0999
    2644     4.5667     0.1055
    2647     4.5318     0.0969
    2650     4.5195     0.0882
    2653     4.5009     0.0967
    2656     4.5268     0.0463
    2659     4.5444     0.0834
    2662     4.5739     0.1022
    2665     4.4766     0.0849
    2668     4.5574     0.0816
    2671     4.5702     0.0926
    2674     4.5831     0.1036
    2677     4.5606     0.0703
    2680     4.6275     0.1279
    2683     4.6445     0.1027
    2686     4.4854     0.0830
    2689     4.5788     0.1192
    2692     4.5862     0.1021
    2695     4.5814     0.0723
    2698     4.6397     0.0784
    2701     4.6642     0.0845
    2704     4.6888     0.0907
    2707     4.5264     0.0890
    2710     4.6468     0.0784
    2713     4.6238     0.1056
