;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7763 are extrapolated until 7789 (29:03:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sun Feb 05 17:01:55 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031745 ;ratio_vir2PMO6V (f10.8)
0.99968378 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     817     1.7622    -0.2246
     820     1.7751    -0.2812
     823     1.7738    -0.2773
     826     1.7725    -0.2734
     829     1.7712    -0.2695
     832     1.7889    -0.2447
     835     1.7941    -0.2245
     838     1.8195    -0.2631
     841     1.8136    -0.2666
     844     1.8078    -0.2700
     847     1.8019    -0.2758
     850     1.7960    -0.2816
     853     1.8632    -0.3002
     856     1.9103    -0.2616
     859     1.8818    -0.3090
     862     1.9186    -0.2693
     865     1.9555    -0.2371
     868     2.0008    -0.2670
     871     1.9415    -0.2884
     874     1.8822    -0.3098
     877     1.9042    -0.2935
     880     2.0270    -0.2627
     883     2.0012    -0.2807
     886     1.9753    -0.2770
     889     2.0186    -0.3194
     892     2.0012    -0.2985
     895     1.9838    -0.3071
     898     2.0273    -0.3236
     901     2.0173    -0.2852
     904     2.0074    -0.3400
     907     2.1286    -0.2658
     910     2.1792    -0.2745
     913     2.0732    -0.3250
     916     2.0989    -0.3372
     919     2.2012    -0.3204
     922     2.1463    -0.2982
     925     2.0915    -0.3608
     928     2.0303    -0.3569
     931     2.1121    -0.3439
     934     2.1939    -0.2868
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.1989     0.8363
    1048     2.1300     0.8204
    1051     2.1469     0.8089
    1054     2.1639     0.0464
    1057     2.1483     0.0242
    1060     2.1134     0.0452
    1063     2.1543     0.0117
    1066     2.2063     0.0480
    1069     2.1426     0.0194
    1072     2.1408     0.0500
    1075     2.1390     0.1049
    1078     2.2056     0.0384
    1081     2.1639     0.0218
    1084     2.1223     0.0052
    1087     2.1946     0.0469
    1090     2.2368     0.0559
    1093     2.2216     0.0199
    1096     2.1903     0.0603
    1099     2.1297     0.0820
    1102     2.2577     0.0302
    1105     2.2112     0.0250
    1108     2.2762     0.0844
    1111        NaN        NaN
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0518
    1165     2.4150     0.0457
    1168     2.3776     0.0391
    1171     2.3959     0.0492
    1174     2.4142     0.0593
    1177     2.4325     0.0694
    1180     2.4394     0.0804
    1183     2.5390     0.0761
    1186     2.4462     0.0321
    1189     2.4893     0.0802
    1192     2.4922     0.0938
    1195     2.5602     0.1097
    1198     2.5162     0.1024
    1201     2.5388     0.1013
    1204     2.5614     0.1002
    1207     2.4845     0.0863
    1210     2.5234     0.0799
    1213     2.5346     0.1171
    1216     2.5458     0.0998
    1219     2.5312     0.0512
    1222     2.5513     0.1095
    1225     2.5714     0.1222
    1228     2.6277     0.0848
    1231     2.6034     0.0738
    1234     2.5791     0.0814
    1237     2.6068     0.1035
    1240     2.5939     0.0995
    1243     2.6580     0.0825
    1246     2.6541     0.0685
    1249     2.6793     0.1280
    1252     2.5947     0.1264
    1255     2.6719     0.1058
    1258     2.6579     0.0968
    1261     2.6883     0.1230
    1264     2.7186     0.1367
    1267     2.7269     0.1333
    1270     2.7534     0.1610
    1273     2.7538     0.1019
    1276     2.7542     0.1388
    1279     2.8136     0.1833
    1282     2.8021     0.1194
    1285     2.7906     0.1252
    1288     2.7392     0.1193
    1291     2.7480     0.1188
    1294     2.7567     0.1182
    1297     2.7255     0.1165
    1300     2.7910     0.1213
    1303     2.7757     0.1359
    1306     2.7604     0.1268
    1309     2.8353     0.1270
    1312     2.8248     0.1832
    1315     2.8142     0.1458
    1318     2.7882     0.1415
    1321     2.7989     0.1467
    1324     2.8096     0.1519
    1327     2.8294     0.1848
    1330     2.8314     0.1611
    1333     2.9397     0.2141
    1336     2.8307     0.1626
    1339     2.8711     0.1091
    1342     2.8883     0.1937
    1345     2.9056     0.1554
    1348     2.9148     0.1778
    1351     2.9090     0.1572
    1354     2.9032     0.1382
    1357     2.9439     0.2018
    1360     2.9297     0.1836
    1363     2.9382     0.1768
    1366     2.8741     0.1716
    1369     2.9299     0.1869
    1372     2.9642     0.1880
    1375     2.9051     0.2117
    1378     2.9679     0.1933
    1381     2.9937     0.1607
    1384     3.0195     0.2078
    1387     2.9440     0.1311
    1390     2.9940     0.1648
    1393     2.9777     0.1225
    1396     2.9614     0.1586
    1399     2.9983     0.1665
    1402     2.9243     0.1577
    1405     3.0483     0.1771
    1408     3.0011     0.1463
    1411     2.9837     0.1349
    1414     2.9663     0.1235
    1417     2.9923     0.1423
    1420     3.0510     0.1435
    1423     2.9290     0.1026
    1426     3.0796     0.1806
    1429     3.0651     0.1558
    1432     2.9785     0.1469
    1435     3.0652     0.1691
    1438     3.0547     0.1967
    1441     3.0451     0.1587
    1444     3.0355     0.1206
    1447     3.0670     0.1415
    1450     3.1312     0.1864
    1453     3.1439     0.2001
    1456     3.1263     0.1295
    1459     3.1133        NaN
    1462     3.1003        NaN
    1465     3.0874        NaN
    1468     3.1470        NaN
    1471     3.1001        NaN
    1474     3.0532        NaN
    1477     3.1491        NaN
    1480     3.1274        NaN
    1483     3.1377        NaN
    1486     3.2581        NaN
    1489     3.1545        NaN
    1492     3.2395        NaN
    1495     3.2712     0.1821
    1498     3.2838     0.1304
    1501     3.2964     0.0788
    1504     3.3090     0.1711
    1507     3.2462     0.0850
    1510     3.2017     0.1052
    1513     3.2019     0.0866
    1516     3.2432     0.0716
    1519     3.2981     0.1318
    1522     3.1946     0.1150
    1525     3.3225     0.1192
    1528     3.2722     0.1030
    1531     3.2753     0.0930
    1534     3.2784     0.0829
    1537     3.2988     0.0839
    1540     3.2925     0.0591
    1543     3.2933     0.0952
    1546     3.2942     0.0753
    1549     3.3399     0.0498
    1552     3.3736     0.1111
    1555     3.3177     0.0749
    1558     3.3664     0.0830
    1561     3.3550     0.0740
    1564     3.3436     0.0650
    1567     3.3695     0.0700
    1570     3.3676     0.0907
    1573     3.3826     0.1394
    1576     3.3977     0.0818
    1579     3.4083     0.0995
    1582     3.4352     0.0569
    1585     3.4621     0.1090
    1588     3.3968     0.0848
    1591     3.4466     0.0710
    1594     3.4964     0.1106
    1597     3.4145     0.0756
    1600     3.3658     0.1171
    1603     3.3834     0.0573
    1606     3.4368     0.0496
    1609     3.4024     0.0848
    1612     3.4246     0.0978
    1615     3.4886     0.0894
    1618     3.4908     0.1001
    1621     3.5298     0.1219
    1624     3.5689     0.1436
    1627     3.4861     0.0634
    1630     3.4523     0.0595
    1633     3.4938     0.1440
    1636     3.5352     0.1153
    1639     3.5542     0.1414
    1642     3.5775     0.1067
    1645     3.5386     0.1016
    1648     3.5318     0.1165
    1651     3.5530     0.1203
    1654     3.5742     0.1240
    1657     3.6770     0.1315
    1660     3.5365     0.1451
    1663     3.5944     0.1138
    1666     3.6078     0.1093
    1669     3.6542     0.1595
    1672     3.6244     0.1451
    1675     3.5945     0.0982
    1678     3.6498     0.1039
    1681     3.6315     0.1518
    1684     3.6132     0.1392
    1687     3.9439     0.1000
    1690     3.7047     0.1680
    1693     3.6730     0.1175
    1696     3.6414     0.1611
    1699     3.7512     0.1757
    1702     3.6574     0.1256
    1705     3.6995     0.1210
    1708     3.6256     0.1130
    1711     3.6527     0.1558
    1714     3.6798     0.1261
    1717     3.7401     0.1309
    1720     3.6853     0.1033
    1723     3.7154     0.1082
    1726     3.7110     0.1028
    1729     3.6614     0.0825
    1732     3.5785     0.0911
    1735     3.6700     0.0438
    1738     3.6634     0.0441
    1741     3.7372     0.1316
    1744     3.7436     0.0888
    1747     3.7208     0.0833
    1750     3.7289     0.0959
    1753     3.6843     0.0314
    1756     3.6757     0.0737
    1759     3.8127     0.1190
    1762     3.7748     0.1317
    1765     3.7370     0.0812
    1768     3.6706     0.0837
    1771     3.6991     0.0441
    1774     3.7277     0.0324
    1777     3.7042     0.0289
    1780     3.7677     0.0222
    1783     3.7587     0.0117
    1786     3.7498     0.0729
    1789     3.7241     0.0494
    1792     3.7465     0.0218
    1795     3.7689     0.0192
    1798     3.8153     0.0165
    1801     3.7900    -0.0050
    1804     3.7646    -0.0266
    1807     3.8817     0.0477
    1810     3.8211    -0.0268
    1813     3.8722     0.0429
