;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960511 1360.56748 1365.64697 1365.95825 1365.33826
19960512 1360.56213 1365.64160 1365.96301 1365.32166
19960513 1360.57076 1365.65027 1365.97766 1365.32458
19960514 1360.63340 1365.71313 1366.01819 1365.40247
19960515 1360.63437 1365.71411 1366.06006 1365.36902
19960516 1360.71342 1365.79346 1366.09668 1365.50635
19960517 1360.71233 1365.79236 1366.11292 1365.47400
19960518 1360.66721 1365.74707 1366.08008 1365.43140
19960519 1360.56845 1365.64795 1366.01477 1365.28113
19960520 1360.48734 1365.56653 1365.93701 1365.19604
19960521 1360.46301 1365.54211 1365.91248 1365.17139
19960522 1360.46630 1365.54541 1365.91382 1365.17407
19960523 1360.46192 1365.54102 1365.90857 1365.17346
19960524 1360.45827 1365.53735 1365.87549 1365.20728
19960525 1360.46289 1365.54199 1365.89050 1365.19434
19960526 1360.47177 1365.55090 1365.90491 1365.19653
19960527 1360.43613 1365.51514 1365.89783 1365.13184
19960528 1360.47797 1365.55713 1365.90955 1365.20605
19960529 1360.41814 1365.49707 1365.88354 1365.10999
19960530 1360.41631 1365.49524 1365.86987 1365.12036
19960531 1360.43650 1365.51550 1365.89148 1365.13660
19960601 1360.45730 1365.53638 1365.91479 1365.15808
19960602 1360.51263 1365.59192 1365.97119 1365.21228
19960603 1360.53294 1365.61230 1365.99963 1365.21814
19960604 1360.62257 1365.70227 1366.05530 1365.36377
19960605 1360.59448 1365.67407 1366.05908 1365.28833
19960606 1360.54717 1365.62659 1366.03821 1365.21326
19960607 1360.51628 1365.59558 1365.97375 1365.21326
19960608 1360.47809 1365.55725 1365.95544 1365.15771
19960609 1360.50388 1365.58313 1365.98047 1365.18469
19960610 1360.56566 1365.64514 1366.02625 1365.26074
19960611 1360.56432 1365.64380 1366.03809 1365.24854
19960612 1360.58256 1365.66211 1366.04675 1365.27698
19960613 1360.56724 1365.64673 1366.02771 1365.25720
19960614 1360.54450 1365.62390 1365.99353 1365.25452
19960615 1360.47359 1365.55273 1365.93579 1365.16931
19960616 1360.45328 1365.53235 1365.91187 1365.15479
19960617 1360.45973 1365.53882 1365.91370 1365.16394
19960618 1360.41388 1365.49280 1365.87268 1365.11267
19960619 1360.45328 1365.53235 1365.90686 1365.15784
19960620 1360.46386 1365.54297 1365.91248 1365.17383
19960621 1360.44866 1365.52771 1365.90515 1365.15039
19960622 1360.42726 1365.50623 1365.89343 1365.11975
19960623 1360.44197 1365.52100 1365.90271 1365.13940
19960624 1360.48296 1365.56213 1365.95239 1365.17151
19960625 1360.49354 1365.57275 1365.95251 1365.19373
19960626 1360.46313 1365.54224 1365.93689 1365.14722
19960627 1360.48259 1365.56177 1365.93750 1365.19360
19960628 1360.52212 1365.60144 1365.99622 1365.20984
19960629 1360.61406 1365.69373 1366.07568 1365.31189
19960630 1360.66599 1365.74585 1366.12842 1365.35986
19960701 1360.69627 1365.77625 1366.15527 1365.40405
19960702 1360.71123 1365.79126 1366.18237 1365.39966
19960703 1360.68058 1365.76050 1366.16504 1365.35510
19960704 1360.66891 1365.74878 1366.14709 1365.35217
19960705 1360.65054 1365.73035 1366.13220 1365.32776
19960706 1360.60652 1365.68616 1366.08521 1365.28662
19960707 1360.58743 1365.66699 1366.05115 1365.28113
19960708 1360.37046 1365.44922 1365.83228 1365.06628
19960709 1360.19594 1365.27405 1365.66846 1364.87927
19960710 1360.31075 1365.38928 1365.77539 1365.00305
19960711 1360.44380 1365.52283 1365.91675 1365.10876
19960712 1360.52990 1365.60925 1366.00000 1365.21838
19960713 1360.48867 1365.56787 1365.97156 1365.15564
19960714 1360.41753 1365.49646 1365.89417 1365.09814
19960715 1360.43091 1365.50989 1365.90979 1365.10913
19960716 1360.44745 1365.52649 1365.91077 1365.14258
19960717 1360.45231 1365.53137 1365.91833 1365.14417
19960718 1360.41510 1365.49402 1365.88794 1365.09961
19960719 1360.43626 1365.51526 1365.90833 1365.12415
19960720 1360.43419 1365.51318 1365.90088 1365.12512
19960721 1360.41522 1365.49414 1365.88501 1365.10278
19960722 1360.41364 1365.49255 1365.88416 1365.09729
19960723 1360.43747 1365.51648 1365.89380 1365.13916
19960724 1360.40743 1365.48633 1365.89063 1365.08105
19960725 1360.45572 1365.53479 1365.92676 1365.13330
19960726 1360.50388 1365.58313 1365.96240 1365.20386
19960727 1360.49463 1365.57385 1365.98206 1365.16467
19960728 1360.55228 1365.63171 1366.03040 1365.23242
19960729 1360.52224 1365.60156 1366.00647 1365.19458
19960730 1360.44793 1365.52698 1365.90723 1365.14648
19960731 1360.34577 1365.42444 1365.82336 1365.02490
19960801 1360.30394 1365.38245 1365.76855 1364.99622
19960802 1360.28740 1365.36584 1365.72156 1365.01062
19960803 1360.32376 1365.40234 1365.75391 1365.05396
19960804 1360.42191 1365.50085 1365.84497 1365.15771
19960805 1360.54231 1365.62170 1365.95227 1365.29211
19960806 1360.58293 1365.66248 1366.01855 1365.32153
19960807 1360.61297 1365.69263 1366.03674 1365.34924
19960808 1360.53550 1365.61487 1365.96973 1365.25781
19960809 1360.46119 1365.54028 1365.91235 1365.16833
19960810 1360.42349 1365.50244 1365.87695 1365.12415
19960811 1360.36122 1365.43994 1365.82117 1365.05872
19960812 1360.41911 1365.49805 1365.87097 1365.12524
19960813 1360.51154 1365.59082 1365.94055 1365.24072
