;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960917 1360.71224 1365.65430 1365.97424 1365.35071
19960918 1360.72708 1365.66919 1365.98865 1365.34949
19960919 1360.72939 1365.67151 1366.00977 1365.33398
19960920 1360.77318 1365.71545 1366.05603 1365.37561
19960921 1360.86112 1365.80371 1366.12268 1365.48474
19960922 1360.88167 1365.82434 1366.15161 1365.49475
19960923 1360.91013 1365.85291 1366.18359 1365.52258
19960924 1360.86902 1365.81165 1366.13330 1365.49011
19960925 1360.88678 1365.82947 1366.13196 1365.52625
19960926 1360.87194 1365.81458 1366.10938 1365.51843
19960927 1360.84020 1365.78271 1366.11206 1365.45740
19960928 1360.86112 1365.80371 1366.12036 1365.48669
19960929 1360.84725 1365.78979 1366.09631 1365.48755
19960930 1360.82913 1365.77161 1366.07800 1365.47119
19961001 1360.75664 1365.69885 1365.99927 1365.39734
19961002 1360.66140 1365.60327 1365.92493 1365.27588
19961003 1360.65739 1365.59924 1365.90442 1365.29309
19961004 1360.69303 1365.63501 1365.90344 1365.36365
19961005 1360.65119 1365.59302 1365.87561 1365.30823
19961006 1360.60509 1365.54675 1365.87256 1365.22131
19961007 1360.60205 1365.54370 1365.85315 1365.22864
19961008 1360.61555 1365.55725 1365.85889 1365.25439
19961009 1360.64061 1365.58240 1365.86621 1365.29639
19961010 1360.63525 1365.57703 1365.87415 1365.27844
19961011 1360.60679 1365.54846 1365.85938 1365.23694
19961012 1360.60983 1365.55151 1365.87061 1365.22778
19961013 1360.60193 1365.54358 1365.85046 1365.23572
19961014 1360.63927 1365.58105 1365.89197 1365.26941
19961015 1360.66007 1365.60193 1365.89551 1365.30640
19961016 1360.66323 1365.60510 1365.90173 1365.30664
19961017 1360.74898 1365.69116 1365.96692 1365.41089
19961018 1360.80857 1365.75098 1366.04224 1365.46704
19961019 1360.79848 1365.74084 1366.05640 1365.42493
19961020 1360.79361 1365.73596 1366.07764 1365.39636
19961021 1360.79897 1365.74133 1366.08191 1365.40283
19961022 1360.82889 1365.77136 1366.09680 1365.44556
19961023 1360.80955 1365.75195 1366.10010 1365.40686
19961024 1360.85650 1365.79907 1366.12000 1365.47852
19961025 1360.79872 1365.74109 1366.10144 1365.38562
19961026 1360.79215 1365.73450 1366.05408 1365.41516
19961027 1360.79593 1365.73828 1366.06165 1365.41162
19961028 1360.74156 1365.68372 1366.00830 1365.36572
19961029 1360.71820 1365.66028 1365.96729 1365.35181
19961030 1360.64742 1365.58923 1365.92114 1365.25928
19961031 1360.63112 1365.57288 1365.89746 1365.24939
19961101 1360.67223 1365.61414 1365.91992 1365.30273
19961102 1360.64936 1365.59119 1365.92383 1365.26099
19961103 1360.65082 1365.59265 1365.91077 1365.27490
19961104 1360.64012 1365.58191 1365.91333 1365.25269
19961105 1360.64985 1365.59167 1365.90759 1365.27576
19961106 1360.66736 1365.60925 1365.95093 1365.27087
19961107 1360.69680 1365.63879 1365.95435 1365.32324
19961108 1360.66590 1365.60779 1365.94336 1365.27515
19961109 1360.66676 1365.60864 1365.94214 1365.27234
19961110 1360.69996 1365.64197 1365.97827 1365.30847
19961111 1360.75469 1365.69690 1366.00916 1365.38428
19961112 1360.77063 1365.71289 1366.04712 1365.38135
19961113 1360.81916 1365.76160 1366.05811 1365.48438
19961114 1360.85893 1365.80151 1366.13184 1365.47314
19961115 1360.89031 1365.83301 1366.16016 1365.50720
19961116 1360.93860 1365.88147 1366.17773 1365.58118
19961117 1360.94139 1365.88428 1366.20886 1365.55908
19961118 1360.91001 1365.85278 1366.19336 1365.51575
19961119 1360.91184 1365.85461 1366.19287 1365.51929
19961120 1360.90503 1365.84778 1366.17395 1365.52197
19961121 1360.89530 1365.83801 1366.17725 1365.49756
19961122 1360.81405 1365.75647 1366.08447 1365.43396
19961123 1360.50475 1365.44604 1365.75598 1365.12988
19961124 1360.18523 1365.12537 1365.43481 1364.81409
19961125 1359.79699 1364.73572 1365.06738 1364.40576
19961126 1359.84795 1364.78687 1365.10132 1364.47363
19961127 1359.93431 1364.87354 1365.19373 1364.55310
19961128 1360.07844 1365.01819 1365.31799 1364.71509
19961129 1360.33726 1365.27795 1365.57849 1364.97400
19961130 1360.58758 1365.52917 1365.84119 1365.23401
19961201 1360.73475 1365.67688 1365.99402 1365.35339
19961202 1360.74022 1365.68237 1366.01904 1365.34766
19961203 1360.69497 1365.63696 1365.96301 1365.31140
19961204 1360.70264 1365.64465 1365.95203 1365.33508
19961205 1360.66955 1365.61145 1365.92786 1365.29419
19961206 1360.69923 1365.64124 1365.95959 1365.32031
19961207 1360.72416 1365.66626 1365.97900 1365.35205
19961208 1360.71127 1365.65332 1365.95581 1365.34814
19961209 1360.71553 1365.65759 1365.96924 1365.34436
19961210 1360.74083 1365.68298 1366.00549 1365.36047
19961211 1360.78619 1365.72852 1366.02844 1365.42395
19961212 1360.84227 1365.78479 1366.09277 1365.47461
19961213 1360.92777 1365.87061 1366.18188 1365.55774
19961214 1360.96730 1365.91028 1366.20715 1365.60974
19961215 1360.92242 1365.86523 1366.17102 1365.55688
19961216 1360.89031 1365.83301 1366.13782 1365.52368
19961217 1360.93933 1365.88220 1366.17871 1365.58191
19961218 1360.95283 1365.89575 1366.20703 1365.58264
19961219 1360.99211 1365.93518 1366.26245 1365.60815
19961220 1361.02447 1365.96765 1366.28259 1365.65137
19961221 1361.02678 1365.96997 1366.27576 1365.65808
19961222 1360.99236 1365.93542 1366.24597 1365.62305
19961223 1360.91415 1365.85693 1366.18079 1365.53284
19961224 1360.85735 1365.79993 1366.10339 1365.49341
19961225 1360.81587 1365.75830 1366.09583 1365.40173
19961226 1360.82621 1365.76868 1366.09888 1365.43665
19961227 1360.80663 1365.74902 1366.09521 1365.40503
19961228 1360.78024 1365.72253 1366.06787 1365.37927
19961229 1360.70762 1365.64966 1365.99915 1365.30261
19961230 1360.70312 1365.64514 1365.98560 1365.30603
19961231 1360.73839 1365.68054 1366.00085 1365.35498
19970101 1360.74873 1365.69092 1366.02039 1365.36145
19970102 1360.76491 1365.70715 1366.03772 1365.37671
19970103 1360.82232 1365.76477 1366.08728 1365.44153
19970104 1360.81344 1365.75586 1366.09277 1365.41968
19970105 1360.81514 1365.75757 1366.08960 1365.42603
19970106 1360.79349 1365.73584 1366.05835 1365.41260
19970107 1360.82791 1365.77039 1366.09949 1365.44104
19970108 1360.88252 1365.82520 1366.16577 1365.48547
19970109 1360.91184 1365.85461 1366.20386 1365.50720
19970110 1360.95161 1365.89453 1366.21619 1365.57031
19970111 1360.93774 1365.88062 1366.21313 1365.54797
19970112 1360.88180 1365.82446 1366.15369 1365.49487
19970113 1360.86817 1365.81079 1366.13928 1365.48181
19970114 1360.91111 1365.85388 1366.16028 1365.54492
19970115 1360.88009 1365.82275 1366.11963 1365.51318
19970116 1360.86683 1365.80945 1366.15369 1365.46594
19970117 1360.91208 1365.85486 1366.15833 1365.54846
19970118 1360.85066 1365.79321 1366.11780 1365.46753
19970119 1360.82962 1365.77209 1366.10388 1365.43970
19970120 1360.83339 1365.77588 1366.08203 1365.46313
19970121 1360.81222 1365.75464 1366.12378 1365.38806
19970122 1360.76990 1365.71216 1366.06335 1365.36194
19970123 1360.77829 1365.72058 1366.08337 1365.35986
19970124 1360.80760 1365.75000 1366.10205 1365.39905
19970125 1360.80456 1365.74695 1366.07776 1365.41272
19970126 1360.75141 1365.69360 1366.05835 1365.33081
19970127 1360.73827 1365.68042 1366.03577 1365.32617
19970128 1360.77695 1365.71924 1366.07043 1365.36877
19970129 1360.76223 1365.70447 1366.06323 1365.34680
19970130 1360.78486 1365.72717 1366.07397 1365.38147
19970131 1360.81222 1365.75464 1366.09619 1365.41272
19970201 1360.81162 1365.75403 1366.10889 1365.39990
19970202 1360.78145 1365.72375 1366.06934 1365.37817
19970203 1360.66189 1365.60376 1365.96313 1365.24524
19970204 1360.74411 1365.68628 1366.04236 1365.33643
19970205 1360.87669 1365.81934 1366.17065 1365.46838
19970206 1360.91500 1365.85779 1366.20374 1365.51184
19970207 1360.90636 1365.84912 1366.21179 1365.48743
19970208 1360.87681 1365.81946 1366.17810 1365.46155
19970209 1360.89688 1365.83960 1366.17468 1365.50098
19970210 1360.87036 1365.81299 1366.15405 1365.47156
19970211 1360.85443 1365.79700 1366.13062 1365.46240
19970212 1360.83254 1365.77502 1366.12048 1365.42920
19970213 1360.80529 1365.74768 1366.10669 1365.38928
19970214 1360.78753 1365.72986 1366.08704 1365.36707
19970215 1360.78559 1365.72791 1366.06836 1365.38672
19970216 1360.80760 1365.75000 1366.07690 1365.42139
19970217 1360.78352 1365.72583 1366.08081 1365.37109
19970218 1360.79264 1365.73499 1366.09021 1365.38013
19970219 1360.78790 1365.73022 1366.08179 1365.37866
19970220 1360.76199 1365.70422 1366.05957 1365.34912
19970221 1360.75956 1365.70178 1366.06653 1365.33777
19970222 1360.73572 1365.67786 1366.06335 1365.29443
19970223 1360.77026 1365.71252 1366.08154 1365.34436
19970224 1360.82755 1365.77002 1366.11353 1365.42310
19970225 1360.85869 1365.80127 1366.14905 1365.45300
19970226 1360.88715 1365.82983 1366.17664 1365.48499
19970227 1360.88216 1365.82483 1366.17285 1365.47656
19970228 1360.84494 1365.78748 1366.15808 1365.41760
19970301 1360.92777 1365.87061 1366.16980 1365.58716
19970302 1360.88301 1365.82568 1366.16809 1365.50513
19970303 1360.89785 1365.84058 1366.19495 1365.48596
19970304 1360.88861 1365.83130 1366.19617 1365.46667
19970305 1360.90417 1365.84692 1366.22595 1365.46851
19970306 1360.87693 1365.81958 1366.17603 1365.46387
19970307 1360.89931 1365.84204 1366.20203 1365.48218
19970308 1360.91658 1365.85938 1366.24707 1365.47229
19970309 1360.91561 1365.85840 1366.23230 1365.48486
19970310 1360.89104 1365.83374 1366.18494 1365.48230
19970311 1360.88252 1365.82520 1366.17725 1365.47266
19970312 1360.84956 1365.79211 1366.17151 1365.41296
19970313 1360.89323 1365.83594 1366.18469 1365.48706
19970314 1360.85358 1365.79614 1366.15100 1365.44116
19970315 1360.88630 1365.82898 1366.17725 1365.48059
19970316 1360.89566 1365.83838 1366.18921 1365.48730
19970317 1360.87839 1365.82104 1366.17981 1365.46228
19970318 1360.83558 1365.77808 1366.13123 1365.42505
19970319 1360.72575 1365.66785 1366.02722 1365.30847
19970320 1360.70142 1365.64343 1366.01184 1365.27502
19970321 1360.71334 1365.65540 1366.01746 1365.29370
19970322 1360.71054 1365.65259 1366.02380 1365.28125
19970323 1360.73815 1365.68030 1366.05505 1365.30554
19970324 1360.74435 1365.68652 1366.05908 1365.31396
19970325 1360.76880 1365.71106 1366.07263 1365.34961
19970326 1360.75506 1365.69727 1366.06482 1365.33020
19970327 1360.81174 1365.75415 1366.11084 1365.39746
19970328 1360.87523 1365.81787 1366.15051 1365.48511
19970329 1360.83923 1365.78174 1366.12720 1365.43640
19970330 1360.79094 1365.73328 1366.09460 1365.37207
19970331 1360.78388 1365.72620 1366.07739 1365.37988
19970401 1360.79520 1365.73755 1366.09021 1365.38550
19970402 1360.76759 1365.70984 1366.07166 1365.34814
19970403 1360.86744 1365.81006 1366.16614 1365.45215
19970404 1360.94565 1365.88855 1366.26770 1365.50928
19970405 1360.99904 1365.94214 1366.31433 1365.56799
19970406 1361.00586 1365.94897 1366.32983 1365.56799
19970407 1360.99990 1365.94299 1366.31848 1365.56738
19970408 1360.93118 1365.87402 1366.26160 1365.48608
19970409 1360.88958 1365.83228 1366.19202 1365.47253
19970410 1360.82122 1365.76367 1366.12549 1365.40344
19970411 1360.86343 1365.80603 1366.17859 1365.42920
19970412 1360.90235 1365.84509 1366.22986 1365.45386
19970413 1360.89481 1365.83752 1366.19189 1365.48303
19970414 1360.80809 1365.75049 1366.10706 1365.39380
19970415 1360.74958 1365.69177 1366.03918 1365.34436
19970416 1360.72575 1365.66785 1366.03687 1365.29895
19970417 1360.72441 1365.66650 1366.03210 1365.30103
19970418 1360.77646 1365.71875 1366.07434 1365.36316
19970419 1360.74813 1365.69031 1366.06482 1365.31580
19970420 1360.75834 1365.70056 1366.06482 1365.33545
19970421 1360.75907 1365.70129 1366.06372 1365.33911
19970422 1360.71906 1365.66113 1366.03247 1365.28979
19970423 1360.73560 1365.67773 1366.03125 1365.32434
19970424 1360.75457 1365.69678 1366.04346 1365.35010
19970425 1360.78109 1365.72339 1366.08264 1365.35938
19970426 1360.77732 1365.71960 1366.08215 1365.35706
19970427 1360.85564 1365.79822 1366.14880 1365.44775
19970428 1360.84239 1365.78491 1366.15979 1365.41028
19970429 1360.85686 1365.79944 1366.14978 1365.44910
