;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960720 1360.44501 1365.52405 1365.91357 1365.13428
19960721 1360.42616 1365.50513 1365.89771 1365.11218
19960722 1360.42482 1365.50378 1365.89697 1365.10669
19960723 1360.44866 1365.52771 1365.90662 1365.14880
19960724 1360.41874 1365.49768 1365.90356 1365.09094
19960725 1360.46715 1365.54626 1365.93970 1365.14331
19960726 1360.51543 1365.59473 1365.97546 1365.21399
19960727 1360.50631 1365.58557 1365.99512 1365.17493
19960728 1360.56408 1365.64355 1366.04358 1365.24280
19960729 1360.53416 1365.61353 1366.01965 1365.20520
19960730 1360.45985 1365.53894 1365.92053 1365.15723
19960731 1360.35794 1365.43665 1365.83667 1365.03589
19960801 1360.31610 1365.39465 1365.78186 1365.00720
19960802 1360.29956 1365.37805 1365.73499 1365.02185
19960803 1360.33617 1365.41479 1365.76746 1365.06543
19960804 1360.43443 1365.51343 1365.85852 1365.16931
19960805 1360.55483 1365.63428 1365.96594 1365.30383
19960806 1360.59570 1365.67529 1366.03223 1365.33337
19960807 1360.62573 1365.70544 1366.05054 1365.36133
19960808 1360.54851 1365.62793 1365.98352 1365.26990
19960809 1360.47420 1365.55334 1365.92627 1365.18066
19960810 1360.43662 1365.51563 1365.89099 1365.13660
19960811 1360.37448 1365.45325 1365.83521 1365.07129
19960812 1360.43249 1365.51147 1365.88513 1365.13806
19960813 1360.52504 1365.60437 1365.95471 1365.25366
19960814 1360.48940 1365.56860 1365.94995 1365.18701
19960815 1360.42908 1365.50806 1365.88977 1365.12634
19960816 1360.42580 1365.50476 1365.87048 1365.13916
19960817 1360.45547 1365.53455 1365.91272 1365.15613
19960818 1360.46009 1365.53918 1365.91382 1365.16016
19960819 1360.44878 1365.52783 1365.89563 1365.16016
19960820 1360.45681 1365.53589 1365.90222 1365.16968
19960821 1360.44915 1365.52820 1365.89233 1365.16418
19960822 1360.47298 1365.55212 1365.91077 1365.19360
19960823 1360.54012 1365.61951 1365.96399 1365.27173
19960824 1360.63315 1365.71289 1366.08203 1365.34363
19960825 1360.74164 1365.82178 1366.19690 1365.44678
19960826 1360.76985 1365.85010 1366.22107 1365.47925
19960827 1360.72789 1365.80798 1366.18359 1365.43250
19960828 1360.70260 1365.78259 1366.13501 1365.42993
19960829 1360.65480 1365.73462 1366.11243 1365.35681
19960830 1360.68168 1365.76160 1366.14392 1365.37939
19960831 1360.72619 1365.80627 1366.16980 1365.44275
19960901 1360.75526 1365.83545 1366.21057 1365.46057
19960902 1360.78311 1365.86340 1366.21143 1365.51208
19960903 1360.74346 1365.82361 1366.17310 1365.47412
19960904 1360.64629 1365.72607 1366.07410 1365.37793
19960905 1360.56529 1365.64478 1366.00269 1365.28687
19960906 1360.50023 1365.57947 1365.95728 1365.20203
19960907 1360.52236 1365.60168 1365.97351 1365.22620
19960908 1360.53768 1365.61707 1365.97168 1365.26257
19960909 1360.54462 1365.62402 1365.99329 1365.25500
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.50363 1365.58289  -99.00000 1365.22791
19960915 1360.48685 1365.56604  -99.00000 1365.21057
19960916 1360.43236 1365.51135  -99.00000 1365.15588
19960917 1360.54863 1365.62805 1365.98767 1365.29077
19960918 1360.57174 1365.65125 1366.00293 1365.29956
19960919 1360.57478 1365.65430 1366.02332 1365.28540
19960920 1360.61588 1365.69556 1366.06860 1365.32263
19960921 1360.70637 1365.78638 1366.13586 1365.43689
19960922 1360.72497 1365.80505 1366.16455 1365.44250
19960923 1360.75732 1365.83752 1366.19739 1365.47766
19960924 1360.71792 1365.79797 1366.15234 1365.44360
19960925 1360.73312 1365.81323 1366.14685 1365.47949
19960926 1360.72218 1365.80225 1366.12610 1365.47791
19960927 1360.68764 1365.76758 1366.12476 1365.41394
19960928 1360.71074 1365.79077 1366.13660 1365.44458
19960929 1360.69931 1365.77930 1366.11426 1365.44629
19960930 1360.67766 1365.75757 1366.09229 1365.43323
19961001 1360.61138 1365.69104 1366.02051 1365.36133
19961002 1360.51348 1365.59277 1365.94238 1365.23767
19961003 1360.50351 1365.58276 1365.91785 1365.24744
19961004 1360.54827 1365.62769 1365.92285 1365.33167
19961005 1360.50132 1365.58057 1365.89099 1365.26941
19961006 1360.45985 1365.53894 1365.88757 1365.19031
19961007 1360.45413 1365.53320 1365.87183 1365.18909
19961008 1360.46836 1365.54749 1365.87463 1365.21985
19961009 1360.48989 1365.56909 1365.88025 1365.25708
19961010 1360.48867 1365.56787 1365.88965 1365.24548
19961011 1360.45961 1365.53870 1365.87512 1365.20190
19961012 1360.46508 1365.54419 1365.88843 1365.19604
19961013 1360.45462 1365.53369 1365.86597 1365.20081
19961014 1360.49317 1365.57239 1365.90662 1365.23755
19961015 1360.51312 1365.59241 1365.91272 1365.27100
19961016 1360.51616 1365.59546 1365.91748 1365.27222
19961017 1360.59788 1365.67749 1365.97656 1365.37341
19961018 1360.65869 1365.73853 1366.05725 1365.43188
19961019 1360.65663 1365.73645 1366.07385 1365.39832
19961020 1360.64629 1365.72607 1366.09058 1365.36255
19961021 1360.65358 1365.73340 1366.09924 1365.36902
19961022 1360.68727 1365.76721 1366.11462 1365.41858
19961023 1360.66088 1365.74072 1366.11426 1365.36951
19961024 1360.71293 1365.79297 1366.13770 1365.44812
19961025 1360.65735 1365.73718 1366.12122 1365.35693
19961026 1360.64763 1365.72742 1366.07153 1365.38306
19961027 1360.64787 1365.72766 1366.07556 1365.37561
19961028 1360.59886 1365.67847 1366.02917 1365.33594
19961029 1360.57575 1365.65527 1365.98645 1365.32227
19961030 1360.50400 1365.58325 1365.93921 1365.22888
19961031 1360.48709 1365.56628 1365.91553 1365.21765
19961101 1360.52479 1365.60413 1365.93469 1365.26709
19961102 1360.50606 1365.58533 1365.94189 1365.23071
19961103 1360.50898 1365.58826 1365.92969 1365.24658
19961104 1360.49159 1365.57080 1365.92896 1365.21509
19961105 1360.50327 1365.58252 1365.92468 1365.24011
19961106 1360.51908 1365.59839 1365.96619 1365.23401
19961107 1360.54997 1365.62939 1365.97046 1365.28809
19961108 1360.52054 1365.59985 1365.96301 1365.23999
19961109 1360.52005 1365.59937 1365.95984 1365.23877
19961110 1360.54912 1365.62854 1365.99426 1365.26514
19961111 1360.61029 1365.68994 1366.02527 1365.35400
19961112 1360.62038 1365.70007 1366.06274 1365.34058
19961113 1360.67256 1365.75244 1366.07410 1365.44995
19961114 1360.70916 1365.78918 1366.14844 1365.43262
19961115 1360.74042 1365.82056 1366.17700 1365.46606
19961116 1360.79089 1365.87122 1366.19458 1365.54236
19961117 1360.79417 1365.87451 1366.22571 1365.52307
19961118 1360.76122 1365.84143 1366.21167 1365.47522
19961119 1360.76584 1365.84607 1366.21277 1365.48279
19961120 1360.75586 1365.83606 1366.19116 1365.48230
19961121 1360.75015 1365.83032 1366.19714 1365.46008
19961122 1360.67341 1365.75330 1366.11121 1365.40186
19961123 1360.37046 1365.44922 1365.78857 1365.10474
19961124 1360.05438 1365.13196 1365.47046 1364.79224
19961125 1359.65512 1364.73120 1365.09253 1364.37231
19961126 1359.69245 1364.76868 1365.11292 1364.42615
19961127 1359.78293 1364.85950 1365.20959 1364.50977
19961128 1359.92121 1364.99829 1365.32764 1364.66589
19961129 1360.17855 1365.25659 1365.58765 1364.92273
19961130 1360.43164 1365.51062 1365.85059 1365.18347
19961201 1360.58086 1365.66040 1366.00684 1365.30444
19961202 1360.59266 1365.67224 1366.03955 1365.30664
19961203 1360.54656 1365.62598 1365.98181 1365.27136
19961204 1360.55568 1365.63513 1365.97302 1365.29565
19961205 1360.52139 1365.60071 1365.94641 1365.25476
19961206 1360.54851 1365.62793 1365.97656 1365.27759
19961207 1360.57721 1365.65674 1365.99805 1365.31433
19961208 1360.56408 1365.64355 1365.97498 1365.30957
19961209 1360.56785 1365.64734 1365.98755 1365.30615
19961210 1360.59047 1365.67004 1366.02100 1365.31970
19961211 1360.63850 1365.71826 1366.04761 1365.38501
19961212 1360.69262 1365.77258 1366.10889 1365.43457
19961213 1360.77812 1365.85840 1366.19971 1365.51611
19961214 1360.82300 1365.90344 1366.22559 1365.57727
19961215 1360.77824 1365.85852 1366.19348 1365.52148
19961216 1360.74626 1365.82642 1366.15759 1365.49072
19961217 1360.79077 1365.87109 1366.19446 1365.54395
19961218 1360.81242 1365.89282 1366.22803 1365.55554
19961219 1360.84258 1365.92310 1366.27710 1365.56982
19961220 1360.88198 1365.96265 1366.30298 1365.62085
19961221 1360.88295 1365.96362 1366.29626 1365.62524
19961222 1360.85279 1365.93335 1366.26794 1365.59656
19961223 1360.77678 1365.85706 1366.20447 1365.50903
19961224 1360.71804 1365.79810 1366.12390 1365.46863
19961225 1360.67511 1365.75500 1366.11523 1365.37842
19961226 1360.68557 1365.76550 1366.11926 1365.41016
19961227 1360.66648 1365.74634 1366.11523 1365.37976
19961228 1360.64349 1365.72327 1366.09033 1365.35803
19961229 1360.57076 1365.65027 1366.02271 1365.28052
19961230 1360.56286 1365.64233 1366.00305 1365.28247
19961231 1360.60007 1365.67969 1366.02161 1365.33179
19970101 1360.60883 1365.68848 1366.03845 1365.33813
19970102 1360.62646 1365.70618 1366.05774 1365.35449
19970103 1360.68460 1365.76453 1366.10645 1365.42126
19970104 1360.67645 1365.75635 1366.11316 1365.40002
19970105 1360.67815 1365.75806 1366.11035 1365.40747
19970106 1360.65930 1365.73914 1366.08008 1365.39661
19970107 1360.68703 1365.76697 1366.11597 1365.41711
19970108 1360.74382 1365.82397 1366.18408 1365.46436
19970109 1360.77399 1365.85425 1366.22302 1365.48706
19970110 1360.81655 1365.89697 1366.23877 1365.55188
19970111 1360.80293 1365.88330 1366.23511 1365.53088
19970112 1360.74735 1365.82751 1366.17542 1365.47852
19970113 1360.72984 1365.80994 1366.15918 1365.45959
19970114 1360.77435 1365.85461 1366.18213 1365.52344
19970115 1360.74626 1365.82642 1366.14099 1365.49719
19970116 1360.72777 1365.80786 1366.17310 1365.44324
19970117 1360.77690 1365.85718 1366.18042 1365.52979
19970118 1360.71476 1365.79480 1366.14087 1365.44714
19970119 1360.69275 1365.77271 1366.12622 1365.41846
19970120 1360.69603 1365.77600 1366.10107 1365.44275
19970121 1360.67450 1365.75439 1366.14587 1365.36633
19970122 1360.63376 1365.71350 1366.08594 1365.34216
19970123 1360.63571 1365.71545 1366.10156 1365.33215
19970124 1360.66940 1365.74927 1366.12476 1365.37512
19970125 1360.66891 1365.74878 1366.10156 1365.39209
19970126 1360.61418 1365.69385 1366.08167 1365.30872
19970127 1360.59533 1365.67493 1366.05444 1365.29688
19970128 1360.63814 1365.71790 1366.09131 1365.34521
19970129 1360.62391 1365.70361 1366.08630 1365.32251
19970130 1360.64203 1365.72180 1366.09412 1365.35022
19970131 1360.67280 1365.75269 1366.11707 1365.38782
19970201 1360.66903 1365.74890 1366.12891 1365.37012
19970202 1360.64872 1365.72852 1366.09802 1365.35889
19970203 1360.51920 1365.59851 1365.98315 1365.21558
19970204 1360.60093 1365.68054 1366.06067 1365.30664
19970205 1360.72874 1365.80884 1366.18640 1365.43188
19970206 1360.77824 1365.85852 1366.22791 1365.48889
19970207 1360.76693 1365.84717 1366.23438 1365.46167
19970208 1360.73616 1365.81628 1366.20166 1365.43237
19970209 1360.75538 1365.83557 1366.19702 1365.47046
19970210 1360.73057 1365.81067 1366.17627 1365.44421
19970211 1360.71318 1365.79321 1366.15161 1365.43311
19970212 1360.69542 1365.77539 1366.14575 1365.40454
19970213 1360.66429 1365.74414 1366.12830 1365.36084
19970214 1360.64836 1365.72815 1366.11096 1365.34070
19970215 1360.64483 1365.72461 1366.09131 1365.35681
19970216 1360.67110 1365.75098 1366.10242 1365.39685
19970217 1360.63875 1365.71851 1366.09961 1365.33777
19970218 1360.65298 1365.73279 1366.11353 1365.35242
19970219 1360.64531 1365.72510 1366.10291 1365.34717
19970220 1360.62464 1365.70435 1366.08716 1365.32202
19970221 1360.61357 1365.69324 1366.08325 1365.30432
19970222 1360.59934 1365.67896 1366.08911 1365.27197
19970223 1360.62282 1365.70251 1366.10193 1365.30505
19970224 1360.68484 1365.76477 1366.13403 1365.39160
19970225 1360.71622 1365.79626 1366.17371 1365.41858
19970226 1360.74139 1365.82153 1366.19556 1365.44861
19970227 1360.74285 1365.82300 1366.19727 1365.44812
19970228 1360.70454 1365.78455 1366.18274 1365.38721
19970301 1360.78457 1365.86487 1366.19153 1365.55200
19970302 1360.74151 1365.82166 1366.19067 1365.47449
19970303 1360.75805 1365.83826 1366.21863 1365.45764
19970304 1360.74650 1365.82666 1366.22021 1365.43347
19970305 1360.76340 1365.84363 1366.24939 1365.43848
19970306 1360.73337 1365.81348 1366.20056 1365.42725
19970307 1360.75672 1365.83691 1366.22217 1365.45178
19970308 1360.77155 1365.85181 1366.26941 1365.43469
19970309 1360.77593 1365.85620 1366.25806 1365.45447
19970310 1360.74942 1365.82959 1366.20874 1365.45044
19970311 1360.74018 1365.82031 1366.20081 1365.43945
19970312 1360.70892 1365.78894 1366.19702 1365.38049
19970313 1360.74978 1365.82996 1366.20801 1365.45215
19970314 1360.71196 1365.79199 1366.17505 1365.40894
19970315 1360.74030 1365.82043 1366.19690 1365.44421
19970316 1360.75647 1365.83667 1366.21533 1365.45813
19970317 1360.73531 1365.81543 1366.20325 1365.42761
19970318 1360.69858 1365.77856 1366.16040 1365.39697
19970319 1360.58706 1365.66663 1366.05359 1365.27979
19970320 1360.55714 1365.63660 1366.03406 1365.23889
19970321 1360.57307 1365.65259 1366.04333 1365.26270
19970322 1360.56809 1365.64758 1366.04724 1365.24768
19970323 1360.59582 1365.67542 1366.07910 1365.27148
19970324 1360.59813 1365.67773 1366.08008 1365.27515
19970325 1360.62756 1365.70728 1366.09644 1365.31812
19970326 1360.61564 1365.69531 1366.09180 1365.29932
19970327 1360.66307 1365.74292 1366.12903 1365.35693
19970328 1360.73337 1365.81348 1366.17627 1365.45117
19970329 1360.69968 1365.77966 1366.15283 1365.40674
19970330 1360.65054 1365.73035 1366.12183 1365.33887
19970331 1360.63777 1365.71753 1366.10046 1365.33911
19970401 1360.65444 1365.73425 1366.11572 1365.35352
19970402 1360.62391 1365.70361 1366.09558 1365.31152
19970403 1360.72072 1365.80078 1366.18518 1365.41467
19970404 1360.79940 1365.87976 1366.28845 1365.47070
19970405 1360.85620 1365.93677 1366.33960 1365.53186
19970406 1360.86045 1365.94104 1366.35339 1365.52844
19970407 1360.85887 1365.93945 1366.34412 1365.53467
19970408 1360.78578 1365.86609 1366.28735 1365.44434
19970409 1360.75380 1365.83398 1366.22205 1365.44580
19970410 1360.67961 1365.75952 1366.15198 1365.36865
19970411 1360.71378 1365.79382 1366.19873 1365.38879
19970412 1360.76182 1365.84204 1366.25720 1365.41699
19970413 1360.75088 1365.83105 1366.21790 1365.44409
19970414 1360.66648 1365.74634 1366.13586 1365.35669
19970415 1360.60932 1365.68896 1366.06726 1365.31140
19970416 1360.58317 1365.66272 1366.06213 1365.26306
19970417 1360.57891 1365.65845 1366.05688 1365.25989
19970418 1360.63072 1365.71045 1366.09631 1365.32458
19970419 1360.60324 1365.68286 1366.09106 1365.27441
19970420 1360.61637 1365.69604 1366.09216 1365.29932
19970421 1360.61491 1365.69458 1366.08862 1365.30029
19970422 1360.57551 1365.65503 1366.05896 1365.25085
19970423 1360.59034 1365.66992 1366.05640 1365.28333
19970424 1360.61053 1365.69019 1366.06812 1365.31226
19970425 1360.63656 1365.71631 1366.10876 1365.31946
19970426 1360.63145 1365.71118 1366.10681 1365.31543
19970427 1360.70649 1365.78650 1366.17017 1365.40271
19970428 1360.70053 1365.78052 1366.18787 1365.37305
19970429 1360.70941 1365.78943 1366.17236 1365.40637
