;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19961009 1360.47250 1365.55164 1365.86401 1365.23828
19961010 1360.47116 1365.55029 1365.87329 1365.22656
19961011 1360.44197 1365.52100 1365.85876 1365.18274
19961012 1360.44732 1365.52637 1365.87207 1365.17688
19961013 1360.43674 1365.51575 1365.84961 1365.18140
19961014 1360.47530 1365.55444 1365.89014 1365.21802
19961015 1360.49524 1365.57446 1365.89624 1365.25134
19961016 1360.49804 1365.57727 1365.90088 1365.25244
19961017 1360.57989 1365.65942 1365.95996 1365.35364
19961018 1360.64045 1365.72021 1366.04065 1365.41199
19961019 1360.63826 1365.71802 1366.05713 1365.37830
19961020 1360.62780 1365.70752 1366.07373 1365.34253
19961021 1360.63510 1365.71484 1366.08240 1365.34875
19961022 1360.66867 1365.74854 1366.09766 1365.39819
19961023 1360.64227 1365.72205 1366.09729 1365.34912
19961024 1360.69420 1365.77417 1366.12073 1365.42761
19961025 1360.63850 1365.71826 1366.10425 1365.33618
19961026 1360.62865 1365.70837 1366.05444 1365.36218
19961027 1360.62890 1365.70862 1366.05835 1365.35474
19961028 1360.57989 1365.65942 1366.01196 1365.31494
19961029 1360.55654 1365.63599 1365.96912 1365.30115
19961030 1360.48490 1365.56409 1365.92188 1365.20776
19961031 1360.46776 1365.54688 1365.89819 1365.19629
19961101 1360.50533 1365.58459 1365.91724 1365.24561
19961102 1360.48673 1365.56592 1365.92444 1365.20923
19961103 1360.48952 1365.56873 1365.91211 1365.22498
19961104 1360.47213 1365.55127 1365.91138 1365.19336
19961105 1360.48357 1365.56274 1365.90710 1365.21826
19961106 1360.49950 1365.57874 1365.94849 1365.21216
19961107 1360.53014 1365.60950 1365.95276 1365.26599
19961108 1360.50071 1365.57996 1365.94519 1365.21777
19961109 1360.50023 1365.57947 1365.94202 1365.21643
19961110 1360.52917 1365.60852 1365.97644 1365.24280
19961111 1360.59010 1365.66968 1366.00732 1365.33154
19961112 1360.60032 1365.67993 1366.04480 1365.31812
19961113 1360.65225 1365.73206 1366.05615 1365.42737
19961114 1360.68898 1365.76892 1366.13025 1365.40991
19961115 1360.71999 1365.80005 1366.15881 1365.44324
19961116 1360.77021 1365.85046 1366.17639 1365.51941
19961117 1360.77362 1365.85388 1366.20752 1365.50000
19961118 1360.74066 1365.82080 1366.19336 1365.45203
19961119 1360.74528 1365.82544 1366.19446 1365.45959
19961120 1360.73519 1365.81531 1366.17273 1365.45911
19961121 1360.72960 1365.80969 1366.17871 1365.43665
19961122 1360.65261 1365.73242 1366.09265 1365.37842
19961123 1360.34942 1365.42810 1365.77002 1365.08130
19961124 1360.03334 1365.11084 1365.45190 1364.76868
19961125 1359.63420 1364.71021 1365.07385 1364.34863
19961126 1359.67117 1364.74731 1365.09424 1364.40234
19961127 1359.76165 1364.83813 1365.19080 1364.48596
19961128 1359.89981 1364.97681 1365.30884 1364.64209
19961129 1360.15715 1365.23511 1365.56873 1364.89880
19961130 1360.41023 1365.48914 1365.83167 1365.15942
19961201 1360.55933 1365.63879 1365.98792 1365.28040
19961202 1360.57125 1365.65076 1366.02063 1365.28247
19961203 1360.52504 1365.60437 1365.96277 1365.24707
19961204 1360.53404 1365.61340 1365.95386 1365.27136
19961205 1360.49974 1365.57898 1365.92725 1365.23035
19961206 1360.52674 1365.60608 1365.95740 1365.25317
19961207 1360.55532 1365.63477 1365.97876 1365.28992
19961208 1360.54206 1365.62146 1365.95569 1365.28503
19961209 1360.54595 1365.62537 1365.96814 1365.28149
19961210 1360.56858 1365.64807 1366.00159 1365.29504
19961211 1360.61637 1365.69604 1366.02808 1365.36023
19961212 1360.67049 1365.75037 1366.08936 1365.40979
19961213 1360.75599 1365.83618 1366.18018 1365.49121
19961214 1360.80062 1365.88098 1366.20605 1365.55237
19961215 1360.75599 1365.83618 1366.17383 1365.49658
19961216 1360.72388 1365.80396 1366.13782 1365.46582
19961217 1360.76839 1365.84863 1366.17468 1365.51892
19961218 1360.79004 1365.87036 1366.20825 1365.53052
19961219 1360.82020 1365.90063 1366.25720 1365.54468
19961220 1360.85948 1365.94006 1366.28308 1365.59570
19961221 1360.86033 1365.94092 1366.27625 1365.59998
19961222 1360.83017 1365.91064 1366.24792 1365.57129
19961223 1360.75416 1365.83435 1366.18445 1365.48376
19961224 1360.69530 1365.77527 1366.10388 1365.44324
19961225 1360.65261 1365.73242 1366.09509 1365.35303
19961226 1360.66283 1365.74268 1366.09912 1365.38477
19961227 1360.64386 1365.72363 1366.09509 1365.35425
19961228 1360.62063 1365.70032 1366.07007 1365.33252
19961229 1360.54802 1365.62744 1366.00232 1365.25500
19961230 1360.54000 1365.61938 1365.98267 1365.25696
19961231 1360.57709 1365.65662 1366.00122 1365.30615
19970101 1360.58584 1365.66541 1366.01794 1365.31250
19970102 1360.60348 1365.68311 1366.03723 1365.32874
19970103 1360.66149 1365.74133 1366.08582 1365.39551
19970104 1360.65346 1365.73328 1366.09253 1365.37427
19970105 1360.65504 1365.73486 1366.08960 1365.38171
19970106 1360.63607 1365.71582 1366.05933 1365.37073
19970107 1360.66380 1365.74365 1366.09521 1365.39136
19970108 1360.72060 1365.80066 1366.16333 1365.43848
19970109 1360.75076 1365.83093 1366.20215 1365.46118
19970110 1360.79308 1365.87341 1366.21777 1365.52588
19970111 1360.77958 1365.85986 1366.21411 1365.50488
19970112 1360.72388 1365.80396 1366.15430 1365.45264
