;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960712 1360.44808 1365.61933 1366.01457 1365.22306
19960713 1360.40322 1365.57430 1365.97861 1365.16099
19960714 1360.33403 1365.50484 1365.90397 1365.10509
19960715 1360.35398 1365.52487 1365.92704 1365.12197
19960716 1360.36477 1365.53570 1365.92031 1365.15150
19960717 1360.36869 1365.53964 1365.93221 1365.14669
19960718 1360.33401 1365.50482 1365.89885 1365.11036
19960719 1360.35606 1365.52695 1365.92130 1365.13463
19960720 1360.35107 1365.52195 1365.91203 1365.13157
19960721 1360.33371 1365.50453 1365.89691 1365.11175
19960722 1360.33528 1365.50610 1365.89841 1365.11035
19960723 1360.35334 1365.52423 1365.90414 1365.14437
19960724 1360.33019 1365.50100 1365.90653 1365.09458
19960725 1360.37771 1365.54870 1365.94149 1365.14788
19960726 1360.42400 1365.59516 1365.97716 1365.21309
19960727 1360.41554 1365.58666 1365.99541 1365.17695
19960728 1360.47370 1365.64505 1366.04615 1365.24324
19960729 1360.43812 1365.60933 1366.01498 1365.20144
19960730 1360.36773 1365.53867 1365.91826 1365.15908
19960731 1360.26034 1365.43087 1365.83295 1365.02810
19960801 1360.22163 1365.39202 1365.77820 1365.00564
19960802 1360.21038 1365.38072 1365.73660 1365.02552
19960803 1360.24815 1365.41863 1365.77148 1365.06932
19960804 1360.34642 1365.51728 1365.86250 1365.17301
19960805 1360.46635 1365.63767 1365.96872 1365.30793
19960806 1360.50631 1365.67778 1366.03493 1365.33667
19960807 1360.53131 1365.70288 1366.04721 1365.35944
19960808 1360.45450 1365.62577 1365.98321 1365.26601
19960809 1360.37954 1365.55053 1365.92373 1365.17744
19960810 1360.34300 1365.51385 1365.88959 1365.13419
19960811 1360.27976 1365.45037 1365.83201 1365.06864
19960812 1360.34862 1365.51949 1365.89144 1365.14766
19960813 1360.43204 1365.60323 1365.95418 1365.25196
19960814 1360.39395 1365.56499 1365.94794 1365.18191
19960815 1360.33863 1365.50946 1365.88975 1365.12908
19960816 1360.33406 1365.50487 1365.87154 1365.13832
19960817 1360.36122 1365.53214 1365.91013 1365.15409
19960818 1360.37006 1365.54101 1365.91425 1365.16420
19960819 1360.35713 1365.52804 1365.89614 1365.15997
19960820 1360.36509 1365.53602 1365.90245 1365.16963
19960821 1360.35610 1365.52700 1365.89109 1365.16294
19960822 1360.38654 1365.55756 1365.91496 1365.20016
19960823 1360.44980 1365.62105 1365.96680 1365.27201
19960824 1360.54551 1365.71713 1366.08738 1365.34689
19960825 1360.65314 1365.82517 1366.19969 1365.45066
19960826 1360.67793 1365.85006 1366.22069 1365.47944
19960827 1360.63444 1365.80640 1366.18137 1365.43148
19960828 1360.60724 1365.77909 1366.13200 1365.42579
19960829 1360.56316 1365.73485 1366.11370 1365.35610
19960830 1360.59347 1365.76527 1366.14577 1365.38492
19960831 1360.63554 1365.80751 1366.17204 1365.44298
19960901 1360.66478 1365.83685 1366.21151 1365.46232
19960902 1360.68938 1365.86154 1366.21031 1365.50949
19960903 1360.65080 1365.82282 1366.17063 1365.47485
19960904 1360.54919 1365.72082 1366.06980 1365.37170
19960905 1360.46804 1365.63937 1365.99932 1365.27942
19960906 1360.41078 1365.58188 1365.95751 1365.20648
19960907 1360.42757 1365.59874 1365.97239 1365.22088
19960908 1360.44683 1365.61807 1365.97251 1365.26361
19960909 1360.45658 1365.62786 1365.99460 1365.26124
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.41191 1365.58303  -99.00000 1365.22803
19960915 1360.38981 1365.56084  -99.00000 1365.20536
19960916 1360.34200 1365.51284  -99.00000 1365.15732
19960917 1360.46418 1365.63549 1365.98889 1365.29913
19960918 1360.47970 1365.65107 1366.00338 1365.29875
19960919 1360.48288 1365.65426 1366.02453 1365.28408
19960920 1360.52714 1365.69869 1366.07095 1365.32654
19960921 1360.61515 1365.78704 1366.13756 1365.43649
19960922 1360.63636 1365.80833 1366.16652 1365.44734
19960923 1360.66526 1365.83734 1366.19861 1365.47613
19960924 1360.62451 1365.79642 1366.14837 1365.44447
19960925 1360.64239 1365.81438 1366.14707 1365.48146
19960926 1360.62780 1365.79973 1366.12456 1365.47455
19960927 1360.59718 1365.76899 1366.12734 1365.41432
19960928 1360.61841 1365.79030 1366.13561 1365.44450
19960929 1360.60441 1365.77625 1366.11162 1365.44609
19960930 1360.58661 1365.75839 1366.09342 1365.43052
19961001 1360.51465 1365.68615 1366.01468 1365.35731
19961002 1360.42017 1365.59132 1365.94048 1365.23645
19961003 1360.41614 1365.58727 1365.92004 1365.25422
19961004 1360.45138 1365.62265 1365.91901 1365.32547
19961005 1360.41014 1365.58125 1365.89131 1365.27056
19961006 1360.36529 1365.53623 1365.88830 1365.18418
19961007 1360.36249 1365.53342 1365.86897 1365.19208
19961008 1360.37580 1365.54677 1365.87472 1365.21841
19961009 1360.40078 1365.57185 1365.88205 1365.26081
19961010 1360.39596 1365.56702 1365.89003 1365.24338
19961011 1360.36810 1365.53905 1365.87539 1365.20238
19961012 1360.37123 1365.54218 1365.88666 1365.19365
19961013 1360.36356 1365.53449 1365.86655 1365.20191
19961014 1360.40118 1365.57225 1365.90810 1365.23595
19961015 1360.42192 1365.59307 1365.91176 1365.27320
19961016 1360.42534 1365.59650 1365.91804 1365.27375
19961017 1360.51084 1365.68233 1365.98320 1365.37825
19961018 1360.57041 1365.74213 1366.05858 1365.43456
19961019 1360.56129 1365.73297 1366.07285 1365.39259
19961020 1360.55682 1365.72848 1366.09408 1365.36411
19961021 1360.56225 1365.73393 1366.09845 1365.37069
19961022 1360.59218 1365.76398 1366.11344 1365.41346
19961023 1360.57295 1365.74467 1366.11670 1365.37488
19961024 1360.61971 1365.79162 1366.13668 1365.44648
19961025 1360.56214 1365.73382 1366.11813 1365.35346
19961026 1360.55539 1365.72705 1366.07088 1365.38303
19961027 1360.55924 1365.73091 1366.07846 1365.37936
19961028 1360.50413 1365.67560 1366.02522 1365.33344
19961029 1360.48133 1365.65270 1365.98426 1365.31941
19961030 1360.41052 1365.58163 1365.93809 1365.22680
19961031 1360.39418 1365.56522 1365.91447 1365.21668
19961101 1360.43539 1365.60659 1365.93706 1365.26980
19961102 1360.41219 1365.58330 1365.94098 1365.22779
19961103 1360.41361 1365.58473 1365.92794 1365.24148
19961104 1360.40260 1365.57368 1365.93059 1365.21899
19961105 1360.41232 1365.58343 1365.92494 1365.24165
19961106 1360.42948 1365.60065 1365.96824 1365.23645
19961107 1360.45890 1365.63019 1365.97182 1365.28834
19961108 1360.42766 1365.59883 1365.96084 1365.23996
19961109 1360.42822 1365.59939 1365.95972 1365.23672
19961110 1360.46130 1365.63260 1365.99579 1365.27252
19961111 1360.51613 1365.68764 1366.02680 1365.34799
19961112 1360.53165 1365.70322 1366.06477 1365.34467
19961113 1360.58061 1365.75236 1366.07587 1365.44743
19961114 1360.61964 1365.79154 1366.14964 1365.43583
19961115 1360.65088 1365.82290 1366.17802 1365.46960
19961116 1360.69927 1365.87147 1366.19557 1365.54328
19961117 1360.70184 1365.87405 1366.22678 1365.52082
19961118 1360.67023 1365.84232 1366.21134 1365.47722
19961119 1360.67190 1365.84400 1366.21090 1365.48054
19961120 1360.66527 1365.83735 1366.19209 1365.48299
19961121 1360.65571 1365.82774 1366.19541 1365.45825
19961122 1360.57447 1365.74620 1366.10262 1365.39453
19961123 1360.26445 1365.43500 1365.77426 1365.09017
19961124 1359.94491 1365.11425 1365.45317 1364.77410
19961125 1359.55659 1364.72445 1365.08577 1364.36542
19961126 1359.60736 1364.77541 1365.11969 1364.43317
19961127 1359.69375 1364.86214 1365.21216 1364.51246
19961128 1359.83793 1365.00686 1365.33648 1364.67427
19961129 1360.09661 1365.26652 1365.59699 1364.93318
19961130 1360.34796 1365.51883 1365.85981 1365.19314
19961201 1360.49548 1365.66691 1366.01269 1365.31257
19961202 1360.49951 1365.67096 1366.03778 1365.30705
19961203 1360.45449 1365.62576 1365.98179 1365.27098
19961204 1360.46238 1365.63368 1365.97078 1365.29485
19961205 1360.42942 1365.60060 1365.94668 1365.25428
19961206 1360.45917 1365.63046 1365.97851 1365.28076
19961207 1360.48448 1365.65586 1365.99801 1365.31290
19961208 1360.47192 1365.64326 1365.97479 1365.30929
19961209 1360.47631 1365.64767 1365.98832 1365.30599
19961210 1360.50183 1365.67328 1366.02465 1365.32254
19961211 1360.54744 1365.71907 1366.04761 1365.38644
19961212 1360.60391 1365.77575 1366.11204 1365.43772
19961213 1360.68979 1365.86196 1366.20121 1365.52138
19961214 1360.72971 1365.90203 1366.22649 1365.57393
19961215 1360.68513 1365.85728 1366.19042 1365.52178
19961216 1360.65341 1365.82544 1366.15720 1365.48924
19961217 1360.70292 1365.87514 1366.19816 1365.54820
19961218 1360.71674 1365.88901 1366.22656 1365.54965
19961219 1360.75633 1365.92875 1366.28207 1365.57596
19961220 1360.78932 1365.96187 1366.30228 1365.62005
19961221 1360.79209 1365.96465 1366.29546 1365.62772
19961222 1360.75832 1365.93075 1366.26572 1365.59351
19961223 1360.68055 1365.85268 1366.20056 1365.50438
19961224 1360.62439 1365.79631 1366.12323 1365.46588
19961225 1360.58250 1365.75426 1366.11572 1365.37518
19961226 1360.59378 1365.76558 1366.11882 1365.41085
19961227 1360.57484 1365.74657 1366.11522 1365.38013
19961228 1360.54893 1365.72056 1366.08789 1365.35521
19961229 1360.47669 1365.64805 1366.01923 1365.27930
19961230 1360.47274 1365.64408 1366.00576 1365.28351
19961231 1360.50860 1365.68008 1366.02104 1365.33305
19970101 1360.51910 1365.69062 1366.04064 1365.34015
19970102 1360.53556 1365.70715 1366.05794 1365.35601
19970103 1360.59338 1365.76518 1366.10756 1365.42134
19970104 1360.58460 1365.75637 1366.11312 1365.39993
19970105 1360.58575 1365.75753 1366.10999 1365.40658
19970106 1360.56518 1365.73687 1366.07877 1365.39337
19970107 1360.59961 1365.77143 1366.11997 1365.42210
19970108 1360.65416 1365.82619 1366.18636 1365.46657
19970109 1360.68351 1365.85565 1366.22443 1365.48838
19970110 1360.72361 1365.89591 1366.23688 1365.55145
19970111 1360.70950 1365.88175 1366.23390 1365.52901
19970112 1360.65351 1365.82554 1366.17446 1365.47562
19970113 1360.63977 1365.81175 1366.16006 1365.46230
19970114 1360.68289 1365.85503 1366.18115 1365.52515
19970115 1360.65207 1365.82410 1366.14051 1365.49314
19970116 1360.63788 1365.80985 1366.17472 1365.44561
19970117 1360.68348 1365.85563 1366.17933 1365.52774
19970118 1360.62157 1365.79348 1366.13881 1365.44639
19970119 1360.60024 1365.77207 1366.12501 1365.41817
19970120 1360.60429 1365.77613 1366.10319 1365.44116
19970121 1360.58181 1365.75357 1366.14503 1365.36561
19970122 1360.53962 1365.71122 1366.08462 1365.33914
19970123 1360.54771 1365.71934 1366.10468 1365.33666
19970124 1360.57701 1365.74875 1366.12341 1365.37536
19970125 1360.57412 1365.74585 1366.09912 1365.38865
19970126 1360.52023 1365.69176 1366.07986 1365.30634
19970127 1360.50705 1365.67852 1366.05724 1365.30125
19970128 1360.54567 1365.71729 1366.09194 1365.34351
