;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1264     2.7140     0.1302
    1267     2.7222     0.1268
    1270     2.7488     0.1545
    1273     2.7492     0.0953
    1276     2.7495     0.1322
    1279     2.8091     0.1767
    1282     2.7975     0.1127
    1285     2.7860     0.1186
    1288     2.7346     0.1125
    1291     2.7434     0.1120
    1294     2.7521     0.1115
    1297     2.7209     0.1097
    1300     2.7863     0.1144
    1303     2.7710     0.1290
    1306     2.7557     0.1200
    1309     2.8306     0.1202
    1312     2.8200     0.1763
    1315     2.8095     0.1389
    1318     2.7835     0.1345
    1321     2.7942     0.1397
    1324     2.8049     0.1448
    1327     2.8246     0.1777
    1330     2.8265     0.1540
    1333     2.9348     0.2070
    1336     2.8259     0.1554
    1339     2.8661     0.1019
    1342     2.8832     0.1865
    1345     2.9004     0.1482
    1348     2.9097     0.1704
    1351     2.9039     0.1499
    1354     2.8981     0.1310
    1357     2.9387     0.1943
    1360     2.9243     0.1762
    1363     2.9328     0.1694
    1366     2.8687     0.1641
    1369     2.9245     0.1795
    1372     2.9588     0.1805
    1375     2.8996     0.2042
    1378     2.9623     0.1859
    1381     2.9880     0.1531
    1384     3.0137     0.2003
    1387     2.9382     0.1234
    1390     2.9882     0.1573
    1393     2.9719     0.1149
    1396     2.9555     0.1509
    1399     2.9923     0.1588
    1402     2.9181     0.1499
    1405     3.0422     0.1693
    1408     2.9950     0.1384
    1411     2.9775     0.1270
    1414     2.9601     0.1156
    1417     2.9859     0.1343
    1420     3.0445     0.1356
