;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1099     2.1655     0.1116
    1102     2.2935     0.0614
    1105     2.2471     0.0580
    1108     2.3122     0.1197
    1111        NaN        NaN
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0937
    1165     2.4503     0.0913
    1168     2.4127     0.0874
    1171     2.4309     0.0987
    1174     2.4490     0.1100
    1177     2.4672     0.1213
    1180     2.4739     0.1322
    1183     2.5731     0.1275
    1186     2.4802     0.0824
    1189     2.5231     0.1291
    1192     2.5258     0.1410
    1195     2.5936     0.1550
    1198     2.5493     0.1458
    1201     2.5716     0.1412
    1204     2.5940     0.1365
    1207     2.5168     0.1164
    1210     2.5553     0.1043
    1213     2.5663     0.1369
    1216     2.5772     0.1167
    1219     2.5623     0.0669
    1222     2.5822     0.1262
    1225     2.6020     0.1428
    1228     2.6579     0.1121
    1231     2.6334     0.1112
    1234     2.6088     0.1247
    1237     2.6362     0.1519
    1240     2.6231     0.1547
    1243     2.6869     0.1452
    1246     2.6828     0.1379
    1249     2.7077     0.2022
    1252     2.6229     0.2023
    1255     2.7000     0.1789
    1258     2.6856     0.1612
    1261     2.7158     0.1719
    1264     2.7461     0.1830
    1267     2.7541     0.1801
    1270     2.7804     0.2031
    1273     2.7806     0.1361
    1276     2.7808     0.1641
    1279     2.8401     0.2005
    1282     2.8285     0.1316
    1285     2.8169     0.1373
    1288     2.7654     0.1385
    1291     2.7741     0.1441
    1294     2.7827     0.1497
    1297     2.7515     0.1397
    1300     2.8170     0.1443
    1303     2.8017     0.1642
    1306     2.7864     0.1638
    1309     2.8612     0.1735
    1312     2.8507     0.2380
    1315     2.8402     0.2053
    1318     2.8142     0.1995
    1321     2.8249     0.2046
    1324     2.8356     0.2097
    1327     2.8554     0.2558
    1330     2.8574     0.2373
    1333     2.9658     0.2891
    1336     2.8570     0.2321
    1339     2.8973     0.1705
    1342     2.9147     0.2464
    1345     2.9322     0.2009
    1348     2.9416     0.2189
    1351     2.9359     0.1992
    1354     2.9303     0.1708
    1357     2.9712     0.2235
    1360     2.9572     0.2002
    1363     2.9659     0.1927
    1366     2.9020     0.1903
    1369     2.9580     0.2107
    1372     2.9925     0.2179
    1375     2.9337     0.2479
    1378     2.9967     0.2345
    1381     3.0227     0.2046
    1384     3.0486     0.2570
    1387     2.9735     0.1849
    1390     3.0239     0.2205
    1393     3.0078     0.1780
    1396     2.9918     0.2124
    1399     3.0290     0.2177
    1402     2.9551     0.2059
    1405     3.0795     0.2230
    1408     3.0326     0.1905
    1411     3.0155     0.1785
    1414     2.9983     0.1664
    1417     3.0245     0.1844
    1420     3.0836     0.1863
    1423     2.9619     0.1470
    1426     3.1127     0.2271
    1429     3.0984     0.2043
    1432     3.0120     0.1971
    1435     3.0988     0.2199
    1438     3.0887     0.2465
    1441     3.0793     0.2081
    1444     3.0699     0.1696
    1447     3.1016     0.1942
    1450     3.1659     0.2407
    1453     3.1787     0.2543
    1456     3.1614     0.1826
    1459     3.1485        NaN
    1462     3.1356        NaN
    1465     3.1228        NaN
    1468     3.1826        NaN
    1471     3.1358        NaN
    1474     3.0890        NaN
    1477     3.1848        NaN
    1480     3.1632        NaN
    1483     3.1736        NaN
    1486     3.2940        NaN
    1489     3.1905        NaN
    1492     3.2755        NaN
    1495     3.3072     0.2206
    1498     3.3198     0.1721
    1501     3.3324     0.1236
    1504     3.3451     0.2171
    1507     3.2822     0.1312
    1510     3.2376     0.1516
    1513     3.2378     0.1332
    1516     3.2789     0.1186
    1519     3.3338     0.1790
    1522     3.2304     0.1626
    1525     3.3582     0.1667
    1528     3.3077     0.1505
