 51  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_901.dat or virgo_tsi_h_v4_901.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
19970115 1365.61841 1366.04529 1365.18274 1366.22461 1365.44690
19970116 1365.60693 1366.07983 1365.13416 1366.26013 1365.39832
19970117 1365.65234 1366.08862 1365.21594 1366.26990 1365.48010
19970118 1365.59375 1366.05090 1365.13660 1366.23303 1365.40051
19970119 1365.57397 1366.03882 1365.10913 1366.22168 1365.37292
19970120 1365.56726 1365.99988 1365.13110 1366.18359 1365.39478
19970121 1365.52600 1365.99463 1365.05750 1366.17896 1365.32068
19970122 1365.48352 1365.93506 1365.03210 1366.12024 1365.29443
19970123 1365.48999 1365.95215 1365.02783 1366.13831 1365.28894
19970124 1365.52112 1365.97180 1365.07043 1366.15881 1365.33020
19970125 1365.51782 1365.94702 1365.08459 1366.13513 1365.34326
19970126 1365.46729 1365.93079 1365.00378 1366.11987 1365.26111
19970127 1365.45544 1365.91284 1364.99805 1366.10303 1365.25415
19970128 1365.49878 1365.95374 1365.04382 1366.14490 1365.29919
19970129 1365.48706 1365.95264 1365.02173 1366.14478 1365.27637
19970130 1365.50867 1365.96570 1365.05298 1366.15894 1365.30713
19970131 1365.53748 1365.98682 1365.08826 1366.18103 1365.34167
19970201 1365.53601 1365.99719 1365.07483 1366.19250 1365.32776
19970202 1365.50830 1365.95935 1365.05725 1366.15564 1365.30969
19970203 1365.38562 1365.84875 1364.92249 1366.04602 1365.17444
19970204 1365.46619 1365.92529 1365.01233 1366.12366 1365.26404
19970205 1365.59680 1366.05249 1365.14111 1366.25183 1365.39246
19970206 1365.64136 1366.09082 1365.19141 1366.29126 1365.44226
19970207 1365.62988 1366.09656 1365.16333 1366.29797 1365.41394
19970208 1365.60034 1366.06396 1365.13660 1366.26660 1365.38684
19970209 1365.61963 1366.05994 1365.17603 1366.26379 1365.42578
19970210 1365.59558 1366.04028 1365.15076 1366.24561 1365.39990
19970211 1365.57996 1366.01794 1365.14197 1366.22449 1365.39063
19970212 1365.56580 1366.00647 1365.11182 1366.21460 1365.35999
19970213 1365.53235 1365.99377 1365.07080 1366.20325 1365.31860
19970214 1365.51465 1365.97534 1365.05103 1366.18616 1365.29858
19970215 1365.51172 1365.95496 1365.06848 1366.16687 1365.31580
19970216 1365.53076 1365.95825 1365.10339 1366.17114 1365.35059
19970217 1365.50574 1365.95996 1365.05151 1366.17395 1365.29858
19970218 1365.51770 1365.97058 1365.06470 1366.18567 1365.31152
19970219 1365.51086 1365.96057 1365.06201 1366.17676 1365.30872
19970220 1365.48743 1365.93884 1365.03601 1366.15613 1365.28259
19970221 1365.48120 1365.93945 1365.02295 1366.15771 1365.26929
19970222 1365.46277 1365.94031 1364.98511 1366.15979 1365.23120
19970223 1365.48975 1365.95349 1365.02600 1366.17419 1365.27185
19970224 1365.55029 1365.98572 1365.11060 1366.20776 1365.35596
19970225 1365.58459 1366.02661 1365.14075 1366.25012 1365.38562
19970226 1365.61157 1366.05188 1365.17542 1366.27686 1365.41968
19970227 1365.61353 1366.05493 1365.17212 1366.28113 1365.41602
19970228 1365.57788 1366.04248 1365.11328 1366.27002 1365.35669
19970301 1365.65613 1366.05566 1365.27368 1366.28455 1365.51660
19970302 1365.62085 1366.06299 1365.19897 1366.29321 1365.44128
19970303 1365.63806 1366.09680 1365.17932 1366.32849 1365.42114
19970304 1365.63110 1366.10559 1365.15674 1366.33850 1365.39807
19970305 1365.65002 1366.14124 1365.15881 1366.37537 1365.39978
19970306 1365.62390 1366.09839 1365.15149 1366.33362 1365.39233
19970307 1365.64404 1366.11548 1365.17261 1366.35168 1365.41309
19970308 1365.65723 1366.15369 1365.16077 1366.39099 1365.40100
19970309 1365.65356 1366.12988 1365.17737 1366.36829 1365.41736
19970310 1365.62390 1366.07520 1365.17249 1366.31482 1365.41223
19970311 1365.61169 1366.06067 1365.16223 1366.30127 1365.40161
19970312 1365.58057 1366.05603 1365.10522 1366.29773 1365.34424
19970313 1365.62207 1366.06848 1365.17566 1366.31128 1365.41455
19970314 1365.58557 1366.03796 1365.13330 1366.28186 1365.37183
19970315 1365.61731 1366.06470 1365.16992 1366.30957 1365.40820
19970316 1365.63062 1366.08154 1365.17944 1366.32751 1365.41748
19970317 1365.61121 1366.07092 1365.15161 1366.31799 1365.38928
19970318 1365.57092 1366.02466 1365.11707 1366.27295 1365.35437
19970319 1365.46033 1365.92053 1365.00012 1366.17004 1365.23694
19970320 1365.43347 1365.90369 1364.96338 1366.15430 1365.19983
19970321 1365.44751 1365.91052 1364.98376 1366.16223 1365.21997
19970322 1365.44153 1365.91321 1364.96973 1366.16614 1365.20544
19970323 1365.46753 1365.94177 1364.99316 1366.19592 1365.22839
19970324 1365.47290 1365.94409 1365.00183 1366.19958 1365.23657
19970325 1365.49951 1365.95813 1365.04089 1366.21472 1365.27527
19970326 1365.48511 1365.95068 1365.02026 1366.20825 1365.25427
19970327 1365.53870 1365.99561 1365.08179 1366.25403 1365.31567
19970328 1365.60840 1366.04468 1365.17212 1366.30383 1365.40588
19970329 1365.58069 1366.02380 1365.12537 1366.28381 1365.35876
19970330 1365.52820 1365.99670 1365.05981 1366.25745 1365.29260
19970331 1365.52002 1365.97766 1365.06592 1366.23938 1365.29822
19970401 1365.53076 1365.98499 1365.07678 1366.24744 1365.30859
19970402 1365.49731 1365.95593 1365.03870 1366.21936 1365.27002
19970403 1365.58936 1366.03723 1365.14038 1366.30151 1365.37109
19970404 1365.66406 1366.13000 1365.19800 1366.39465 1365.42786
19970405 1365.71655 1366.17200 1365.25793 1366.43665 1365.48694
19970406 1365.72571 1366.19275 1365.25879 1366.45764 1365.48669
19970407 1365.72595 1366.19006 1365.26184 1366.45569 1365.48889
19970408 1365.66150 1366.14209 1365.18091 1366.40845 1365.40686
19970409 1365.62744 1366.08179 1365.17322 1366.34900 1365.39819
19970410 1365.55713 1366.01843 1365.09753 1366.28625 1365.32166
19970411 1365.59497 1366.06580 1365.12036 1366.33411 1365.34363
19970412 1365.63684 1366.11694 1365.14844 1366.38562 1365.37085
19970413 1365.62610 1366.07581 1365.17639 1366.34460 1365.39771
19970414 1365.54199 1365.99146 1365.09253 1366.26001 1365.31287
19970415 1365.48206 1365.92102 1365.04553 1366.18945 1365.26465
19970416 1365.45618 1365.91467 1364.99756 1366.18311 1365.21594
19970417 1365.45239 1365.90833 1364.99768 1366.17651 1365.21509
19970418 1365.50488 1365.94946 1365.06030 1366.21753 1365.27673
19970419 1365.47900 1365.94238 1365.01563 1366.21033 1365.23083
19970420 1365.48865 1365.94165 1365.03821 1366.20947 1365.25195
19970421 1365.49231 1365.94482 1365.03967 1366.21277 1365.25220
19970422 1365.45654 1365.92041 1364.99268 1366.18823 1365.20410
19970423 1365.47498 1365.92383 1365.02600 1366.19165 1365.23633
19970424 1365.49670 1365.94080 1365.05273 1366.20850 1365.26184
19970425 1365.52295 1365.98401 1365.06018 1366.25171 1365.26807
19970426 1365.52271 1365.98645 1365.05908 1366.25403 1365.26575
19970427 1365.60083 1366.05359 1365.14807 1366.32129 1365.35376
19970428 1365.59351 1366.07007 1365.11694 1366.33826 1365.32190
19970429 1365.60559 1366.06006 1365.15100 1366.32886 1365.35559
19970430 1365.62817 1366.09070 1365.16638 1366.36011 1365.37073
19970501 1365.65833 1366.12280 1365.19385 1366.39270 1365.39807
19970502 1365.70789 1366.15552 1365.26025 1366.42578 1365.46460
19970503 1365.66797 1366.14172 1365.19409 1366.41223 1365.39844
19970504 1365.64954 1366.10852 1365.19043 1366.37903 1365.39429
19970505 1365.67480 1366.12439 1365.22949 1366.39465 1365.43250
19970506 1365.65491 1366.10388 1365.20593 1366.37402 1365.40833
19970507 1365.59851  -99.00000 1365.13794  -99.00000 1365.34021
19970508 1365.61060  -99.00000 1365.15320  -99.00000 1365.35559
19970509 1365.59888  -99.00000 1365.14136  -99.00000 1365.34399
19970510 1365.55676 1365.99194 1365.11108 1366.26489 1365.31384
19970511 1365.51758 1365.97766 1365.05737 1366.25110 1365.26038
19970512 1365.48682 1365.95203 1365.02161 1366.22595 1365.22485
19970513 1365.46399 1365.92578 1365.00208 1366.20032 1365.20569
19970514 1365.49561 1365.95142 1365.03967 1366.22656 1365.24365
19970515 1365.55139 1366.01221 1365.09326 1366.28796 1365.29749
19970516 1365.58447 1366.04285 1365.12610 1366.31921 1365.33044
19970517 1365.56018 1366.03284 1365.08752 1366.30981 1365.29187
19970518 1365.49219 1365.96033 1365.02417 1366.23779 1365.22864
19970519 1365.44385 1365.89917 1364.98853 1366.17725 1365.19348
19970520 1365.44653 1365.89148 1365.00989 1366.17017 1365.21558
19970521 1365.38696 1365.82788 1364.95471 1366.10718 1365.16113
19970522 1365.46143 1365.91760 1365.00537 1366.19751 1365.21216
19970523 1365.56836 1366.03174 1365.10498 1366.31226 1365.31213
19970524 1365.63293 1366.10718 1365.15869 1366.38843 1365.36621
19970525 1365.68994 1366.16235 1365.22253 1366.44446 1365.43030
19970526 1365.70813 1366.17395 1365.24231 1366.45715 1365.45056
19970527 1365.70862 1366.18201 1365.23523 1366.46631 1365.44385
19970528 1365.71863 1366.20056 1365.23657 1366.48633 1365.44580
19970529 1365.76160 1366.25439 1365.26868 1366.54163 1365.47876
19970530 1365.80090 1366.26343 1365.34424 1366.55200 1365.55505
19970531 1365.78247 1366.25647 1365.30847 1366.54590 1365.51953
19970601 1365.72290 1366.18909 1365.25659 1366.47900 1365.46790
19970602 1365.63208 1366.08728 1365.17688 1366.37769 1365.38818
19970603 1365.54004 1366.00415 1365.07605 1366.29529 1365.28748
19970604 1365.52710 1366.00049 1365.06006 1366.29211 1365.27161
19970605 1365.54492 1365.99780 1365.09204 1366.28979 1365.30383
19970606 1365.55457 1366.02454 1365.08459 1366.31714 1365.29663
19970607 1365.55420 1366.03052 1365.07776 1366.32373 1365.29004
19970608 1365.54810 1366.01660 1365.07959 1366.31030 1365.29211
19970609 1365.51538 1365.96887 1365.06323 1366.26306 1365.27612
19970610 1365.49243 1365.94324 1365.04163 1366.23792 1365.25464
19970611 1365.50977 1365.96167 1365.05798 1366.25696 1365.27112
19970612 1365.51331 1365.97253 1365.05420 1366.26831 1365.26733
19970613 1365.52551 1365.97351 1365.07739 1366.27002 1365.29041
19970614 1365.50464 1365.96655 1365.04590 1366.26355 1365.25879
19970615 1365.51550 1365.97131 1365.05957 1366.26892 1365.27246
19970616 1365.50208 1365.95093 1365.05310 1366.24902 1365.26611
19970617 1365.54858 1365.99048 1365.10669 1366.28906 1365.31958
19970618 1365.60693 1366.04614 1365.16760 1366.34521 1365.38025
19970619 1365.55957 1366.01196 1365.10999 1366.31140 1365.32227
19970620 1365.57251 1366.01746 1365.12769 1366.31714 1365.33960
19970621 1365.56445 1366.02319 1365.09692 1366.32263 1365.30859
19970622 1365.58044 1366.01672 1365.15393 1366.31580 1365.36523
19970623 1365.55200 1365.98975 1365.13623 1366.28857 1365.34741
19970624 1365.55090 1366.00024 1365.10999 1366.29907 1365.32117
19970625 1365.52295 1365.99194 1365.05383 1366.29102 1365.26514
19970626 1365.56458 1366.03381 1365.09546 1366.33325 1365.30701
19970627 1365.62170 1366.06042 1365.18298 1366.36035 1365.39514
19970628 1365.64185 1366.08997 1365.19373 1366.39050 1365.40674
19970629 1365.62964 1366.06409 1365.20129 1366.36523 1365.41479
19970630 1365.58630 1366.03906 1365.13354 1366.34070 1365.34705
19970701 1365.58057 1366.03931 1365.12305 1366.34155 1365.33630
19970702 1365.57434 1366.02710 1365.12061 1366.32983 1365.33362
19970703 1365.53284 1365.99597 1365.06970 1366.29919 1365.28308
19970704 1365.52075 1365.96826 1365.07776 1366.27209 1365.29175
19970705 1365.53442 1365.98425 1365.08472 1366.28857 1365.29932
19970706 1365.47974 1365.94226 1365.01721 1366.24707 1365.23230
19970707 1365.48230 1365.94727 1365.01746 1366.25269 1365.23279
19970708 1365.50598 1365.97302 1365.03894 1366.27905 1365.25476
19970709 1365.50122 1365.95752 1365.04529 1366.26404 1365.26160
19970710 1365.50171 1365.96240 1365.04102 1366.26978 1365.25793
19970711 1365.47327 1365.92261 1365.02393 1366.23071 1365.24146
19970712 1365.45923 1365.91956 1364.99878 1366.22864 1365.21692
19970713 1365.45361 1365.89758 1365.02930 1366.20801 1365.24805
19970714 1365.43457 1365.90210 1364.97095 1366.21375 1365.19043
19970715 1365.45447 1365.91687 1364.99194 1366.22961 1365.21216
19970716 1365.48999 1365.94946 1365.03210 1366.26331 1365.25317
19970717 1365.55200 1366.00281 1365.10535 1366.31738 1365.32703
19970718 1365.56982 1366.03345 1365.10632 1366.34863 1365.32849
19970719 1365.59351 1366.04749 1365.14844 1366.36316 1365.37097
19970720 1365.59607 1366.05676 1365.13196 1366.37280 1365.35486
19970721 1365.57751 1366.05176 1365.10315 1366.36829 1365.32666
19970722 1365.57825 1366.04810 1365.10840 1366.36511 1365.33240
19970723 1365.55725 1366.02722 1365.08582 1366.34497 1365.31055
19970724 1365.57629 1366.05774 1365.09460 1366.37646 1365.32031
19970725 1365.58142 1366.06226 1365.10071 1366.38196 1365.32751
19970726 1365.71826 1366.14832 1365.31384 1366.46912 1365.54163
19970727 1365.67090 1366.14746 1365.19421 1366.46924 1365.42297
19970728 1365.61853 1366.08044 1365.15662 1366.40332 1365.38611
19970729 1365.59167 1366.05310 1365.13232 1366.37695 1365.36267
19970730 1365.55493 1365.99084 1365.10266 1366.31555 1365.33386
19970731 1365.51990 1365.96753 1365.07239 1366.29297 1365.30457
19970801 1365.53345 1365.96924 1365.08423 1366.29578 1365.31714
19970802 1365.47583 1365.93079 1365.01782 1366.25818 1365.25122
19970803 1365.53027 1365.92651 1365.11780 1366.25500 1365.35144
19970804 1365.46082 1365.93201 1364.96289 1366.26147 1365.19678
19970805 1365.46680 1365.92297 1365.00745 1366.25305 1365.24170
19970806 1365.48535 1365.92480 1365.04590 1366.25525 1365.28027
19970807 1365.54834 1365.99719 1365.09949 1366.32800 1365.33411
19970808 1365.56445 1366.00867 1365.11572 1366.33997 1365.35034
19970809 1365.55151 1366.02734 1365.07568 1366.35925 1365.31018
19970810 1365.55310 1366.01294 1365.09326 1366.34534 1365.32813
19970811 1365.58398 1366.03967 1365.12830 1366.37244 1365.36401
19970812 1365.59167 1366.04041 1365.14282 1366.37366 1365.37976
19970813 1365.62805 1366.08655 1365.16968 1366.42017 1365.40771
19970814 1365.63879 1366.10486 1365.17053 1366.43921 1365.40942
19970815 1365.59607 1366.05078 1365.14148 1366.38562 1365.38110
19970816 1365.55835 1366.01770 1365.09570 1366.35303 1365.33594
19970817 1365.54443 1366.03442 1365.03174 1366.36987 1365.27271
19970818 1365.53979 1366.01245 1365.06909 1366.34778 1365.31067
19970819 1365.54102 1366.00793 1365.07422 1366.34314 1365.31628
19970820 1365.52600 1365.99402 1365.05786 1366.32922 1365.30066
19970821 1365.55432 1366.02478 1365.08398 1366.35974 1365.32727
19970822 1365.55054 1366.03296 1365.06812 1366.36792 1365.31201
19970823 1365.58728 1366.05798 1365.11560 1366.39319 1365.35974
19970824 1365.67102 1366.15308 1365.18884 1366.48877 1365.43311
19970825 1365.72412 1366.19080 1365.25745 1366.52686 1365.50171
19970826 1365.71301 1366.17834 1365.24780 1366.51453 1365.49231
19970827 1365.67664 1366.14673 1365.20715 1366.48291 1365.45215
19970828 1365.54968 1366.00952  -99.00000 1366.34570  -99.00000
19970829 1365.47302 1365.93628 1365.00977 1366.27222 1365.25610
19970830 1365.47925 1365.94458 1365.01392 1366.28003 1365.26111
19970831 1365.54407 1365.98755  -99.00000 1366.32275  -99.00000
19970901 1365.67346 1366.08887 1365.28284 1366.42395 1365.53174
19970902 1365.76233 1366.22131 1365.30444 1366.55640 1365.55371
19970903 1365.87488 1366.35083 1365.40588 1366.68591 1365.65576
19970904 1365.87891 1366.28967 1365.44702 1366.62463 1365.69714
19970905 1365.64514 1366.10608 1365.18091 1366.44104 1365.43140
19970906 1365.42114 1365.88281 1364.95959 1366.21777 1365.21033
19970907 1365.27625 1365.71558 1364.82813 1366.05029 1365.07935
19970908 1365.08899 1365.54395 1364.63403 1365.87842 1364.88550
19970909 1364.84058 1365.27759 1364.41187 1365.61169 1364.66357
19970910 1364.79077 1365.23804 1364.34229 1365.57190 1364.59424
19970911 1364.95117 1365.41577 1364.50122 1365.74951 1364.75342
19970912 1365.06384 1365.52979 1364.58032 1365.86328 1364.83264
19970913 1365.24194 1365.72473 1364.75903 1366.05823 1365.01123
19970914 1365.44409 1365.89917 1364.98914 1366.23254 1365.24121
19970915 1365.46643 1365.95361 1364.97925 1366.28687 1365.23120
19970916 1365.55652 1366.02844 1365.08459 1366.36145 1365.33643
19970917 1365.56274 1366.04431 1365.07495 1366.37708 1365.32678
19970918 1365.53540 1365.99194 1365.07312 1366.32410 1365.32483
19970919 1365.51501 1365.96143 1365.06860 1366.29285 1365.32031
19970920 1365.62659 1366.04944 1365.20361 1366.37988 1365.45520
19970921 1365.71558 1366.14307 1365.28796 1366.47253 1365.53943
19970922 1365.78223 1366.24841 1365.31433 1366.57727 1365.56543
19970923 1365.75720 1366.17859 1365.33496 1366.50684 1365.58569
19970924 1365.60376 1366.05627 1365.15125 1366.38391 1365.40173
19970925 1365.54797 1365.98840 1365.08484 1366.31519 1365.33496
19970926 1365.59131 1366.04602 1365.13672 1366.37195 1365.38660
19970927 1365.64233 1366.08740 1365.20483 1366.41260 1365.45483
19970928 1365.73877 1366.14270 1365.33496 1366.46753 1365.58521
19970929 1365.83716 1366.23438 1365.40466 1366.55908 1365.65540
19970930 1365.88647 1366.32605 1365.44690 1366.65063 1365.69824
19971001 1365.88550 1366.36340 1365.40747 1366.68774 1365.65942
19971002 1365.85925 1366.32849 1365.39160 1366.65271 1365.64429
19971003 1365.83459 1366.29968 1365.36389 1366.62415 1365.61731
19971004 1365.78027 1366.25000 1365.30676 1366.57507 1365.56140
19971005 1365.86230 1366.31360 1365.41309 1366.63965 1365.66882
19971006 1365.91077 1366.36230 1365.45496 1366.68958 1365.71216
19971007 1365.92761 1366.37585 1365.48279 1366.70447 1365.74146
19971008 1365.95300 1366.37866 1365.52734 1366.70874 1365.78748
19971009 1365.98352 1366.39917 1365.56775 1366.73096 1365.82922
19971010 1365.92761 1366.36560 1365.48962 1366.69922 1365.75220
19971011 1365.88953 1366.35876 1365.42029 1366.69458 1365.68396
19971012 1365.84705 1366.28113 1365.39832 1366.61902 1365.66309
19971013 1365.79077 1366.25562 1365.32410 1366.59521 1365.58984
19971014 1365.76660 1366.22021 1365.31201 1366.56177 1365.57910
19971015 1365.71130 1366.16272 1365.26001 1366.50586 1365.52820
19971016 1365.63574 1366.08826 1365.18335 1366.43311 1365.45276
19971017 1365.65356 1366.10339 1365.20911 1366.44995 1365.47961
19971018 1365.70886 1366.14453 1365.26929 1366.49292 1365.54077
19971019 1365.69141 1366.14111 1365.24438 1366.49109 1365.51721
19971020 1365.69641 1366.13733 1365.25989 1366.48914 1365.53357
19971021 1365.70251 1366.14941 1365.25525 1366.50281 1365.53015
19971022 1365.73633 1366.16626 1365.29980 1366.52112 1365.57593
19971023 1365.76099 1366.22156 1365.30029 1366.57764 1365.57788
19971024 1365.74304 1366.20789 1365.28064 1366.56506 1365.55957
19971025 1365.76868 1366.22437 1365.31299 1366.58264 1365.59326
19971026 1365.77844 1366.22620 1365.32800 1366.58569 1365.60950
19971027 1365.77734 1366.23730 1365.31238 1366.59766 1365.59497
19971028 1365.81018 1366.21204 1365.40942 1366.57324 1365.69312
19971029 1365.70679 1366.15796 1365.25549 1366.51990 1365.53992
19971030 1365.60522 1366.05603 1365.15442 1366.41858 1365.43921
19971031 1365.62085 1366.05298 1365.18872 1366.41602 1365.47314
19971101 1365.63904 1366.08789 1365.17566 1366.45142 1365.45923
19971102 1365.61572 1366.05896 1365.17236 1366.42285 1365.45520
19971103 1365.24854 1365.69592 1364.78943 1366.06030 1365.07166
19971104 1365.28430 1365.73853 1364.82654 1366.10339 1365.10852
19971105 1365.37280 1365.82495 1364.92078 1366.19019 1365.20239
19971106 1365.59167 1366.03137 1365.15515 1366.39722 1365.43652
19971107 1365.77783 1366.22949 1365.32629 1366.59570 1365.60742
19971108 1365.86536 1366.31921 1365.41138 1366.68591 1365.69226
19971109 1365.88306 1366.33350 1365.43250 1366.70068 1365.71277
19971110 1365.83777 1366.27405 1365.40149 1366.64160 1365.68103
19971111 1365.74500 1366.19202 1365.30420 1366.56006 1365.58301
19971112 1365.70081 1366.16370 1365.23804 1366.53223 1365.51672
19971113 1365.68994 1366.15491 1365.22510 1366.52393 1365.50366
19971114 1365.75647 1366.19897 1365.31946 1366.56848 1365.59790
19971115 1365.68994 1366.15039 1365.22009 1366.52039 1365.49805
19971116 1365.65381 1366.08411 1365.20544 1366.45459 1365.48315
19971117 1365.53198 1365.99280 1365.06750 1366.36377 1365.34436
19971118 1365.42358 1365.92261 1364.92468 1366.29395 1365.20044
19971119 1365.41309 1365.88940 1364.93127 1366.26111 1365.20593
19971120 1365.45947 1365.91345  -99.00000 1366.28577  -99.00000
19971121 1365.41150 1365.88684 1364.91821 1366.25952 1365.19092
19971122 1365.49231 1365.95410 1365.03479 1366.32703 1365.30762
19971123 1365.78125 1366.24890 1365.31360 1366.62219 1365.58630
19971124 1366.02283 1366.49695 1365.54858 1366.87036 1365.82104
19971125 1366.11084 1366.58142 1365.64014 1366.95471 1365.91223
19971126 1366.05957 1366.52246 1365.59424 1366.89575 1365.86597
19971127 1366.00867 1366.47546 1365.54199 1366.84900 1365.81323
19971128 1365.92578 1366.38538 1365.46619 1366.75928 1365.73706
19971129 1365.81409 1366.25867 1365.34863 1366.63293 1365.61877
19971130 1365.69604 1366.16699 1365.23267 1366.54150 1365.50195
19971201 1365.61633 1366.07385 1365.15344 1366.44849 1365.42163
19971202 1365.59204 1366.04419 1365.14001 1366.41895 1365.40723
19971203 1365.67896 1366.11841 1365.23938 1366.49353 1365.50623
19971204 1365.74756 1366.18237 1365.30396 1366.55774 1365.57056
19971205 1365.80249 1366.26392 1365.34119 1366.63953 1365.60742
19971206 1365.94373 1366.40417 1365.49817 1366.77991 1365.76379
19971207 1365.93225 1366.40100 1365.46741 1366.77698 1365.73230
19971208 1365.91272 1366.34998 1365.46838 1366.72607 1365.73242
19971209 1365.72144 1366.17480 1365.26868 1366.55127 1365.53186
19971210 1365.62280 1366.08142 1365.15442 1366.45813 1365.41650
19971211 1365.63635 1366.10376 1365.15955 1366.48083 1365.42090
19971212 1365.67908 1366.13440 1365.22461 1366.51184 1365.48523
19971213 1365.72437 1366.19275 1365.25757 1366.57056 1365.51733
19971214 1365.75854 1366.22205 1365.29517 1366.60010 1365.55420
19971215 1365.73401 1366.21375 1365.25415 1366.59229 1365.51245
19971216 1365.67932 1366.13098 1365.22400 1366.50989 1365.48181
19971217 1365.65784 1366.07227 1365.22278 1366.45178 1365.47986
19971218 1365.57947 1366.03320 1365.12561 1366.41333 1365.38245
19971219 1365.59900 1366.09253 1365.12585 1366.47339 1365.38232
19971220 1365.76392 1366.20667 1365.31750 1366.58813 1365.57361
19971221 1365.88806 1366.32019 1365.45105 1366.70215 1365.70691
19971222 1365.78662 1366.27893 1365.29419 1366.66150 1365.54968
19971223 1365.66467 1366.13147 1365.19788 1366.51453 1365.45300
19971224 1365.69946 1366.15430 1365.24475 1366.53772 1365.49976
19971225 1365.69495 1366.17004 1365.22595 1366.55408 1365.48083
19971226 1365.73071 1366.18628 1365.27197 1366.57068 1365.52673
19971227 1365.76807 1366.22400 1365.31201 1366.60901 1365.56665
19971228 1365.78711 1366.25098 1365.32361 1366.63623 1365.57800
19971229 1365.81079 1366.28320 1365.34326 1366.66882 1365.59753
19971230 1365.85559 1366.30054 1365.41064 1366.68665 1365.66492
19971231 1365.97461 1366.40247 1365.53333 1366.78894 1365.78772
19980101 1365.99219 1366.47485 1365.50964 1366.86182 1365.76404
19980102 1366.00940 1366.47095 1365.54785 1366.85840 1365.80212
19980103 1366.03320 1366.45679 1365.59778 1366.84485 1365.85193
19980104 1366.03503 1366.46387 1365.59692 1366.85266 1365.85095
19980105 1365.93726 1366.36975 1365.50073 1366.75903 1365.75464
19980106 1365.87073 1366.30652 1365.42493 1366.69629 1365.67883
19980107 1365.80261 1366.25903 1365.34265 1366.64941 1365.59631
19980108 1365.78821 1366.22998 1365.34412 1366.62085 1365.59778
19980109 1365.76917 1366.24109 1365.30029 1366.63232 1365.55396
19980110 1365.80029 1366.26184 1365.33704 1366.65369 1365.59058
19980111 1365.78076 1366.23267 1365.33081 1366.62512 1365.58423
19980112 1365.70618 1366.15771 1365.24829 1366.55090 1365.50146
19980113 1365.61047 1366.06189 1365.15918 1366.45581 1365.41211
19980114 1365.60120 1366.04065 1365.16187 1366.43506 1365.41467
19980115 1365.60486 1366.05127 1365.15674 1366.44641 1365.40930
19980116 1365.66943 1366.12195 1365.21619 1366.51758 1365.46851
19980117 1365.83142 1366.29602 1365.36682 1366.69226 1365.61902
19980118 1366.01086 1366.46863 1365.55322 1366.86548 1365.80518
19980119 1366.03552 1366.49390 1365.57715 1366.89148 1365.82898
19980120 1366.00671 1366.44946 1365.55872 1366.84753 1365.81055
19980121 1365.97400 1366.44263 1365.50537 1366.84119 1365.75708
19980122 1366.00745 1366.46973 1365.54504 1366.86877 1365.79675
19980123 1366.03198 1366.47852 1365.58545 1366.87817 1365.83691
19980124 1365.98730 1366.45374 1365.52087 1366.85400 1365.77222
19980125 1365.97363 1366.43872 1365.49646 1366.83972 1365.74756
19980126 1365.91614 1366.37488 1365.45728 1366.77661 1365.70813
19980127 1365.92603 1366.38123 1365.47083 1366.78357 1365.72131
19980128 1365.90942 1366.36536 1365.45288 1366.76843 1365.70313
19980129 1365.91248 1366.38293 1365.44202 1366.78662 1365.69214
19980130 1365.91467 1366.35474 1365.47473 1366.75903 1365.72473
19980131 1365.87366 1366.31543 1365.43188 1366.72009 1365.68188
19980201 1365.87012 1366.31934 1365.42090 1366.72437 1365.67102
19980202 1365.83069 1366.28210 1365.37927 1366.68738 1365.62952
19980203 1365.80286 1366.24866 1365.35693 1366.65430 1365.60742
19980204 1365.72681 1366.18530 1365.27112 1366.59131 1365.52161
19980205 1365.72437 1366.17908 1365.26965 1366.58557 1365.52014
19980206 1365.76062 1366.22522 1365.29614 1366.63208 1365.54663
19980207 1365.78833 1366.25427 1365.32239 1366.66150 1365.57288
19980208 1365.75842 1366.21692 1365.29980 1366.62463 1365.55042
19980209 1365.72400 1366.18250 1365.25818 1366.59070 1365.50867
19980210 1365.74646 1366.22192 1365.27112 1366.63049 1365.52161
19980211 1365.79541 1366.26550 1365.32544 1366.67456 1365.57593
