;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
20001106 1366.74500 1367.28931 1366.19885 1367.72107 1366.70959
20001107 1366.83362 1367.38403 1366.28308 1367.81763 1366.79419
20001108 1366.75549 1367.31641 1366.19446 1367.75183 1366.70569
20001109 1366.59534 1367.06860 1366.11548 1367.50586 1366.62671
20001110 1366.35950 1366.85156 1365.86743 1367.29028 1366.37854
20001111 1366.26782 1366.80859 1365.72705 1367.24878 1366.23779
20001112 1366.32886 1366.88293 1365.77490 1367.32422 1366.28491
20001113 1366.33923 1366.86670 1365.82166 1367.30920 1366.33105
20001114 1366.40137 1366.91467 1365.87024 1367.35791 1366.37915
20001115 1366.53247 1367.05286 1366.00647 1367.49683 1366.51477
20001116 1366.54126 1367.05969 1366.02295 1367.50391 1366.53076
20001117 1366.41919 1366.95044 1365.88794 1367.39514 1366.39563
20001118 1366.26929 1366.76660 1365.75854 1367.21143 1366.26624
20001119 1366.12622 1366.65210 1365.60034 1367.09705 1366.10791
20001120 1366.17456 1366.68359 1365.66626 1367.12903 1366.17358
20001121 1366.31482 1366.83240 1365.82629 1367.27844 1366.33325
20001122 1366.42200 1366.93799 1365.89124 1367.38464 1366.39771
20001123 1366.58496 1367.10181 1366.06799 1367.54919 1366.57397
20001124 1366.63416 1367.16882 1366.09656 1367.61682 1366.60181
20001125 1366.71814 1367.25720 1366.17993 1367.70593 1366.68457
20001126 1366.69690 1367.19824 1366.18384 1367.64783 1366.68787
20001127 1366.59631 1367.14465 1366.04797 1367.59473 1366.55151
20001128 1366.58728 1367.08179 1366.05945 1367.53247 1366.56262
20001129 1366.66992 1367.14417  -99.00000 1367.59521  -99.00000
20001130 1366.70227 1367.14636 1366.41235 1367.59741 1366.91565
20001201 1366.78162 1367.25061  -99.00000 1367.70178  -99.00000
20001202 1366.87671 1367.38745 1366.36951 1367.83899 1366.87256
20001203 1367.03809 1367.59338 1366.48279 1368.04529 1366.98547
20001204 1367.11768 1367.66260 1366.56372 1368.11475 1367.06616
20001205 1366.86511 1367.40295 1366.32715 1367.85547 1366.82935
20001206 1366.52979 1367.04846 1365.98950 1367.50134 1366.49158
20001207 1366.38721 1366.93774 1365.82642 1367.39111 1366.32813
20001208 1366.42627 1366.95703 1365.90283 1367.41089 1366.40405
20001209 1366.50232 1367.01160 1365.97510 1367.46631 1366.47571
20001210 1366.58289 1367.12402 1366.04175 1367.57935 1366.54187
20001211 1366.66174 1367.21692 1366.11145 1367.67249 1366.61145
20001212 1366.70117 1367.21948 1366.17163 1367.67517 1366.67163
20001213 1366.55774 1367.08813 1366.02173 1367.54419 1366.52148
20001214 1366.42932 1366.96875 1365.89001 1367.42517 1366.38953
20001215 1366.36768 1366.90247 1365.83484 1367.35925 1366.33411
20001216 1366.52307 1367.07581 1365.98816 1367.53296 1366.48706
20001217 1366.73828 1367.28638 1366.20178 1367.74390 1366.70056
20001218 1366.99792 1367.56580 1366.43005 1368.02356 1366.92871
20001219 1367.09155 1367.64038 1366.54260 1368.09863 1367.04089
20001220 1367.02881 1367.58289 1366.47375 1368.04175 1366.97156
20001221 1366.88147 1367.43250 1366.33044 1367.89197 1366.82776
20001222 1366.71326 1367.24487 1366.17322 1367.70496 1366.67004
20001223 1366.56763 1367.12549 1366.01160 1367.58606 1366.50806
20001224 1366.51807 1367.06067 1365.96545 1367.52148 1366.46179
20001225 1366.53137 1367.06897 1365.98438 1367.53027 1366.48035
20001226 1366.52930 1367.07178 1365.99280 1367.53369 1366.48840
20001227 1366.57581 1367.08960 1366.03809 1367.55225 1366.53308
20001228 1366.52576 1367.03894 1366.00439 1367.50220 1366.49878
20001229 1366.45508 1366.97839 1365.91516 1367.44226 1366.40906
20001230 1366.28857 1366.82874 1365.74841 1367.29321 1366.24182
20001231 1366.07227 1366.60413 1365.53906 1367.06921 1366.03186
20010101 1365.92041 1366.44458 1365.39453 1366.91052 1365.88684
20010102 1366.04456 1366.58215 1365.51062 1367.04895 1366.00208
20010103 1366.17822 1366.74133 1365.61511 1367.20886 1366.10596
20010104 1366.29333 1366.84045 1365.73828 1367.30872 1366.22864
20010105 1366.50928 1367.04187  -99.00000 1367.51062  -99.00000
20010106 1366.74146 1367.27966 1366.19592 1367.74902 1366.68518
20010107 1366.84424 1367.38586 1366.28259 1367.85596 1366.77124
20010108 1366.82739 1367.36829 1366.28528 1367.83936 1366.77319
20010109 1366.78625 1367.28992 1366.28455 1367.76221 1366.77124
20010110 1366.60461 1367.11731 1366.07617 1367.59143 1366.56152
20010111 1366.43433 1366.97656 1365.89197 1367.45276 1366.37524
20010112 1366.25757 1366.78186 1365.73315 1367.25977 1366.21472
20010113 1366.11499 1366.63916 1365.59424 1367.11792 1366.07507
20010114 1366.22717 1366.75574  -99.00000 1367.23499  -99.00000
20010115 1366.48181  -99.00000 1365.97498  -99.00000 1366.45520
20010116 1366.70215 1367.23682 1366.17334 1367.71704 1366.65308
20010117 1366.90112 1367.40930 1366.37183 1367.89026 1366.85107
20010118 1366.90234 1367.43140 1366.37280 1367.91296 1366.85144
20010119 1366.82690 1367.32996 1366.32373 1367.81238 1366.80164
20010120 1366.74231 1367.23828 1366.24622 1367.72156 1366.72339
20010121 1366.68250 1367.18628 1366.17871 1367.67041 1366.65515
20010122 1366.66687 1367.19360 1366.14014 1367.67871 1366.61560
20010123 1366.80261 1367.30432 1366.28271 1367.79053 1366.75732
20010124 1366.62048 1367.12805 1366.09851 1367.61523 1366.57239
20010125 1366.56995 1367.08765 1366.06042 1367.57568 1366.53345
20010126 1366.66077 1367.16797 1366.13892 1367.65674 1366.61121
20010127 1366.60071 1367.12000 1366.08142 1367.60925 1366.55334
20010128 1366.62244 1367.13831 1366.10645 1367.62793 1366.57813
20010129 1366.73962 1367.24780 1366.23047 1367.73755 1366.70227
20010130 1366.76013 1367.30103 1366.21936 1367.79077 1366.69116
20010131 1366.87329 1367.38098 1366.36572 1367.87085 1366.83752
20010201 1366.93933 1367.44727 1366.41565 1367.93726 1366.88745
20010202 1366.90784 1367.41455 1366.38989 1367.90466 1366.86169
20010203 1366.89075 1367.41736 1366.35950 1367.90771 1366.83118
20010204 1367.00659 1367.52649 1366.47144 1368.01709 1366.94299
20010205 1366.90161 1367.41895 1366.37244 1367.90991 1366.84375
20010206 1366.65625 1367.17346 1366.13501 1367.66492 1366.60596
20010207 1366.52332 1367.03979 1366.00684 1367.53186 1366.47717
20010208 1366.51855 1367.03625 1366.00085 1367.52893 1366.47070
20010209 1366.57532 1367.12073 1366.03003 1367.61377 1366.49951
20010210 1366.53076 1367.04443 1366.00354 1367.53796 1366.47278
20010211 1366.55823 1367.09229 1366.02490 1367.58618 1366.49390
20010212 1366.61011 1367.17358 1366.06116 1367.66785 1366.52991
20010213 1366.59351 1367.13831 1366.04871 1367.63306 1366.51709
20010214 1366.62024 1367.12622 1366.09998 1367.62134 1366.56799
20010215 1366.60303 1367.12012 1366.08606 1367.61560 1366.55371
20010216 1366.57678 1367.12256 1366.03113 1367.61841 1366.49854
20010217 1366.50928 1367.05859 1365.95984 1367.55493 1366.42700
20010218 1366.50159 1367.05334 1365.94983 1367.55005 1366.41675
20010219 1366.48486 1367.01025 1365.95496 1367.50732 1366.42163
20010220 1366.48462 1367.02551 1365.94690 1367.52295 1366.41321
20010221 1366.56995 1367.10461 1366.03772 1367.60254 1366.50378
20010222 1366.69006 1367.22217 1366.15527 1367.72046 1366.62109
20010223 1366.65051 1367.22888 1366.08630 1367.72766 1366.55164
20010224 1366.64966 1367.20618 1366.09875 1367.70544 1366.56360
20010225 1366.64734 1367.19373 1366.10083 1367.69373 1366.56519
20010226 1366.58008 1367.12244 1366.03918 1367.62305 1366.50293
20010227 1366.60828 1367.16931 1366.04724 1367.67029 1366.51062
20010228 1366.63892 1367.17285 1366.09705 1367.67419 1366.56030
20010301 1366.73303 1367.29578 1366.17017 1367.79749 1366.63318
20010302 1366.81567 1367.38416 1366.24707 1367.88599 1366.71008
20010303 1366.77686 1367.34583 1366.20801 1367.84778 1366.67102
20010304 1366.57739 1367.14465 1366.01013 1367.64661 1366.47314
20010305 1366.37561 1366.96436 1365.78674 1367.46594 1366.25037
20010306 1366.14050 1366.69995 1365.57996 1367.20093 1366.04431
20010307 1366.11047 1366.67432 1365.54675 1367.17456 1366.01172
20010308 1366.17224 1366.72168 1365.62488 1367.22144 1366.09058
20010309 1366.37659 1366.91272 1365.84326 1367.41174 1366.30969
20010310 1366.54370 1367.07715 1366.01013 1367.57544 1366.47742
20010311 1366.73462 1367.22546 1366.23083 1367.72302 1366.69897
20010312 1366.67285 1367.20972 1366.13586 1367.70654 1366.60474
20010313 1366.58154 1367.09326 1366.06970 1367.58936 1366.53955
20010314 1366.36877 1366.90369 1365.83386 1367.39893 1366.30457
20010315 1366.26038 1366.80151 1365.72205 1367.29590 1366.19360
20010316 1366.23853 1366.77563 1365.70984 1367.26929 1366.18237
20010317 1366.35681 1366.89404 1365.81970 1367.38684 1366.29309
20010318 1366.44727 1367.00061 1365.89404 1367.49243 1366.36853
20010319 1366.53625 1367.08728 1365.98523 1367.57837 1366.46057
20010320 1366.66089 1367.22424 1366.09753 1367.71460 1366.57373
20010321 1366.64014 1367.18494 1366.09521 1367.67468 1366.57227
20010322 1366.42139 1366.96338 1365.87927 1367.45239 1366.35706
20010323 1366.27783 1366.77063 1365.74219 1367.25854 1366.22095
20010324 1366.13184 1366.66565 1365.59802 1367.15271 1366.07788
20010325 1365.80237 1366.39819 1365.20667 1366.88440 1365.68738
20010326 1365.26160 1365.84326 1364.68323 1366.32886 1365.16479
20010327 1364.32959 1364.76245 1363.77527 1365.24731 1364.25745
20010328 1363.90198 1364.45728 1363.34668 1364.94177 1363.82959
20010329 1364.10291 1364.66199 1363.54382 1365.14563 1364.02759
20010330 1364.47534 1365.01013 1363.94043 1365.49316 1364.42493
20010331 1364.99939 1365.54639 1364.45239 1366.02856 1364.93774
20010401 1365.39990 1365.95251 1364.84741 1366.43384 1365.33362
20010402 1365.87769 1366.43091 1365.32458 1366.91138 1365.81177
20010403 1366.25989 1366.82507 1365.69470 1367.30469 1366.18298
20010404 1366.43176 1366.99548 1365.86743 1367.47412 1366.35669
20010405 1366.29614 1366.84802 1365.72839 1367.32544 1366.21912
20010406 1365.94238 1366.52661 1365.35815 1367.00293 1365.85010
20010407 1365.77673 1366.38464 1365.17419 1366.85962 1365.66736
20010408 1365.61975 1366.19055 1365.04907 1366.66431 1365.54370
20010409 1365.56665 1366.11365 1365.01953 1366.58606 1365.51550
20010410 1365.58850 1366.13147 1365.04553 1366.60242 1365.54297
20010411 1365.66968 1366.21143 1365.12793 1366.68091 1365.62695
20010412 1365.86377 1366.39465 1365.33301 1366.86267 1365.83362
20010413 1366.14697 1366.65588 1365.63794 1367.12219 1366.14038
20010414 1366.26587 1366.78259 1365.74927 1367.24719 1366.25342
20010415 1366.34131 1366.84839 1365.84607 1367.31104 1366.35242
20010416 1366.26575 1366.74927 1365.78223 1367.21033 1366.29028
20010417 1366.18091 1366.67297 1365.68872 1367.13232 1366.19849
20010418 1366.14209 1366.64490 1365.63940 1367.10254 1366.15088
20010419 1366.13062 1366.61340 1365.64783 1367.06982 1366.16064
20010420 1366.03198 1366.54126 1365.52271 1366.99670 1366.03662
20010421 1365.72290 1366.20752 1365.23840 1366.66199 1365.75342
20010422 1365.55078 1366.05249 1365.04907 1366.50586 1365.56519
20010423 1365.56372 1366.04126 1365.08606 1366.49377 1365.60315
20010424 1365.48535 1365.99011 1364.98071 1366.44153 1365.49890
20010425 1365.60754 1366.08411 1365.13306 1366.53455 1365.65247
20010426 1365.80334 1366.29895 1365.30786 1366.74817 1365.82849
20010427 1365.94714 1366.45654 1365.43787 1366.90442 1365.95984
20010428 1366.13940 1366.65552 1365.62329 1367.10217 1366.14661
20010429 1366.31384 1366.82544 1365.80212 1367.27087 1366.32678
20010430 1366.41284 1366.92883 1365.89685 1367.37292 1366.42285
20010501 1366.36621 1366.87891 1365.85364 1367.32166 1366.38110
20010502 1366.33472 1366.83618 1365.83313 1367.27771 1366.36194
20010503 1366.24207 1366.75842 1365.72583 1367.19861 1366.25598
20010504 1366.15039 1366.68311 1365.61755 1367.12195 1366.14929
20010505 1366.30103 1366.83936 1365.75208 1367.27673 1366.28528
20010506 1366.40186 1366.94165 1365.86206 1367.37756 1366.39673
20010507 1366.33899 1366.89453 1365.78333 1367.32910 1366.31946
20010508 1366.33130 1366.87671 1365.78589 1367.30981 1366.32361
20010509 1366.28235 1366.82556 1365.73914 1367.25732 1366.27832
20010510 1366.17200 1366.71973 1365.62415 1367.15039 1366.16455
20010511 1365.90710 1366.44226 1365.37195 1366.87183 1365.91357
20010512 1365.56909 1366.10828 1365.02979 1366.53674 1365.57251
20010513 1365.48242 1366.01575 1364.94897 1366.44324 1365.49280
20010514 1365.55493 1366.11169 1364.99854 1366.53809 1365.54346
20010515 1365.77588 1366.30078 1365.25159 1366.72595 1365.79785
20010516 1366.03601 1366.56201 1365.50989 1366.98584 1366.05750
20010517 1366.28149 1366.79895 1365.76404 1367.22131 1366.31311
20010518 1366.42224 1366.94446 1365.90002 1367.36548 1366.45056
20010519 1366.41309 1366.93799 1365.88831 1367.35779 1366.44019
20010520 1366.34973 1366.87585 1365.82349 1367.29456 1366.37659
20010521 1366.20483 1366.72742 1365.68225 1367.14502 1366.23645
20010522 1365.95984 1366.48621 1365.43359 1366.90320 1365.98853
20010523 1365.65405 1366.16296 1365.14526 1366.57935 1365.70081
20010524 1365.56140 1366.07642 1365.04639 1366.49243 1365.60254
20010525 1365.69287 1366.21033 1365.17957 1366.62610 1365.73596
20010526 1365.94031 1366.44604 1365.43469 1366.86169 1365.99133
20010527 1366.25391 1366.75903 1365.74878 1367.17456 1366.30554
20010528 1366.53491 1367.05847 1366.01135 1367.47388 1366.56836
20010529 1366.67957 1367.20178 1366.15735 1367.61682 1366.71472
20010530 1366.64221 1367.15857 1366.12573 1367.57336 1366.68359
20010531 1366.52539 1367.02795 1366.00305 1367.44226 1366.56140
20010601 1366.43713 1366.96851 1365.90588 1367.38220 1366.46472
20010602 1366.37976 1366.89990 1365.85962 1367.31323 1366.41907
20010603 1366.21594 1366.72803 1365.71509 1367.14124 1366.27466
20010604 1365.96814 1366.49390 1365.44104 1366.90698 1366.00085
20010605 1365.94556 1366.47681 1365.41431 1366.88977 1365.97424
20010606 1366.04541 1366.54993 1365.53015 1366.96265 1366.09058
20010607 1365.96448 1366.49243 1365.43567 1366.90466 1365.99646
20010608 1365.57239 1366.10327 1365.04150 1366.51514 1365.60278
20010609 1365.15381 1365.68604 1364.62097 1366.09766 1365.18262
20010610 1365.25659 1365.77197 1364.73962 1366.18311 1365.30176
20010611 1365.58118 1366.10425 1365.05798 1366.51501 1365.62061
20010612 1366.01648 1366.51392 1365.51904 1366.92432 1366.08215
20010613 1366.15747 1366.70544 1365.61560 1367.11548 1366.17908
20010614 1366.19312 1366.71912 1365.67334 1367.12878 1366.23730
20010615 1366.21875 1366.71313 1365.71594 1367.12244 1366.28027
20010616 1365.88647 1366.40430 1365.36707 1366.81311 1365.93201
20010617 1365.58740 1366.11487 1365.06006 1366.52319 1365.62561
20010618 1365.36475 1365.89063 1364.82959 1366.29834 1365.39575
20010619 1365.23645 1365.76257 1364.71033 1366.16956 1365.27722
20010620 1365.21838 1365.74829 1364.69043 1366.15479 1365.25793
20010621 1365.46130 1365.99927 1364.92346 1366.40527 1365.49146
20010622 1365.91760 1366.48132 1365.37988 1366.88708 1365.94824
20010623 1366.23413 1366.78845 1365.68542 1367.19409 1366.25403
20010624 1366.39221 1366.93542 1365.85193 1367.34106 1366.42065
20010625 1366.40503 1366.94873 1365.86511 1367.35425 1366.43384
20010626 1366.24402 1366.78345 1365.70459 1367.18909 1366.27344
20010627 1366.25537 1366.78406 1365.72961 1367.18970 1366.29846
20010628 1366.31287 1366.84778 1365.77795 1367.25354 1366.34680
20010629 1366.38281 1366.91138 1365.84399 1367.31726 1366.41284
20010630 1366.45508 1366.98608 1365.92407 1367.39221 1366.49280
20010701 1366.65649 1367.19067 1366.12219 1367.59692 1366.69080
20010702 1366.88843 1367.37378 1366.34900 1367.78027 1366.91736
20010703 1366.75073 1367.33179 1366.17224 1367.73853 1366.74036
20010704 1366.60400 1367.14014 1366.06750 1367.54724 1366.63538
20010705 1366.42407 1366.95850 1365.88953 1367.36597 1366.45715
20010706 1366.29346 1366.84485 1365.74207 1367.25269 1366.30945
20010707 1366.19690 1366.71350 1365.68030 1367.12158 1366.24756
20010708 1366.09302 1366.61389 1365.57214 1367.02209 1366.13904
20010709 1366.12378 1366.63232 1365.61487 1367.04077 1366.18176
20010710 1366.32605 1366.82373 1365.82495 1367.23242 1366.39172
20010711 1366.52246 1367.01721 1366.01770 1367.42603 1366.58435
20010712 1366.54871 1367.04749 1366.03308 1367.45654 1366.59961
20010713 1366.44983 1366.96924 1365.93030 1367.37842 1366.49670
20010714 1366.20117 1366.71582 1365.67102 1367.12524 1366.23743
20010715 1365.96643 1366.49536 1365.43738 1366.90491 1366.00366
20010716 1365.81482 1366.33899 1365.29077 1366.74866 1365.85681
20010717 1365.90820 1366.41089 1365.40796 1366.82068 1365.97400
20010718 1366.09155 1366.58630 1365.58521 1366.99634 1366.15112
20010719 1366.21985 1366.73767 1365.70203 1367.14783 1366.26782
20010720 1366.19910 1366.71851 1365.67981 1367.12878 1366.24561
20010721 1366.11597 1366.61694 1365.59131 1367.02759 1366.15686
20010722 1366.04553 1366.54858 1365.54260 1366.95935 1366.10791
20010723 1366.08997 1366.59338 1365.56934 1367.00464 1366.13440
20010724 1366.08740 1366.61060 1365.58704 1367.02197 1366.15186
20010725 1366.11377 1366.64905 1365.57849 1367.06067 1366.14319
20010726 1366.15674 1366.69482 1365.61865 1367.10681 1366.18323
20010727 1366.27942 1366.78125 1365.75781 1367.19360 1366.32202
20010728 1366.37866 1366.83728 1365.86768 1367.24976 1366.43176
20010729 1366.46985  -99.00000 1365.95984  -99.00000 1366.52368
20010730 1366.37000 1366.90869 1365.83130 1367.32166 1366.39502
20010731 1366.36975 1366.88013 1365.85938 1367.29321 1366.42297
20010801 1366.31067 1366.81982 1365.78406 1367.23303 1366.34766
20010802 1366.18616 1366.73486 1365.63757 1367.14807 1366.20105
20010803 1366.02148 1366.56885 1365.45972 1366.98218 1366.02332
20010804 1365.61584 1366.16162 1365.06995 1366.57495 1365.63354
20010805 1365.41797 1365.96057 1364.87537 1366.37402 1365.43896
20010806 1365.53931 1366.05090 1364.99939 1366.46448 1365.56287
20010807 1365.63293 1366.15491 1365.11108 1366.56860 1365.67444
20010808 1365.89197 1366.43506 1365.34900 1366.84888 1365.91235
20010809 1366.11011 1366.65161 1365.56873 1367.06567 1366.13196
20010810 1366.14172 1366.68384 1365.59961 1367.09802 1366.16284
20010811 1365.75195 1366.29700 1365.20679 1366.71130 1365.77002
20010812 1365.74170 1366.29529 1365.18811 1366.70947 1365.75134
20010813 1365.90784 1366.44873 1365.37036 1366.86304 1365.93372
20010814 1366.20374 1366.73413 1365.67322 1367.14844 1366.23657
20010815 1366.40442 1366.91028 1365.87585 1367.32458 1366.43921
20010816 1366.54504 1367.08752 1366.00269 1367.50183 1366.56604
20010817 1366.66028 1367.19531 1366.12512 1367.60986 1366.68835
20010818 1366.38647 1366.91992 1365.85303 1367.33484 1366.41602
20010819 1366.08167 1366.61670 1365.54663 1367.03198 1366.10913
20010820 1365.86768 1366.40381 1365.33142 1366.81958 1365.89355
20010821 1365.81543 1366.34448 1365.28174 1366.76086 1365.84338
20010822 1365.91785 1366.45483 1365.38098 1366.87158 1365.94214
20010823 1366.11328  -99.00000 1365.58167  -99.00000 1366.14270
20010824 1366.24573  -99.00000 1365.71375  -99.00000 1366.27454
20010825 1366.18774  -99.00000 1365.65564  -99.00000 1366.21631
20010826 1366.03687  -99.00000 1365.50476  -99.00000 1366.06506
20010827 1365.95557  -99.00000 1365.42310  -99.00000 1365.98303
20010828 1365.95679  -99.00000 1365.42383  -99.00000 1365.98340
20010829 1365.91541  -99.00000 1365.38232  -99.00000 1365.94153
20010830 1365.73682  -99.00000 1365.20349  -99.00000 1365.76245
20010831 1365.69788  -99.00000 1365.16431  -99.00000 1365.72302
20010901 1365.72510  -99.00000 1365.19104  -99.00000 1365.74951
20010902 1365.68896  -99.00000 1365.15454  -99.00000 1365.71265
20010903 1365.67969  -99.00000 1365.14514  -99.00000 1365.70300
20010904 1365.77441  -99.00000 1365.23962  -99.00000 1365.79749
20010905 1365.79980  -99.00000 1365.26514  -99.00000 1365.82288
20010906 1366.04028  -99.00000 1365.50513  -99.00000 1366.06274
20010907 1366.10547  -99.00000 1365.56982  -99.00000 1366.12720
20010908 1365.91565  -99.00000 1365.37952  -99.00000 1365.93665
20010909 1365.48450  -99.00000 1364.94849  -99.00000 1365.50525
20010910 1365.17249  -99.00000 1364.63623  -99.00000 1365.19299
20010911 1365.28992  -99.00000 1364.75342  -99.00000 1365.31006
20010912 1365.52148  -99.00000 1364.98499  -99.00000 1365.54150
20010913 1365.83594  -99.00000 1365.29968  -99.00000 1365.85620
20010914 1366.17468  -99.00000 1365.63831  -99.00000 1366.19519
20010915 1366.43506  -99.00000 1365.89868  -99.00000 1366.45569
