 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
19990202 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990202 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990203 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 052920 1366.29508 1366.75293  -99.00000 1366.81572  -99.00000
19990204 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990204 142920 1366.29267 1366.74527 1365.84008 1366.80843 1366.13256
19990204 152920 1366.29188 1366.74512 1365.83864 1366.80833 1366.13114
19990204 162920 1366.30943 1366.74865 1365.87020 1366.81189 1366.16271
19990204 172920 1366.30422 1366.75636 1365.85209 1366.81963 1366.14460
19990204 182920 1366.32158 1366.76753 1365.87564 1366.83084 1366.16815
19990204 192920 1366.26821 1366.72973 1365.80668 1366.79307 1366.09921
19990204 202920 1366.25631 1366.69580 1365.81682 1366.75918 1366.10935
19990204 212920 1366.26365 1366.73286 1365.79445 1366.79627 1366.08699
19990204 222920 1366.23380 1366.71661 1365.75099 1366.78005 1366.04353
19990204 232920 1366.24204 1366.73180 1365.75228 1366.79528 1366.04484
19990205 002920 1366.30072 1366.75846  -99.00000 1366.82198  -99.00000
19990205 012920 1366.27034 1366.72807  -99.00000 1366.79162  -99.00000
19990205 022920 1366.27525 1366.73298  -99.00000 1366.79657  -99.00000
19990205 032920 1366.29106 1366.74879  -99.00000 1366.81241  -99.00000
19990205 042920 1366.32703 1366.78477  -99.00000 1366.84843  -99.00000
19990205 052920 1366.27903 1366.73675  -99.00000 1366.80044  -99.00000
19990205 062920 1366.25894 1366.71665  -99.00000 1366.78037  -99.00000
19990205 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990205 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990205 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990205 102920 1366.26587 1366.72357  -99.00000 1366.78743  -99.00000
19990205 112920 1366.28288 1366.74059  -99.00000 1366.80447  -99.00000
19990205 122920 1366.27210 1366.72980  -99.00000 1366.79372  -99.00000
19990205 132920 1366.29483 1366.75254  -99.00000 1366.81649  -99.00000
19990205 142920 1366.28492 1366.74262  -99.00000 1366.80661  -99.00000
19990205 152920 1366.21137 1366.66904  -99.00000 1366.73306  -99.00000
19990205 162920 1366.25392 1366.71161  -99.00000 1366.77567  -99.00000
19990205 172920 1366.24924 1366.70693  -99.00000 1366.77101  -99.00000
19990205 182920 1366.23385 1366.69153  -99.00000 1366.75565  -99.00000
19990205 192920 1366.25707 1366.71476  -99.00000 1366.77891  -99.00000
19990205 202920 1366.22442 1366.68210  -99.00000 1366.74628  -99.00000
19990205 212920 1366.24328 1366.70097  -99.00000 1366.76518  -99.00000
19990205 222920 1366.20959 1366.66727  -99.00000 1366.73151  -99.00000
19990205 232920 1366.25523 1366.71292  -99.00000 1366.77720  -99.00000
19990206 002920 1366.19603 1366.65370  -99.00000 1366.71800  -99.00000
19990206 012920 1366.19720 1366.65487  -99.00000 1366.71921  -99.00000
19990206 022920 1366.24081 1366.69849  -99.00000 1366.76286  -99.00000
19990206 032920 1366.23081 1366.68850  -99.00000 1366.75290  -99.00000
19990206 042920 1366.23408 1366.69177  -99.00000 1366.75620  -99.00000
19990206 052920 1366.24460 1366.70228  -99.00000 1366.76674  -99.00000
19990206 062920 1366.24426 1366.70195  -99.00000 1366.76644  -99.00000
19990206 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990206 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990206 092920 1366.19393 1366.65161  -99.00000 1366.71619  -99.00000
19990206 102920 1366.21244 1366.67012  -99.00000 1366.73473  -99.00000
19990206 112920 1366.18106 1366.63874  -99.00000 1366.70338  -99.00000
19990206 122920 1366.23466 1366.69236  -99.00000 1366.75703  -99.00000
19990206 132920 1366.19241 1366.65009  -99.00000 1366.71480  -99.00000
19990206 142920 1366.20046 1366.65815  -99.00000 1366.72288  -99.00000
19990206 152920 1366.15602 1366.61371  -99.00000 1366.67847  -99.00000
19990206 162920 1366.19263 1366.65034  -99.00000 1366.71513  -99.00000
19990206 172920 1366.18710 1366.64481  -99.00000 1366.70963  -99.00000
19990206 182920 1366.21314 1366.67086  -99.00000 1366.73571  -99.00000
19990206 192920 1366.20660 1366.66434  -99.00000 1366.72922  -99.00000
19990206 202920 1366.21433 1366.67208  -99.00000 1366.73699  -99.00000
19990206 212920 1366.19308 1366.65083  -99.00000 1366.71577  -99.00000
19990206 222920 1366.15470 1366.61244  -99.00000 1366.67741  -99.00000
19990206 232920 1366.18484 1366.64261  -99.00000 1366.70760  -99.00000
19990207 002920 1366.15858 1366.60543 1365.71173 1366.67045 1366.00437
19990207 012920 1366.20603 1366.65225 1365.75981 1366.71731 1366.05246
19990207 022920 1366.17666 1366.62365 1365.72967 1366.68875 1366.02233
19990207 032920 1366.20859 1366.65412 1365.76307 1366.71926 1366.05572
19990207 042920 1366.17436 1366.61392 1365.73480 1366.67909 1366.02746
19990207 052920 1366.21403 1366.65984 1365.76821 1366.72505 1366.06087
19990207 062920 1366.20810 1366.64762 1365.76858 1366.71287 1366.06125
19990207 072920 1366.24839 1366.67629 1365.82049 1366.74158 1366.11316
19990207 082920 1366.24637 1366.67642 1365.81633 1366.74174 1366.10901
19990207 092920 1366.24526 1366.67754 1365.81298 1366.74291 1366.10567
19990207 102920 1366.29464 1366.72541 1365.86387 1366.79081 1366.15656
19990207 112920 1366.27921 1366.70883 1365.84960 1366.77427 1366.14229
19990207 122920 1366.26584 1366.68088 1365.85079 1366.74637 1366.14349
19990207 132920 1366.27138 1366.69139 1365.85137 1366.75691 1366.14407
19990207 142920 1366.25916 1366.68205 1365.83626 1366.74761 1366.12897
19990207 152920 1366.26844 1366.69917 1365.83770 1366.76477 1366.13041
19990207 162920 1366.24432 1366.67631 1365.81233 1366.74195 1366.10505
19990207 172920 1366.26610 1366.69530 1365.83691 1366.76098 1366.12963
19990207 182920 1366.26367 1366.69217 1365.83518 1366.75788 1366.12790
19990207 192920 1366.25114 1366.69527 1365.80700 1366.76103 1366.09973
19990207 202920 1366.24093 1366.67019 1365.81168 1366.73598 1366.10442
19990207 212920 1366.21344 1366.66405 1365.76284 1366.72988 1366.05558
19990207 222920 1366.28706 1366.73044 1365.84368 1366.79631 1366.13643
19990207 232920 1366.24626 1366.68285 1365.80966 1366.74877 1366.10241
19990208 002920 1366.30714  -99.00000 1365.84924  -99.00000 1366.14199
19990208 012920 1366.30266  -99.00000 1365.84476  -99.00000 1366.13752
19990208 022920 1366.30207  -99.00000 1365.84416  -99.00000 1366.13692
19990208 032920 1366.29539 1366.71516 1365.87563 1366.78124 1366.16839
19990208 042920 1366.27399 1366.70303 1365.84495 1366.76915 1366.13772
19990208 052920 1366.25840 1366.67670 1365.84010 1366.74286 1366.13287
19990208 062920 1366.25714 1366.68084 1365.83344 1366.74705 1366.12622
19990208 072920 1366.27289 1366.69851 1365.84727 1366.76476 1366.14005
19990208 082920 1366.23838 1366.67255 1365.80420 1366.73884 1366.09699
19990208 092920 1366.30636 1366.74388 1365.86883 1366.81021 1366.16162
19990208 102920 1366.27461 1366.71194 1365.83727 1366.77831 1366.13007
19990208 112920 1366.24377 1366.67406 1365.81347 1366.74047 1366.10627
19990208 122920 1366.24365 1366.67236 1365.81493 1366.73881 1366.10774
19990208 132920 1366.28172 1366.72287 1365.84056 1366.78937 1366.13337
19990208 142920 1366.23536 1366.68169 1365.78903 1366.74823 1366.08184
19990208 152920 1366.27345 1366.71627 1365.83064 1366.78285 1366.12345
19990208 162920 1366.26563 1366.72011 1365.81115 1366.78673 1366.10397
19990208 172920 1366.24186 1366.69596 1365.78775 1366.76263 1366.08058
19990208 182920 1366.27895 1366.73713 1365.82077 1366.80384 1366.11360
19990208 192920 1366.25989 1366.71744 1365.80233 1366.78419 1366.09517
19990208 202920 1366.25104 1366.70110 1365.80098 1366.76789 1366.09382
19990208 212920 1366.28809 1366.72726 1365.84892 1366.79410 1366.14176
19990208 222920 1366.29063 1366.71208 1365.86917 1366.77896 1366.16202
19990208 232920 1366.28581 1366.68908 1365.88254 1366.75600 1366.17539
19990209 002920 1366.25318 1366.66130 1365.84507 1366.72826 1366.13792
19990209 012920 1366.21046 1366.64796 1365.77296 1366.71497 1366.06582
19990209 022920 1366.18696 1366.63266 1365.74127 1366.69971 1366.03413
19990209 032920 1366.18420 1366.64493 1365.72347 1366.71203 1366.01633
19990209 042920 1366.12149 1366.62068 1365.62230 1366.68782 1365.91517
19990209 052920 1366.14855 1366.64605 1365.65104 1366.71324 1365.94391
19990209 062920 1366.16434 1366.65931 1365.66937 1366.72654 1365.96225
19990209 072920 1366.16480 1366.65788 1365.67173 1366.72515 1365.96461
19990209 082920 1366.17546  -99.00000 1365.71751  -99.00000 1366.01040
19990209 092920 1366.24288  -99.00000 1365.78490  -99.00000 1366.07779
19990209 102920 1366.32416  -99.00000 1365.86615  -99.00000 1366.15905
19990209 112920 1366.29559  -99.00000 1365.83758  -99.00000 1366.13048
19990209 122920 1366.34117  -99.00000 1365.88315  -99.00000 1366.17605
19990209 132920 1366.26637 1366.68601 1365.84672 1366.75356 1366.13963
19990209 142920 1366.20847 1366.62702 1365.78991 1366.69461 1366.08282
19990209 152920 1366.17907 1366.61994 1365.73821 1366.68757 1366.03112
19990209 162920 1366.23159 1366.63614 1365.82704 1366.70381 1366.11996
19990209 172920 1366.20362 1366.63771 1365.76953 1366.70543 1366.06245
19990209 182920 1366.16858 1366.60772 1365.72944 1366.67549 1366.02237
19990209 192920 1366.19278 1366.64552 1365.74004 1366.71333 1366.03297
19990209 202920 1366.19326 1366.62694 1365.75958 1366.69479 1366.05251
19990209 212920 1366.18905 1366.61494 1365.76316 1366.68285 1366.05609
19990209 222920 1366.19921 1366.61769 1365.78073 1366.68565 1366.07367
19990209 232920 1366.18652 1366.60756 1365.76548 1366.67556 1366.05842
19990210 002920 1366.21644 1366.65408 1365.77881 1366.72212 1366.07175
19990210 012920 1366.19787 1366.64858 1365.74716 1366.71666 1366.04011
19990210 022920 1366.16145 1366.62461 1365.69830 1366.69273 1365.99126
19990210 032920 1366.11951 1366.61631 1365.62270 1366.68447 1365.91567
19990210 042920 1366.12973 1366.61457 1365.64490 1366.68277 1365.93788
19990210 052920 1366.10125 1366.59089 1365.61160 1366.65913 1365.90459
19990210 062920 1366.08474 1366.58904 1365.58045 1366.65732 1365.87344
19990210 072920 1366.10304 1366.61220 1365.59387 1366.68052 1365.88688
19990210 082920 1366.06989 1366.58431 1365.55548 1366.65267 1365.84849
19990210 092920 1366.07292 1366.56993 1365.57591 1366.63833 1365.86893
19990210 102920 1365.99237  -99.00000 1365.53458  -99.00000 1365.82761
19990210 112920 1366.00262  -99.00000 1365.54484  -99.00000 1365.83787
19990210 122920 1366.04052 1366.53113 1365.54990 1366.59965 1365.84295
19990210 132920 1366.02542 1366.49464 1365.55621 1366.56320 1365.84926
19990210 142920 1365.97502 1366.45646 1365.49357 1366.52506 1365.78663
19990210 152920 1366.00133 1366.47644 1365.52622 1366.54508 1365.81929
19990210 162920 1365.96952 1366.42451 1365.51453 1366.49318 1365.80760
19990210 172920 1365.96967 1366.42155 1365.51779 1366.49027 1365.81087
19990210 182920 1365.99589 1366.44823 1365.54355 1366.51698 1365.83665
19990210 192920 1365.97384 1366.43546 1365.51222 1366.50425 1365.80532
19990210 202920 1365.94979 1366.39545 1365.50414 1366.46428 1365.79725
19990210 212920 1365.98098 1366.41920 1365.54276 1366.48808 1365.83589
19990210 222920 1365.94317 1366.38082 1365.50551 1366.44974 1365.79865
19990210 232920 1365.94006 1366.38046 1365.49967 1366.44941 1365.79281
19990211 002920 1365.94112  -99.00000 1365.48320  -99.00000 1365.77635
19990211 012920 1365.91800  -99.00000 1365.46007  -99.00000 1365.75323
19990211 022920 1365.87293 1366.31842 1365.42744 1366.38748 1365.72061
19990211 032920 1365.88672 1366.33638 1365.43707 1366.40548 1365.73025
19990211 042920 1365.87072 1366.32217 1365.41926 1366.39131 1365.71245
19990211 052920 1365.82495 1366.29861 1365.35130 1366.36779 1365.64450
19990211 062920 1365.86273 1366.33044 1365.39502 1366.39966 1365.68823
19990211 072920 1365.85143 1366.31698 1365.38588 1366.38624 1365.67909
19990211 082920 1365.82363 1366.26825 1365.37902 1366.33755 1365.67224
19990211 092920 1365.81299 1366.25047 1365.37551 1366.31981 1365.66875
19990211 102920 1365.82493 1366.26172 1365.38815 1366.33110 1365.68140
19990211 112920 1365.80787 1366.23887 1365.37687 1366.30828 1365.67013
19990211 122920 1365.78450 1366.23377 1365.33524 1366.30322 1365.62851
19990211 132920 1365.72642 1366.18296 1365.26987 1366.25245 1365.56315
19990211 142920 1365.72667 1366.17570 1365.27763 1366.24523 1365.57092
19990211 152920 1365.75727 1366.22406 1365.29049 1366.29362 1365.58379
19990211 162920 1365.72432 1366.19233 1365.25632 1366.26194 1365.54963
19990211 172920 1365.69779 1366.13664 1365.25894 1366.20628 1365.55226
19990211 182920 1365.67272 1366.13044 1365.21499 1366.20012 1365.50833
19990211 192920 1365.67361 1366.12788 1365.21935 1366.19759 1365.51270
19990211 202920 1365.64571 1366.11413 1365.17728 1366.18389 1365.47064
19990211 212920 1365.64968 1366.11845 1365.18091 1366.18825 1365.47428
19990211 222920 1365.64931 1366.09893 1365.19968 1366.16876 1365.49306
19990211 232920 1365.62111 1366.08176 1365.16045 1366.15163 1365.45384
19990212 002920 1365.61555 1366.06964 1365.16146 1366.13955 1365.45486
19990212 012920 1365.61169 1366.06840 1365.15498 1366.13835 1365.44839
19990212 022920 1365.62005 1366.08352 1365.15658 1366.15350 1365.45000
19990212 032920 1365.61014 1366.08029 1365.13999 1366.15031 1365.43342
19990212 042920 1365.65411 1366.12955 1365.17868 1366.19961 1365.47212
19990212 052920 1365.58199 1366.06997 1365.09401 1366.14007 1365.38747
19990212 062920 1365.55321 1366.03859 1365.06783 1366.10872 1365.36130
19990212 072920 1365.50721 1365.98259 1365.03184 1366.05276 1365.32532
19990212 082920 1365.52696 1366.01396 1365.03997 1366.08416 1365.33346
19990212 092920 1365.51856 1365.97583 1365.06128 1366.04608 1365.35478
19990212 102920 1365.47949 1365.92869 1365.03029 1365.99897 1365.32381
19990212 112920 1365.47972 1365.91616 1365.04328 1365.98648 1365.33681
19990212 122920 1365.48604 1365.92043 1365.05165 1365.99079 1365.34519
19990212 132920 1365.42672 1365.86905 1364.98438 1365.93945 1365.27793
19990212 142920 1365.42590 1365.86636 1364.98543 1365.93679 1365.27900
19990212 152920 1365.40777 1365.84378 1364.97177 1365.91425 1365.26534
19990212 162920 1365.37746 1365.82239 1364.93253 1365.89290 1365.22612
19990212 172920 1365.34806 1365.78885 1364.90727 1365.85939 1365.20088
19990212 182920 1365.32625 1365.76157 1364.89093 1365.83214 1365.18455
19990212 192920 1365.27385 1365.72054 1364.82717 1365.79115 1365.12080
19990212 202920 1365.29732 1365.75343 1364.84121 1365.82408 1365.13485
19990212 212920 1365.25389 1365.69943 1364.80835 1365.77011 1365.10200
19990212 222920 1365.23928 1365.68880 1364.78977 1365.75952 1365.08343
19990212 232920 1365.21493 1365.66406 1364.76580 1365.73482 1365.05948
19990213 002920 1365.19350 1365.63992 1364.74708 1365.71072 1365.04077
19990213 012920 1365.16470 1365.61268 1364.71672 1365.68352 1365.01039
19990213 022920 1365.15906 1365.60427 1364.71384 1365.67516 1365.00751
19990213 032920 1365.14718 1365.59664 1364.69771 1365.66757 1364.99137
19990213 042920 1365.12974 1365.58591 1364.67358 1365.65688 1364.96723
19990213 052920 1365.15002 1365.61407 1364.68597 1365.68508 1364.97962
19990213 062920 1365.11437 1365.56117 1364.66757 1365.63223 1364.96120
19990213 072920 1365.14847 1365.60919 1364.68775 1365.68029 1364.98137
19990213 082920 1365.11950  -99.00000 1364.66153  -99.00000 1364.95514
19990213 092920 1365.08985  -99.00000 1364.63187  -99.00000 1364.92547
19990213 102920 1365.07881 1365.53554 1364.62207 1365.60676 1364.91567
19990213 112920 1365.08559 1365.55071 1364.62047 1365.62198 1364.91405
19990213 122920 1365.05371 1365.52250 1364.58493 1365.59381 1364.87850
19990213 132920 1365.09363 1365.55441 1364.63285 1365.62576 1364.92640
19990213 142920 1365.06578 1365.51473 1364.61682 1365.58613 1364.91037
19990213 152920 1365.00375 1365.46642 1364.54108 1365.53786 1364.83461
19990213 162920 1365.02887 1365.48099 1364.57675 1365.55248 1364.87027
19990213 172920 1365.02594 1365.48660 1364.56528 1365.55813 1364.85878
19990213 182920 1365.04396 1365.49287 1364.59505 1365.56444 1364.88854
19990213 192920 1365.00244 1365.45810 1364.54678 1365.52972 1364.84025
19990213 202920 1364.99773 1365.44551 1364.54996 1365.51717 1364.84341
19990213 212920 1364.97931 1365.42512 1364.53349 1365.49683 1364.82693
19990213 222920 1364.97692 1365.40827 1364.54556 1365.48002 1364.83898
19990213 232920 1364.94497 1365.37468 1364.51526 1365.44647 1364.80867
19990214 002920 1364.96983 1365.41509 1364.52457 1365.48692 1364.81796
19990214 012920 1364.92883 1365.37634 1364.48131 1365.44822 1364.77468
19990214 022920 1364.91573 1365.38104 1364.45042 1365.45296 1364.74377
19990214 032920 1364.96618 1365.42575 1364.50662 1365.49771 1364.79995
19990214 042920 1364.92798 1365.37822 1364.47775 1365.45023 1364.77106
19990214 052920 1364.95539 1365.40746 1364.50332 1365.47952 1364.79662
19990214 062920 1364.92401 1365.37470 1364.47332 1365.44680 1364.76659
19990214 072920 1364.92322 1365.36135 1364.48509 1365.43350 1364.77834
19990214 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 102920 1364.92216 1365.37191 1364.47242 1365.44419 1364.76561
19990214 112920 1364.87349 1365.34007 1364.40690 1365.41240 1364.70007
19990214 122920 1364.90615 1365.36417  -99.00000 1365.43654  -99.00000
19990214 132920 1364.76369 1365.22165  -99.00000 1365.29407  -99.00000
19990214 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990214 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990215 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990216 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19990217 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
