 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
19971031 232920 1365.65476 1366.07891 1365.23061 1366.44225 1365.52619
19971101 002920 1365.68483  -99.00000 1365.22541  -99.00000 1365.52095
19971101 012920 1365.70519  -99.00000 1365.24576  -99.00000 1365.54126
19971101 022920 1365.68164  -99.00000 1365.22222  -99.00000 1365.51768
19971101 032920 1365.69762  -99.00000 1365.23820  -99.00000 1365.53362
19971101 042920 1365.73169  -99.00000 1365.27225  -99.00000 1365.56764
19971101 052920 1365.66390 1366.11980 1365.20801 1366.48323 1365.50336
19971101 062920 1365.59689 1366.06574 1365.12804 1366.42918 1365.42335
19971101 072920 1365.65942 1366.11523 1365.20361 1366.47869 1365.49887
19971101 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971101 092920 1365.57704 1366.03659  -99.00000 1366.40008  -99.00000
19971101 102920 1365.65212 1366.11169  -99.00000 1366.47519  -99.00000
19971101 112920 1365.62571 1366.08527  -99.00000 1366.44879  -99.00000
19971101 122920 1365.59655 1366.08302 1365.11007 1366.44655 1365.40511
19971101 132920 1365.61749 1366.10387 1365.13112 1366.46741 1365.42611
19971101 142920 1365.58265 1366.10965 1365.05565 1366.47321 1365.35059
19971101 152920 1365.56898 1366.09493 1365.04302 1366.45850 1365.33792
19971101 162920 1365.59298 1366.09844 1365.08753 1366.46202 1365.38237
19971101 172920 1365.60366 1366.09797 1365.10935 1366.46157 1365.40414
19971101 182920 1365.60092 1366.09346 1365.10839 1366.45706 1365.40313
19971101 192920 1365.57902 1366.05720 1365.10084 1366.42082 1365.39552
19971101 202920 1365.61682 1366.06335 1365.17029 1366.42698 1365.46492
19971101 212920 1365.62731 1366.06712 1365.18750 1366.43076 1365.48207
19971101 222920 1365.63310 1366.08257 1365.18363 1366.44622 1365.47815
19971101 232920 1365.63583 1366.06122 1365.21044 1366.42488 1365.50490
19971102 002920 1365.66024 1366.08986 1365.23062 1366.45354 1365.52503
19971102 012920 1365.61889 1366.05087 1365.18692 1366.41457 1365.48131
19971102 022920 1365.59901 1366.05965 1365.13836 1366.42337 1365.43274
19971102 032920 1365.63365 1366.08550 1365.18181 1366.44924 1365.47616
19971102 042920 1365.62147 1366.06018 1365.18275 1366.42393 1365.47709
19971102 052920 1365.57820 1366.05670 1365.09969 1366.42048 1365.39401
19971102 062920 1365.60067 1366.08284 1365.11850 1366.44664 1365.41279
19971102 072920 1365.60024 1366.08692 1365.11356 1366.45074 1365.40784
19971102 082920 1365.60581 1366.09742 1365.11420 1366.46125 1365.40845
19971102 092920 1365.64627 1366.11669 1365.17584 1366.48055 1365.47008
19971102 102920 1365.63892 1366.08121 1365.19664 1366.44508 1365.49085
19971102 112920 1365.66220 1366.09115 1365.23324 1366.45504 1365.52744
19971102 122920 1365.62760 1366.05803 1365.19718 1366.42194 1365.49135
19971102 132920 1365.63426 1366.06512 1365.20340 1366.42905 1365.49756
19971102 142920 1365.60607 1366.06849 1365.14365 1366.43244 1365.43778
19971102 152920 1365.60555 1366.05822 1365.15288 1366.42219 1365.44700
19971102 162920 1365.61666 1366.06134 1365.17199 1366.42533 1365.46608
19971102 172920 1365.62235 1366.06429 1365.18040 1366.42830 1365.47448
19971102 182920 1365.61108 1366.05508 1365.16708 1366.41911 1365.46114
19971102 192920 1365.59163 1366.04997 1365.13330 1366.41402 1365.42734
19971102 202920 1365.55830 1365.99689 1365.11971 1366.36096 1365.41373
19971102 212920 1365.57019 1365.99607 1365.14430 1366.36016 1365.43831
19971102 222920 1365.55373 1365.96276 1365.14471 1366.32687 1365.43869
19971102 232920 1365.53579 1365.95917 1365.11240 1366.32330 1365.40636
19971103 002920 1365.48983 1365.91732 1365.06234 1366.28147 1365.35629
19971103 012920 1365.43058 1365.87784 1364.98332 1366.24201 1365.27725
19971103 022920 1365.39113 1365.84249 1364.93977 1366.20668 1365.23368
19971103 032920 1365.32617 1365.78572  -99.00000 1366.14992  -99.00000
19971103 042920 1365.36979 1365.82935  -99.00000 1366.19358  -99.00000
19971103 052920 1365.28270 1365.74223  -99.00000 1366.10648  -99.00000
19971103 062920 1365.25930 1365.71881  -99.00000 1366.08308  -99.00000
19971103 072920 1365.24764 1365.70714  -99.00000 1366.07143  -99.00000
19971103 082920 1365.20124 1365.66072  -99.00000 1366.02502  -99.00000
19971103 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971103 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971103 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971103 122920 1365.20743 1365.66799 1364.74687 1366.03237 1365.04061
19971103 132920 1365.14375 1365.62720 1364.66030 1365.99160 1364.95403
19971103 142920 1365.09457 1365.58514 1364.60401 1365.94955 1364.89772
19971103 152920 1365.10830 1365.58077 1364.63582 1365.94521 1364.92951
19971103 162920 1365.12504 1365.58098 1364.66910 1365.94544 1364.96277
19971103 172920 1365.14615 1365.58701 1364.70529 1365.95149 1364.99895
19971103 182920 1365.14765 1365.57775 1364.71755 1365.94225 1365.01119
19971103 192920 1365.15607 1365.57183 1364.74031 1365.93635 1365.03393
19971103 202920 1365.17804 1365.61380 1364.74227 1365.97834 1365.03588
19971103 212920 1365.16301 1365.60619 1364.71982 1365.97075 1365.01342
19971103 222920 1365.17583 1365.61728 1364.73438 1365.98185 1365.02797
19971103 232920 1365.14806 1365.60322 1364.69290 1365.96781 1364.98646
19971104 002920 1365.11231 1365.58563 1364.63898 1365.95024 1364.93253
19971104 012920 1365.16519 1365.64728 1364.68310 1366.01191 1364.97664
19971104 022920 1365.18128 1365.67161 1364.69094 1366.03626 1364.98446
19971104 032920 1365.19868 1365.66414 1364.73323 1366.02881 1365.02674
19971104 042920 1365.19957 1365.65012 1364.74903 1366.01481 1365.04252
19971104 052920 1365.24848 1365.69216 1364.80480 1366.05687 1365.09828
19971104 062920 1365.27609  -99.00000 1364.81679  -99.00000 1365.11025
19971104 072920 1365.28660  -99.00000 1364.82730  -99.00000 1365.12075
19971104 082920 1365.35506  -99.00000 1364.89574  -99.00000 1365.18917
19971104 092920 1365.29492 1365.73566 1364.85418 1366.10045 1365.14760
19971104 102920 1365.34540 1365.79275 1364.89804 1366.15756 1365.19144
19971104 112920 1365.35100 1365.78674 1364.91525 1366.15157 1365.20864
19971104 122920 1365.29050 1365.71273 1364.86828 1366.07757 1365.16165
19971104 132920 1365.31729 1365.77131 1364.86326 1366.13618 1365.15662
19971104 142920 1365.31708 1365.77664 1364.85752 1366.14153 1365.15086
19971104 152920 1365.29267 1365.77988 1364.80546 1366.14478 1365.09879
19971104 162920 1365.31024 1365.78202 1364.83846 1366.14694 1365.13178
19971104 172920 1365.33673 1365.79674 1364.87672 1366.16168 1365.17003
19971104 182920 1365.32235 1365.80077 1364.84392 1366.16573 1365.13722
19971104 192920 1365.33074 1365.80840 1364.85308 1366.17338 1365.14636
19971104 202920 1365.32677 1365.80220 1364.85133 1366.16720 1365.14460
19971104 212920 1365.31819 1365.79373 1364.84266 1366.15875 1365.13591
19971104 222920 1365.32858 1365.78720 1364.86995 1366.15224 1365.16319
19971104 232920 1365.29644 1365.75685 1364.83603 1366.12190 1365.12926
19971105 002920 1365.36032 1365.82622 1364.89442 1366.19130 1365.18763
19971105 012920 1365.33943 1365.80215 1364.87670 1366.16725 1365.16990
19971105 022920 1365.32079 1365.78507 1364.85651 1366.15019 1365.14970
19971105 032920 1365.35735 1365.81087 1364.90384 1366.17601 1365.19701
19971105 042920 1365.40469 1365.82404 1364.98535 1366.18919 1365.27851
19971105 052920 1365.35220 1365.77121 1364.93319 1366.13638 1365.22634
19971105 062920 1365.37790 1365.81511 1364.94069 1366.18030 1365.23382
19971105 072920 1365.35411 1365.81139 1364.89683 1366.17660 1365.18995
19971105 082920 1365.36650 1365.83326 1364.89975 1366.19849 1365.19286
19971105 092920 1365.37126 1365.82826 1364.91426 1366.19351 1365.20736
19971105 102920 1365.28873 1365.75603 1364.82142 1366.12131 1365.11451
19971105 112920 1365.37930 1365.82917 1364.92943 1366.19446 1365.22251
19971105 122920 1365.33292 1365.81472 1364.85113 1366.18002 1365.14419
19971105 132920 1365.35860 1365.82506 1364.89215 1366.19038 1365.18520
19971105 142920 1365.36373 1365.82902 1364.89844 1366.19437 1365.19147
19971105 152920 1365.37824 1365.83883 1364.91765 1366.20420 1365.21068
19971105 162920 1365.38699 1365.82633 1364.94766 1366.19171 1365.24067
19971105 172920 1365.37706 1365.80868 1364.94544 1366.17409 1365.23844
19971105 182920 1365.39968 1365.83325 1364.96612 1366.19868 1365.25911
19971105 192920 1365.38827 1365.81669 1364.95985 1366.18214 1365.25283
19971105 202920 1365.39111 1365.83622 1364.94600 1366.20168 1365.23897
19971105 212920 1365.39777 1365.88744 1364.90810 1366.25293 1365.20106
19971105 222920 1365.43410 1365.92493 1364.94327 1366.29043 1365.23622
19971105 232920 1365.38678 1365.87416 1364.89940 1366.23968 1365.19233
19971106 002920 1365.42478 1365.91158 1364.93799 1366.27712 1365.23091
19971106 012920 1365.41199 1365.89666 1364.92733 1366.26222 1365.22024
19971106 022920 1365.45068 1365.91186 1364.98950 1366.27744 1365.28240
19971106 032920 1365.48956 1365.92439 1365.05473 1366.28999 1365.34762
19971106 042920 1365.50158 1365.94721 1365.05595 1366.31283 1365.34883
19971106 052920 1365.50536 1365.93004 1365.08067 1366.29568 1365.37354
19971106 062920 1365.50836 1365.94518 1365.07154 1366.31084 1365.36441
19971106 072920 1365.51257 1365.95566 1365.06948 1366.32133 1365.36234
19971106 082920 1365.51858 1365.97789 1365.05927 1366.34359 1365.35212
19971106 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971106 102920 1365.52568 1365.98521  -99.00000 1366.35095  -99.00000
19971106 112920 1365.60724 1366.06680  -99.00000 1366.43255  -99.00000
19971106 122920 1365.67957 1366.06744 1365.29170 1366.43321 1365.58451
19971106 132920 1365.67571 1366.08912 1365.26230 1366.45492 1365.55510
19971106 142920 1365.66264 1366.08177 1365.24350 1366.44759 1365.53629
19971106 152920 1365.63338 1366.10190 1365.16485 1366.46773 1365.45764
19971106 162920 1365.62298 1366.05501 1365.19096 1366.42086 1365.48374
19971106 172920 1365.68552 1366.12249 1365.24855 1366.48836 1365.54131
19971106 182920 1365.68283 1366.12657 1365.23909 1366.49246 1365.53185
19971106 192920 1365.67640 1366.12209 1365.23072 1366.48800 1365.52346
19971106 202920 1365.70506 1366.13727 1365.27285 1366.50320 1365.56559
19971106 212920 1365.69105 1366.11292 1365.26917 1366.47887 1365.56190
19971106 222920 1365.75756 1366.18881 1365.32631 1366.55478 1365.61904
19971106 232920 1365.73440 1366.16627 1365.30254 1366.53225 1365.59525
19971107 002920 1365.73229 1366.17816 1365.28642 1366.54416 1365.57913
19971107 012920 1365.76051 1366.21999 1365.30104 1366.58602 1365.59374
19971107 022920 1365.74653 1366.22501 1365.26805 1366.59106 1365.56074
19971107 032920 1365.74324 1366.25356 1365.23293 1366.61963 1365.52561
19971107 042920 1365.70106 1366.19834 1365.20378 1366.56443 1365.49646
19971107 052920 1365.77017 1366.25873 1365.28161 1366.62484 1365.57428
19971107 062920 1365.77179 1366.24786 1365.29572 1366.61399 1365.58838
19971107 072920 1365.75829 1366.22334 1365.29324 1366.58949 1365.58590
19971107 082920 1365.74956 1366.19563 1365.30348 1366.56180 1365.59613
19971107 092920 1365.74555 1366.18888 1365.30222 1366.55507 1365.59486
19971107 102920 1365.79349 1366.23799 1365.34899 1366.60420 1365.64162
19971107 112920 1365.79082 1366.24021 1365.34144 1366.60643 1365.63407
19971107 122920 1365.75782 1366.19279 1365.32285 1366.55903 1365.61547
19971107 132920 1365.78134 1366.21348 1365.34920 1366.57974 1365.64181
19971107 142920 1365.73193 1366.19597 1365.26789 1366.56225 1365.56050
19971107 152920 1365.79245 1366.24825 1365.33666 1366.61455 1365.62926
19971107 162920 1365.82589 1366.27155 1365.38023 1366.63787 1365.67283
19971107 172920 1365.81036 1366.25561 1365.36511 1366.62195 1365.65770
19971107 182920 1365.83852 1366.28723 1365.38981 1366.65359 1365.68240
19971107 192920 1365.81174 1366.24351 1365.37997 1366.60989 1365.67255
19971107 202920 1365.79762 1366.23341 1365.36182 1366.59981 1365.65440
19971107 212920 1365.79879 1366.24049 1365.35710 1366.60691 1365.64967
19971107 222920 1365.76576 1366.22427 1365.30725 1366.59070 1365.59982
19971107 232920 1365.77971 1366.23965 1365.31977 1366.60611 1365.61233
19971108 002920 1365.77038 1366.22563 1365.31512 1366.59211 1365.60767
19971108 012920 1365.85002 1366.30616 1365.39389 1366.67265 1365.68642
19971108 022920 1365.85854 1366.30199 1365.41510 1366.66851 1365.70761
19971108 032920 1365.86175 1366.30670 1365.41680 1366.67323 1365.70930
19971108 042920 1365.87570 1366.32052 1365.43087 1366.68708 1365.72335
19971108 052920 1365.89151 1366.30206 1365.48097 1366.66863 1365.77342
19971108 062920 1365.88445 1366.29493 1365.47397 1366.66152 1365.76641
19971108 072920 1365.88752 1366.30627 1365.46877 1366.67288 1365.76119
19971108 082920 1365.88015 1366.31675 1365.44356 1366.68338 1365.73596
19971108 092920 1365.84704 1366.29371 1365.40037 1366.66036 1365.69275
19971108 102920 1365.89943 1366.36671 1365.43215 1366.73338 1365.72450
19971108 112920 1365.84233 1366.30508 1365.37959 1366.67177 1365.67192
19971108 122920 1365.87433 1366.33913 1365.40954 1366.70584 1365.70185
19971108 132920 1365.87138 1366.32705 1365.41571 1366.69378 1365.70800
19971108 142920 1365.87643 1366.35834 1365.39451 1366.72509 1365.68678
19971108 152920 1365.85131 1366.32669 1365.37594 1366.69345 1365.66819
19971108 162920 1365.83219 1366.30614 1365.35823 1366.67293 1365.65045
19971108 172920 1365.83542 1366.31398 1365.35686 1366.68079 1365.64906
19971108 182920 1365.86286 1366.32361 1365.40210 1366.69044 1365.69428
19971108 192920 1365.91305 1366.36164 1365.46446 1366.72848 1365.75661
19971108 202920 1365.88324 1366.35058 1365.41591 1366.71744 1365.70804
19971108 212920 1365.84709 1366.34356 1365.35062 1366.71044 1365.64273
19971108 222920 1365.84324 1366.34409 1365.34238 1366.71099 1365.63446
19971108 232920 1365.85636 1366.34162 1365.37111 1366.70854 1365.66316
19971109 002920 1365.87551 1366.33865 1365.41238 1366.70560 1365.70441
19971109 012920 1365.86854 1366.32524 1365.41184 1366.69220 1365.70384
19971109 022920 1365.86166 1366.31771 1365.40561 1366.68469 1365.69759
19971109 032920 1365.88589 1366.32941 1365.44236 1366.69642 1365.73432
19971109 042920 1365.88732 1366.33895 1365.43570 1366.70597 1365.72762
19971109 052920 1365.84199 1366.29972 1365.38426 1366.66676 1365.67616
19971109 062920 1365.88313 1366.33239 1365.43388 1366.69945 1365.72575
19971109 072920 1365.89172 1366.33158 1365.45185 1366.69866 1365.74370
19971109 082920 1365.87334 1366.29837 1365.44830 1366.66547 1365.74013
19971109 092920 1365.87999 1366.28866 1365.47131 1366.65578 1365.76310
19971109 102920 1365.91030 1366.32617 1365.49443 1366.69331 1365.78619
19971109 112920 1365.88397 1366.32587 1365.44207 1366.69302 1365.73381
19971109 122920 1365.89660 1366.33511 1365.45809 1366.70228 1365.74980
19971109 132920 1365.92945 1366.39241 1365.46649 1366.75961 1365.75818
19971109 142920 1365.84818 1366.35436 1365.34200 1366.72157 1365.63366
19971109 152920 1365.86714 1366.35166 1365.38263 1366.71889 1365.67425
19971109 162920 1365.86446 1366.36292 1365.36600 1366.73018 1365.65760
19971109 172920 1365.87184 1366.37156 1365.37213 1366.73883 1365.66369
19971109 182920 1365.85907 1366.35299 1365.36515 1366.72029 1365.65669
19971109 192920 1365.85130 1366.32958 1365.37302 1366.69689 1365.66452
19971109 202920 1365.86974 1366.30451 1365.43497 1366.67184 1365.72645
19971109 212920 1365.84973 1366.27894 1365.42053 1366.64629 1365.71197
19971109 222920 1365.90739 1366.32999 1365.48479 1366.69736 1365.77620
19971109 232920 1365.90331 1366.32222 1365.48440 1366.68961 1365.77578
19971110 002920 1365.87356 1366.29662 1365.45050 1366.66403 1365.74186
19971110 012920 1365.85166 1366.27825 1365.42506 1366.64568 1365.71638
19971110 022920 1365.82687 1366.25279 1365.40095 1366.62024 1365.69223
19971110 032920 1365.83941 1366.26533 1365.41350 1366.63280 1365.70475
19971110 042920 1365.87954 1366.32226 1365.43683 1366.68975 1365.72805
19971110 052920 1365.87588 1366.34293 1365.40884 1366.71044 1365.70003
19971110 062920 1365.89048 1366.32729 1365.45367 1366.69481 1365.74483
19971110 072920 1365.89787 1366.28376 1365.51198 1366.65130 1365.80310
19971110 082920 1365.91222 1366.27657 1365.54787 1366.64413 1365.83896
19971110 092920 1365.92841 1366.31681 1365.54000 1366.68440 1365.83106
19971110 102920 1365.88097 1366.30046 1365.46148 1366.66806 1365.75250
19971110 112920 1365.83961 1366.27828 1365.40093 1366.64590 1365.69193
19971110 122920 1365.86597 1366.30592 1365.42602 1366.67356 1365.71698
19971110 132920 1365.80815 1366.24650 1365.36980 1366.61417 1365.66072
19971110 142920 1365.77195 1366.25748 1365.28641 1366.62517 1365.57730
19971110 152920 1365.75427 1366.25946 1365.24908 1366.62716 1365.53993
19971110 162920 1365.73789 1366.24842 1365.22736 1366.61614 1365.51818
19971110 172920 1365.73662 1366.25432 1365.21892 1366.62206 1365.50970
19971110 182920 1365.78346 1366.28271 1365.28421 1366.65047 1365.57495
19971110 192920 1365.75816 1366.20898 1365.30734 1366.57676 1365.59804
19971110 202920 1365.75734 1366.21817 1365.29651 1366.58597 1365.58718
19971110 212920 1365.76983 1366.20921 1365.33045 1366.57703 1365.62109
19971110 222920 1365.82357 1366.23234 1365.41480 1366.60017 1365.70540
19971110 232920 1365.81955 1366.20567 1365.43343 1366.57353 1365.72399
19971111 002920 1365.88330 1366.25865 1365.50794 1366.62653 1365.79847
19971111 012920 1365.85868 1366.23866 1365.47870 1366.60655 1365.76922
19971111 022920 1365.80150 1366.19791 1365.40508 1366.56583 1365.69558
19971111 032920 1365.81791 1366.21961 1365.41622 1366.58754 1365.70670
19971111 042920 1365.79510 1366.23243 1365.35777 1366.60038 1365.64824
19971111 052920 1365.80018 1366.24722 1365.35314 1366.61519 1365.64359
19971111 062920 1365.77064 1366.22210 1365.31918 1366.59009 1365.60962
19971111 072920 1365.72459 1366.19308 1365.25611 1366.56109 1365.54653
19971111 082920 1365.71934 1366.17825  -99.00000 1366.54628  -99.00000
19971111 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971111 102920 1365.71864 1366.17751  -99.00000 1366.54558  -99.00000
19971111 112920 1365.72585 1366.18471  -99.00000 1366.55280  -99.00000
19971111 122920 1365.72047 1366.17932  -99.00000 1366.54743  -99.00000
19971111 132920 1365.73099 1366.18984  -99.00000 1366.55797  -99.00000
19971111 142920 1365.68788 1366.14605 1365.22970 1366.51419 1365.52002
19971111 152920 1365.67048 1366.17584 1365.16512 1366.54401 1365.45542
19971111 162920 1365.71759 1366.20326 1365.23193 1366.57144 1365.52221
19971111 172920 1365.65074 1366.13825 1365.16322 1366.50645 1365.45350
19971111 182920 1365.68091 1366.18411 1365.17771 1366.55233 1365.46797
19971111 192920 1365.64879 1366.14352 1365.15406 1366.51177 1365.44431
19971111 202920 1365.66183 1366.14524 1365.17841 1366.51351 1365.46865
19971111 212920 1365.68528 1366.14302 1365.22754 1366.51131 1365.51777
19971111 222920 1365.70079 1366.16341 1365.23818 1366.53171 1365.52839
19971111 232920 1365.73781 1366.18550 1365.29011 1366.55382 1365.58032
19971112 002920 1365.74242 1366.17808 1365.30676 1366.54642 1365.59695
19971112 012920 1365.75624 1366.19700 1365.31548 1366.56536 1365.60567
19971112 022920 1365.72848 1366.23214 1365.22482 1366.60052 1365.51500
19971112 032920 1365.72030 1366.20427 1365.23633 1366.57267 1365.52649
19971112 042920 1365.73741 1366.18976 1365.28506 1366.55818 1365.57521
19971112 052920 1365.73597 1366.16344 1365.30849 1366.53188 1365.59863
19971112 062920 1365.74808 1366.16578 1365.33038 1366.53423 1365.62052
19971112 072920 1365.72944 1366.15580 1365.30307 1366.52428 1365.59320
19971112 082920 1365.72432 1366.15580 1365.29284 1366.52430 1365.58296
19971112 092920 1365.69562 1366.15415 1365.23709 1366.52267 1365.52720
19971112 102920 1365.71376 1366.17574 1365.25179 1366.54427 1365.54189
19971112 112920 1365.64561 1366.13097 1365.16025 1366.49952 1365.45035
19971112 122920 1365.65479 1366.12552 1365.18406 1366.49409 1365.47415
19971112 132920 1365.66065 1366.13577 1365.18553 1366.50436 1365.47561
19971112 142920 1365.64379 1366.12529 1365.16230 1366.49390 1365.45237
19971112 152920 1365.66492 1366.15160 1365.17824 1366.52023 1365.46831
19971112 162920 1365.65256 1366.13073 1365.17438 1366.49939 1365.46444
19971112 172920 1365.68314 1366.14383 1365.22244 1366.51250 1365.51250
19971112 182920 1365.65804 1366.11915 1365.19694 1366.48784 1365.48699
19971112 192920 1365.63765 1366.12469 1365.15062 1366.49340 1365.44066
19971112 202920 1365.63360 1366.12932 1365.13788 1366.49805 1365.42792
19971112 212920 1365.69656 1366.19125 1365.20188 1366.56000 1365.49191
19971112 222920 1365.66994 1366.16679 1365.17309 1366.53556 1365.46312
19971112 232920 1365.69316 1366.20121 1365.18511 1366.57000 1365.47514
19971113 002920 1365.67311 1366.18859 1365.15763 1366.55740 1365.44765
19971113 012920 1365.63971 1366.15394 1365.12549 1366.52276 1365.41551
19971113 022920 1365.66214 1366.19483 1365.12944 1366.56368 1365.41946
19971113 032920 1365.65617 1366.16760 1365.14474 1366.53646 1365.43476
19971113 042920 1365.68632 1366.16688 1365.20576 1366.53576 1365.49578
19971113 052920 1365.73269 1366.20901 1365.25637 1366.57792 1365.54638
19971113 062920 1365.69780 1366.14058 1365.25501 1366.50950 1365.54502
19971113 072920 1365.72373 1366.15863 1365.28883 1366.52757 1365.57883
19971113 082920 1365.70168 1366.13846 1365.26490 1366.50742 1365.55490
19971113 092920 1365.70184 1366.15710 1365.24658 1366.52608 1365.53658
19971113 102920 1365.68477 1366.13822 1365.23133 1366.50721 1365.52133
19971113 112920 1365.71017 1366.15511 1365.26524 1366.52413 1365.55524
19971113 122920 1365.66465 1366.12069 1365.20860 1366.48973 1365.49860
19971113 132920 1365.64304 1366.11331 1365.17278 1366.48237 1365.46278
19971113 142920 1365.61579 1366.11094 1365.12064 1366.48002 1365.41064
19971113 152920 1365.68298 1366.16413 1365.20183 1366.53323 1365.49183
19971113 162920 1365.66212 1366.11013 1365.21411 1366.47925 1365.50411
19971113 172920 1365.68402 1366.11207 1365.25597 1366.48120 1365.54597
19971113 182920 1365.70506 1366.13751 1365.27261 1366.50667 1365.56261
19971113 192920 1365.68000 1366.13954 1365.22045 1366.50872 1365.51045
19971113 202920 1365.68797 1366.14553 1365.23040 1366.51473 1365.52041
19971113 212920 1365.73516 1366.19242 1365.27791 1366.56163 1365.56792
19971113 222920 1365.68819 1366.15013 1365.22626 1366.51936 1365.51627
19971113 232920 1365.68007 1366.14808 1365.21205 1366.51733 1365.50207
19971114 002920 1365.69903 1366.17450 1365.22355 1366.54377 1365.51356
19971114 012920 1365.70378 1366.16806 1365.23951 1366.53735 1365.52951
19971114 022920 1365.66485 1366.14085 1365.18886 1366.51015 1365.47884
19971114 032920 1365.69483 1366.17066 1365.21899 1366.53999 1365.50896
19971114 042920 1365.73684 1366.19161 1365.28207 1366.56096 1365.57203
19971114 052920 1365.80238 1366.23564 1365.36912 1366.60501 1365.65907
19971114 062920 1365.76756 1366.17458 1365.36054 1366.54397 1365.65048
19971114 072920 1365.77855 1366.17645 1365.38065 1366.54585 1365.67057
19971114 082920 1365.78002 1366.18698 1365.37305 1366.55640 1365.66297
19971114 092920 1365.82257 1366.23661 1365.40854 1366.60606 1365.69844
19971114 102920 1365.79270 1366.19535 1365.39006 1366.56482 1365.67994
19971114 112920 1365.80809 1366.21878 1365.39741 1366.58827 1365.68728
19971114 122920 1365.80508 1366.22285 1365.38731 1366.59236 1365.67717
19971114 132920 1365.70450 1366.18054 1365.22845 1366.55006 1365.51830
19971114 142920 1365.76534 1366.22847 1365.30220 1366.59801 1365.59203
19971114 152920 1365.79158 1366.26006 1365.32309 1366.62962 1365.61291
19971114 162920 1365.73815 1366.19109 1365.28522 1366.56067 1365.57502
19971114 172920 1365.75342 1366.20303 1365.30380 1366.57263 1365.59359
19971114 182920 1365.75996 1366.21831  -99.00000 1366.58793  -99.00000
19971114 192920 1365.75360 1366.21194  -99.00000 1366.58158  -99.00000
19971114 202920 1365.74957 1366.20790  -99.00000 1366.57756  -99.00000
19971114 212920 1365.71414 1366.17246  -99.00000 1366.54213  -99.00000
19971114 222920 1365.76125 1366.21958  -99.00000 1366.58927  -99.00000
19971114 232920 1365.72436 1366.18267  -99.00000 1366.55239  -99.00000
19971115 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971115 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971115 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971115 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971115 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971115 052920 1365.70590 1366.16419  -99.00000 1366.53402  -99.00000
19971115 062920 1365.68384 1366.14213  -99.00000 1366.51198  -99.00000
19971115 072920 1365.74452 1366.20283  -99.00000 1366.57270  -99.00000
19971115 082920 1365.72344 1366.16071 1365.28616 1366.53060 1365.57572
19971115 092920 1365.70669 1366.17338 1365.24000 1366.54329 1365.52954
19971115 102920 1365.66061 1366.12017 1365.20105 1366.49010 1365.49057
19971115 112920 1365.69391 1366.16830 1365.21953 1366.53825 1365.50903
19971115 122920 1365.68314 1366.17158 1365.19471 1366.54155 1365.48420
19971115 132920 1365.72345 1366.19323 1365.25368 1366.56322 1365.54315
19971115 142920 1365.64263 1366.11189 1365.17337 1366.48190 1365.46282
19971115 152920 1365.67033 1366.12408 1365.21659 1366.49411 1365.50602
19971115 162920 1365.67698 1366.12543 1365.22852 1366.49548 1365.51794
19971115 172920 1365.69179 1366.14528 1365.23831 1366.51535 1365.52771
19971115 182920 1365.68400 1366.14964 1365.21835 1366.51973 1365.50774
19971115 192920 1365.66701 1366.13026 1365.20375 1366.50037 1365.49311
19971115 202920 1365.67168 1366.14069 1365.20267 1366.51081 1365.49201
19971115 212920 1365.65634 1366.13122 1365.18146 1366.50137 1365.47079
19971115 222920 1365.66275 1366.14239 1365.18311 1366.51255 1365.47242
19971115 232920 1365.59790 1366.08084 1365.11497 1366.45103 1365.40425
19971116 002920 1365.64077 1366.14692 1365.13462 1366.51712 1365.42389
19971116 012920 1365.62677 1366.11510 1365.13844 1366.48532 1365.42769
19971116 022920 1365.61781 1366.09129 1365.14434 1366.46153 1365.43357
19971116 032920 1365.68284 1366.12496 1365.24071 1366.49522 1365.52993
19971116 042920 1365.74302  -99.00000 1365.28496  -99.00000 1365.57416
19971116 052920 1365.76749  -99.00000 1365.30942  -99.00000 1365.59860
19971116 062920 1365.78366  -99.00000 1365.32559  -99.00000 1365.61475
19971116 072920 1365.77417  -99.00000 1365.31611  -99.00000 1365.60525
19971116 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19971116 092920 1365.57728 1366.03541  -99.00000 1366.40579  -99.00000
19971116 102920 1365.59032 1366.04845  -99.00000 1366.41884  -99.00000
19971116 112920 1365.67418 1366.05241 1365.29596 1366.42283 1365.58501
19971116 122920 1365.67759 1366.07806 1365.27712 1366.44849 1365.56615
19971116 132920 1365.67342 1366.10307 1365.24377 1366.47353 1365.53278
19971116 142920 1365.65796 1366.09768 1365.21824 1366.46816 1365.50724
