;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
20011220 1366.90869 1367.37134 1366.44592 1367.75842 1366.74353
20011221 1366.54102 1366.98657 1366.08899 1367.37329 1366.38708
20011222 1366.39343 1366.84741 1365.94275 1367.23389 1366.24121
20011223 1366.12817 1366.59448 1365.66187 1366.98071 1365.96069
20011224 1365.90283 1366.35046 1365.45520 1366.73621 1365.75452
20011225 1366.15295 1366.61768 1365.70093 1367.00293 1366.00061
20011226 1366.34766 1366.80420 1365.87170 1367.18921 1366.17188
20011227 1366.64087 1367.12451 1366.18689 1367.50916 1366.48743
20011228 1366.82324 1367.30762 1366.33899 1367.69189 1366.64001
20011229 1367.06519 1367.52698 1366.60339 1367.91101 1366.90491
20011230 1367.39453 1367.86353 1366.92542 1368.24707 1367.22754
20011231 1367.51392 1367.99695 1367.02637 1368.37988 1367.32910
20020101 1367.44739 1367.91992 1366.97473 1368.30237 1367.27795
20020102 1367.21851 1367.69141 1366.74561 1368.07349 1367.04919
20020103 1367.08289 1367.52759 1366.63806 1367.90942 1366.94214
20020104 1367.16895 1367.63477 1366.70325 1368.01624 1367.00757
20020105 1367.26758 1367.72400 1366.81104 1368.10522 1367.11584
20020106 1367.25818 1367.73901 1366.77722 1368.12000 1367.08228
20020107 1367.36255 1367.82849 1366.89612 1368.20911 1367.20154
20020108 1367.38635 1367.86414 1366.90857 1368.24463 1367.21436
20020109 1366.95959 1367.41431 1366.50500 1367.79456 1366.81104
20020110 1366.58508 1367.02942 1366.13171 1367.40942 1366.43799
20020111 1366.42041 1366.87146 1365.96924 1367.25122 1366.27588
20020112 1366.56604 1367.03174 1366.10022 1367.41113 1366.40723
20020113 1366.73596 1367.18701 1366.27563 1367.56604 1366.58301
20020114 1366.91504 1367.37354 1366.46155 1367.75244 1366.76929
20020115 1366.92932 1367.38806 1366.47058 1367.76685 1366.77844
20020116 1366.83569 1367.29492 1366.37634 1367.67358 1366.68445
20020117 1366.76636 1367.23633 1366.27576 1367.61511 1366.58386
20020118 1366.98621 1367.43994 1366.54016 1367.81873 1366.84814
20020119 1367.13513 1367.58960 1366.68079 1367.96863 1366.98877
20020120 1367.22327  -99.00000 1366.76404  -99.00000 1367.07202
20020121 1367.15076  -99.00000 1366.69092  -99.00000 1366.99878
20020122 1367.29407  -99.00000 1366.83411  -99.00000 1367.14197
20020123 1367.38086  -99.00000 1366.92090  -99.00000 1367.22864
20020124 1367.19250  -99.00000 1366.73242  -99.00000 1367.04004
20020125 1367.16174  -99.00000 1366.70166  -99.00000 1367.00916
20020126 1367.31689  -99.00000 1366.85681  -99.00000 1367.16406
20020127 1367.51428  -99.00000 1367.05420  -99.00000 1367.36121
20020128 1367.34900  -99.00000 1366.88904  -99.00000 1367.19592
20020129 1366.98938  -99.00000 1366.52942  -99.00000 1366.83643
20020130 1366.75513  -99.00000 1366.29517  -99.00000 1366.60229
20020131 1366.59949  -99.00000 1366.13977  -99.00000 1366.44690
20020201 1366.56604  -99.00000 1366.10632  -99.00000 1366.41357
20020202 1366.61987  -99.00000 1366.16016  -99.00000 1366.46753
20020203 1366.85889  -99.00000 1366.39917  -99.00000 1366.70654
20020204 1367.12036  -99.00000 1366.66064  -99.00000 1366.96802
