19960121 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960122 002920 1365.52555  -99.00000 1365.00025  -99.00000 1365.20441
19960122 012920 1365.50781  -99.00000 1364.98251  -99.00000 1365.18675
19960122 022920 1365.49192  -99.00000 1364.96661  -99.00000 1365.17092
19960122 032920 1365.50305  -99.00000 1364.97773  -99.00000 1365.18210
19960122 042920 1365.48953  -99.00000 1364.96421  -99.00000 1365.16865
19960122 052920 1365.50778  -99.00000 1364.98244  -99.00000 1365.18694
19960122 062920 1365.48511  -99.00000 1364.95976  -99.00000 1365.16433
19960122 072920 1365.47607  -99.00000 1364.95072  -99.00000 1365.15534
19960122 082920 1365.48609  -99.00000 1364.96073  -99.00000 1365.16540
19960122 092920 1365.45501  -99.00000 1364.92965  -99.00000 1365.13437
19960122 102920 1365.47931  -99.00000 1364.95392  -99.00000 1365.15870
19960122 112920 1365.48704  -99.00000 1364.96164  -99.00000 1365.16647
19960122 122920 1365.49547  -99.00000 1364.97006  -99.00000 1365.17494
19960122 132920 1365.46099  -99.00000 1364.93559  -99.00000 1365.14051
19960122 142920 1365.45376  -99.00000 1364.92836  -99.00000 1365.13333
19960122 152920 1365.49135  -99.00000 1364.96594  -99.00000 1365.17094
19960122 162920 1365.50532  -99.00000 1364.97990  -99.00000 1365.18495
19960122 172920 1365.49328  -99.00000 1364.96786  -99.00000 1365.17295
19960122 182920 1365.49220  -99.00000 1364.96678  -99.00000 1365.17190
19960122 192920 1365.48422  -99.00000 1364.95881  -99.00000 1365.16396
19960122 202920 1365.49064  -99.00000 1364.96523  -99.00000 1365.17041
19960122 212920 1365.51261  -99.00000 1364.98719  -99.00000 1365.19240
19960122 222920 1365.48828  -99.00000 1364.96288  -99.00000 1365.16811
19960122 232920 1365.48185  -99.00000 1364.95645  -99.00000 1365.16171
19960123 002920 1365.50662  -99.00000 1364.98121  -99.00000 1365.18649
19960123 012920 1365.50961  -99.00000 1364.98420  -99.00000 1365.18951
19960123 022920 1365.50310  -99.00000 1364.97770  -99.00000 1365.18302
19960123 032920 1365.51132  -99.00000 1364.98592  -99.00000 1365.19126
19960123 042920 1365.51488  -99.00000 1364.98949  -99.00000 1365.19485
19960123 052920 1365.51753  -99.00000 1364.99214  -99.00000 1365.19751
19960123 062920 1365.51268  -99.00000 1364.98730  -99.00000 1365.19269
19960123 072920 1365.52711  -99.00000 1365.00173  -99.00000 1365.20712
19960123 082920 1365.48332  -99.00000 1364.95796  -99.00000 1365.16336
19960123 092920 1365.47429  -99.00000 1364.94894  -99.00000 1365.15435
19960123 102920 1365.50131  -99.00000 1364.97597  -99.00000 1365.18138
19960123 112920 1365.53073  -99.00000 1365.00538  -99.00000 1365.21079
19960123 122920 1365.53687  -99.00000 1365.01152  -99.00000 1365.21693
19960123 132920 1365.55564  -99.00000 1365.03027  -99.00000 1365.23568
19960123 142920 1365.56214  -99.00000 1365.03676  -99.00000 1365.24216
19960123 152920 1365.58002  -99.00000 1365.05462  -99.00000 1365.26001
19960123 162920 1365.58330  -99.00000 1365.05788  -99.00000 1365.26327
19960123 172920 1365.57352  -99.00000 1365.04809  -99.00000 1365.25347
19960123 182920 1365.58849  -99.00000 1365.06303  -99.00000 1365.26840
19960123 192920 1365.60769  -99.00000 1365.08221  -99.00000 1365.28756
19960123 202920 1365.59687  -99.00000 1365.07138  -99.00000 1365.27672
19960123 212920 1365.60799  -99.00000 1365.08247  -99.00000 1365.28779
19960123 222920 1365.59626  -99.00000 1365.07073  -99.00000 1365.27603
19960123 232920 1365.58427  -99.00000 1365.05872  -99.00000 1365.26400
19960124 002920 1365.57138  -99.00000 1365.04580  -99.00000 1365.25110
19960124 012920 1365.58307  -99.00000 1365.05746  -99.00000 1365.26282
19960124 022920 1365.59682  -99.00000 1365.07119  -99.00000 1365.27660
19960124 032920 1365.60931  -99.00000 1365.08365  -99.00000 1365.28912
19960124 042920 1365.58390  -99.00000 1365.05822  -99.00000 1365.26374
